Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$AM, 1-8-2020, s, -32.786885245901644, -35.35392833398584, -55.60109289617486, -40.849122342833496, -64.89071038251366, -47.86587274719341, -44.53551912568307, -34.673004168492966, -19.398907103825135, -18.55664507894289, -21.448087431693995, -18.868655664674936, -4.371584699453557, -8.124602574272298, -18.852459016393443, -23.116405543525754, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$UBER, 1-21-2020, s, 15.183095774647892, 13.802011736308483, -40.647887323943664, -9.608300179073545, -22.535211267605636, -6.164711424078892, -2.9577436619718345, 7.350502218504063, -8.64788732394366, -1.7243441340335295, -3.7746478873239564, -2.4298361373424893, -11.577467605633807, -13.698960240051928, 1.0140873239436576, 2.5855536564573955, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$BGFV, 2-14-2020, P, -58.456973293768556, -29.915592550720362, -70.62314540059347, -53.87401283412529, -65.87537091988132, -48.524775007185276, -42.13649851632047, -30.436098578552702, -25.22255192878339, -18.04942482656795, 88.42729970326408, 88.75321774048022, 79.52522255192878, 79.53115422785153, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$PSNL, 2-14-2020, P, -53.64173228346456, -25.10035154041637, -16.33858267716536, 0.41054988930282477, 4.921259842519676, 22.271855755215718, 12.204724409448819, 23.90512434721659, 47.04724409448817, 54.22037119670361, 96.85039370078741, 97.17631173800355, 108.85825787401578, 108.86418954993853, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$SDC, 2-14-2020, P, -65.84362139917694, -37.302240656128745, -70.64471879286694, -53.895586226398756, -53.360768175583, -36.010172262886954, -51.71467764060357, -40.0142777028358, -39.30041152263375, -32.12728442041831, -45.47325102880658, -45.14733299159044, -26.611796982167355, -26.605865306244603, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$UBER, 2-7-2020, s, -28.71435717858929, -11.43173660584229, -30.090042521260628, -12.479918500080622, -25.962981490745364, -12.42112521646196, -5.2776413206603205, -1.491809419034296, -18.80940720360179, -13.56933700553825, -17.233616808404186, -17.371827249581173, -19.059527263631814, -20.22832238357183, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AM, 8-14-2019, P, 6.397774687065372, 2.3119661287311466, 1.5299026425591, -1.198595919944867, -21.557719054242007, -28.750415793406525, -17.663421418637004, -28.476763051943543, 5.980528511821981, -6.332451367405789, 0.0, -11.48679008432838, -0.2781641168289384, -11.532366988424668, 3.198887343532686, -8.933573916136051, 1.8080667593880273, -10.296627985872298, -2.781641168289295, -16.004120452639103, -2.364394993045904, -15.979141772289763, -2.6425591098748313, -19.423201254268598, -21.9749652294854, -39.13051138115401, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$CVS, 8-12-2019, s, 9.974603047834108, 6.080959320965596, 6.299747778149833, 4.24084234798654, 21.168508402514963, 14.68830093140907, 24.69093691263229, 16.25184091335008, 26.41829511292626, 14.837380834307723, 23.996616833134922, 13.236507173730217, 23.827272207066418, 13.298233737065933, 24.657074083947062, 13.255501789098979, 22.77730944584775, 11.403322680894368, 23.62404951099153, 11.13956402209524, 24.149024964420395, 11.274828813683179, 11.481800363790008, -4.203125974892341, -2.4047383980480674, -18.79665468831999, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$KHC, 8-14-2019, P, 12.688584139264991, 8.602775580930766, 4.758220502901334, 2.0297219403973665, 25.686661508704045, 18.493964769539527, 22.86266924564797, 12.049327612341433, 24.912963249516416, 12.599983370288646, 21.85686653771759, 10.37007645338921, 20.580270793036746, 9.326067921441016, 20.889748549323016, 8.757287289654279, 18.916827852998065, 6.81213310773774, 18.64603481624758, 5.423555531897772, 18.33655705996131, 4.7218102807174525, 36.71179883945841, 19.931156695064644, 23.59768278529981, 6.4421366336312005, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$WBA, 8-14-2019, P, 5.549197283546858, 1.4633887252126332, 2.4790294141691316, -0.24946914833483547, 18.802441243372247, 11.609744504207729, 10.945844983711762, 0.13250335040522287, 13.043478509601037, 0.7304986303732672, 11.632345759579433, 0.14555567525105317, 12.585816410866046, 1.3316135392703163, 12.929065845329246, 0.7966045856605088, 6.884058102289425, -5.2206366429708995, 6.388257177502998, -6.834222106846811, 4.576661033117113, -9.038085746126747, -22.19679676195264, -38.97743890634641, -33.54309941920479, -50.6986455708734, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
