Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$BTI, 2-1-2019, P, 5.316455845751222, 1.507457797059808, 16.455705104239236, 11.069801597611725, 9.02953330603471, -0.06541673864306397, -1.2658256333565543, -3.175877128675131, 0.7876315270782364, -9.032838430067148, 5.457111264616343, -4.70391505767187, -1.9409226987601391, -9.499691328605087, 3.8256006701997247, -6.38724279186602, -0.5907145032549632, -13.461349251445997, 11.44866417577115, -5.001457233448647, 20.787623650847365, 1.0245230823535465, 23.62869827366241, 3.9359301146521872, 7.93248967461293, -2.4543315814334443, -0.16876793723680228, 8.037783420302736, 6.357249123973263, 0.7455503134228492, 13.080174770187769, 0.6907608359420383, 9.338959475076214, -5.252939053709227, -5.7383995988297904, -27.27088684367497, -4.416312360515128, -34.05169965576712, None, None, None, None, None, None, None, None, None, None
$ABBV, 7-2-2019, P, -10.51912201581101, -9.92375004283791, -10.136609705052301, -8.431667972451484, -0.42349455287544746, 0.966845830924512, 13.319672677035776, 9.17907471989978, 19.999999453551887, 13.579373641470482, 21.69399679073758, 12.245728661364351, 20.450821876399814, 11.807670326562956, 20.519131988489026, 12.10263516413448, 21.48907601731187, 12.216722108156874, 21.78962520995733, 12.544329588430879, 22.964488646085602, 12.629919264066913, 35.86065720740399, 29.558432673276712, 30.040991668346663, 18.975728767974754, 25.77869367945467, 5.799656773783159, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$BTI, 2-1-2019, P, 5.316455845751222, 1.507457797059808, 16.455705104239236, 11.069801597611725, 9.02953330603471, -0.06541673864306397, -1.2658256333565543, -3.175877128675131, 0.7876315270782364, -9.032838430067148, 5.457111264616343, -4.70391505767187, -1.9409226987601391, -9.499691328605087, 3.8256006701997247, -6.38724279186602, -0.5907145032549632, -13.461349251445997, 11.44866417577115, -5.001457233448647, 20.787623650847365, 1.0245230823535465, 23.62869827366241, 3.9359301146521872, 7.93248967461293, -2.4543315814334443, -0.16876793723680228, 8.037783420302736, 6.357249123973263, 0.7455503134228492, 13.080174770187769, 0.6907608359420383, 9.338959475076214, -5.252939053709227, -5.7383995988297904, -27.27088684367497, -4.416312360515128, -34.05169965576712, None, None, None, None, None, None, None, None, None, None
$CVX, 3-17-2020, S, 15.525567740750912, -0.9370559747174276, 31.24999911221593, 11.657281037007692, 33.281249054509956, 5.110331664710667, 25.582388477773055, -5.7757629240676955, 28.33806169494142, -9.57412066461325, 10.12783636000465, -25.996881044798734, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$CVS, 4-11-2019, P, 0.5928103001111573, 2.812099947484248, 0.8336420896628338, 0.08579626436078236, 9.98517784364581, 6.353276561872057, 9.392365690996662, 9.001130690871829, 17.59911078177103, 14.261502349859832, 16.339383104853656, 13.763472591794645, 33.345689144127455, 26.909367835149254, 35.364949981474616, 26.640089982779273, 38.29196369025567, 26.27450582151991, 35.64283253056688, 24.449390555997947, 35.45758243793997, 24.4961156841434, 12.078547610226021, 16.125901599131623, 16.172654686921085, 15.649852669137545, 22.471287513894044, 14.636227091307118, 16.09855131530198, 5.261720165910289, 22.82327343460542, 6.197569331381537, 7.688034457206383, -8.581058820840235, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$EXC, 7-24-2019, S, -2.4268753011105093, 1.5572193946741364, 5.178762505795764, 5.105229968435099, -1.278441981432632, -1.8533281703100313, -3.7269814202824936, -8.001859897003794, -1.8851635152691948, -9.331936084895375, -0.8017399435865769, -8.940383226191985, -1.7768146575595, -9.11997514191285, -1.3217789242999434, -8.440996765008402, -1.3434517294278914, -9.308285728125497, -1.0184224910759543, -8.956521973424291, -0.49838351036257666, -9.51272283310507, -16.619721923305665, -23.892695570332812, -20.238354485878464, -34.58709365263714, -25.655472344291553, -33.01868597199829, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$MZOR, 12-27-2018, S, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$PFE, 8-14-2019, P, 4.380186086458648, 0.2943775281244232, 3.5213283710277654, 0.7928298085237984, 4.666478671628971, -2.526218067535546, 10.793017463498433, -0.020324169808105808, 12.510732894360155, 0.19775301513238475, 10.850274835385076, -0.6365152489433044, 11.136558831949618, -0.11764403964611247, 11.995416547380477, -0.13704471228825987, 10.964780990552537, -1.1399137547077878, 12.42484969939881, -0.7976295849510002, 11.59461780704265, -2.020128972201208, 8.817629544803896, -7.96301259958987, 4.09390495276265, -13.06164119890596, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$PSX, 4-11-2019, S, -13.334007694664606, -11.114718047291516, -12.362052618063768, -13.109898443365818, -0.11136276535474998, -3.743264047128503, 1.3161922035899165, 0.9249572034650821, 4.576292535475113, 1.238684103563914, 8.332492912802248, 5.756582399743238, 20.127574773541813, 13.691253464563614, 13.334013769383834, 4.60915377068849, 13.475757218054785, 1.4582993493190255, 12.635419033170558, 1.441977058601628, 9.587932861838588, -1.3735338919579796, -36.114204802496864, -32.066850813591266, -22.891559873186996, -23.414361890970536, -21.0185234692272, -28.853583891814125, -37.896120418025326, -48.73295156741702, -32.783232746276184, -49.408936849500066, -43.6164820375564, -59.88557531560302, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$QCOM, 3-16-2020, S, 12.565908209811184, -3.177520806707612, 13.16637101883964, -8.340385969912731, 31.66374240866641, 0.8568678102414822, 33.655540914697426, 1.0616200748373643, 65.91974613239229, 25.800328349674302, 72.81781155269202, 31.21816816933724, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$KHC, 2-1-2019, P, -30.59825364765796, -34.40725169634938, -31.865393266834097, -37.251296773461604, -31.03447924874282, -40.12942929342059, -42.501037442896504, -44.41108893821508, -35.064394164195974, -44.88486412134136, -33.31948760530719, -43.4805139275954, -47.19567817190856, -54.75444680175351, -41.981718778182774, -52.194562240248516, -33.277940034855426, -46.148574783046456, -36.6431229049257, -53.093244314145494, -32.92479918830078, -52.6878997567946, -39.34357788416241, -59.03634604317263, -48.58745219334134, -58.97427344938772, -50.10386269430542, -41.89731133676588, -37.7025329809417, -43.31423179149211, -36.6431229049257, -49.03253683917143, -33.6726201427632, -48.26451867154864, -28.388035487911, -49.92052273275618, -27.81470560479239, -57.45009290004438, None, None, None, None, None, None, None, None, None, None
