Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$AAPL, 2-22-2017, S, 2.506791908336403, 3.460100933786636, 5.182150857268986, 4.690671753658759, 12.878405798044756, 11.658174482397454, 6.846010809705239, 3.9055808112378188, 10.371625617334935, 5.808457742801721, 15.97889414227922, 12.780011474689744, 11.075277348106871, 5.554559282192417, 14.996708348410648, 5.904255744266139, 27.06883395551325, 16.908679903486366, 28.03635728425462, 14.656134648549557, 24.72331157213583, 11.241406877311743, 25.925393296218925, 11.062245509813497, 24.60603237446499, 11.094465787083685, 22.282496359011738, 9.046327614603088, 38.07814633603439, 22.003243210450176, 36.42161321830173, 19.626426654369624, 39.763983860674855, 21.362997815441155, 56.93030898953655, 35.80498056186649, 58.92400550752799, 35.48531765800147, 61.100934463149436, 43.73800110772079, 28.226940011841386, 16.719445503028464, 8.59048646722782, 7.310938569245406, 13.530755026358122, 9.310777129908288, 25.764135498886496, 7.930909379629256
$T, 2-22-2017, S, 1.0076727447216882, 1.9609817701719212, -3.7907917466410757, -4.282270850251302, -8.253354126679469, -9.47358544232677, -8.373322936660266, -11.313752935127685, -12.404035508637223, -16.967203383170435, -9.572939059500962, -12.771821727090437, -7.869476967370437, -13.39019503328489, -15.019198656429944, -24.111651260574455, -17.754321017274478, -27.91447506930136, -6.957775911708264, -20.337998547413328, -6.285986084452977, -19.767890779277067, -12.499997600767742, -27.36314538717317, -13.747598368522073, -27.25916495590338, -16.722651151631474, -29.958819896040126, -21.713049424184263, -37.78795254976848, -23.87236084452975, -40.66754740846186, -25.287910268714008, -43.68889631394771, -20.34548704414587, -41.470815471815925, -17.826295585412666, -41.26498343493918, -21.041266794625724, -38.404200150054365, -28.598848368522066, -40.10634287733499, -32.31766074856046, -33.597208646542875, -31.62188099808061, -35.841858894530446, -25.74375959692898, -43.57698571618622
$BCE, 2-22-2017, S, -2.8026907086408426, -1.8493816831906096, 2.2421525669126696, 1.7506734633024434, 0.49327804902592476, -0.7269532666213774, 0.022428252126815984, -2.918001746340604, 4.686101107000051, 0.12293323246683752, 5.291482300066486, 2.09259963247701, 7.264578801102206, 1.7438607351877522, 5.179376913873401, -3.913075690271107, 8.385655084558529, -1.7744989674683538, 5.627809669408501, -7.752412966296562, 7.713011556637284, -5.7688931381868045, -0.7847489141142971, -15.647896700519725, -3.677127967584204, -17.18869455496551, -5.87443524100607, -19.11060398541472, -4.910309637233623, -20.98521276281784, -8.856493670694777, -25.65168023462688, -5.717486803474747, -24.11847284870845, -7.062773859317206, -28.18810228698726, -9.10313269520775, -32.541820544734264, -8.049327715216481, -25.412261070645126, -5.56053612379086, -17.068030632603783, -10.896852506585319, -12.176400404567733, -11.950668697339395, -16.17064659378923, -1.5022377355263572, -19.335463854783598
$GM, 2-22-2017, S, -9.448398243557632, -8.495089218107399, -10.108202958780765, -10.599682062390992, -12.984951517153643, -14.205182832800945, -10.134600425827411, -13.07503042429483, -5.014507918039291, -9.577675792572505, -7.62733986876063, -10.826222536350105, 3.721298593858502, -1.799419472055952, 20.190029564265743, 11.097576960121234, 18.47453202624787, 8.314377974220989, 11.638955176536147, -1.7412674591689168, 8.841391101646611, -4.640513593177477, 7.310638883891207, -7.55250890251422, -1.741881808970236, -15.253448396351542, -1.0556796267004565, -14.291848371109106, 1.8210689316724427, -14.253834193911775, 9.29005302956063, -7.505133534371476, 3.4573819862069533, -14.943604059026747, -3.4045949697702693, -24.529923397440324, -7.521768475106072, -30.960456324632588, -16.996564185710326, -34.35949754113897, -6.756392366228359, -18.26388687504128, -13.829498913420402, -15.109046811402816, -13.301665698117338, -17.521643594567173, 5.146479417959338, -12.686746701297903
$GSK, 2-22-2017, S, 3.1486379509729545, 4.1019469764231875, 0.41493286758766956, -0.07654623602255661, 6.053209517861613, 4.832978202214311, 7.151576588929043, 4.211146590461623, 2.684888877596059, -1.878278996937155, -5.150109710761308, -8.348992378350783, -0.8298754984165213, -6.350593564330975, -0.7566536305430138, -9.849106234687522, -14.083475370186104, -24.243629422212987, -13.61972629680922, -26.999948932514286, -11.813521800988003, -25.29542649581209, -10.519894788384331, -25.38304257478976, -10.910424434697974, -24.421991022079283, -1.9526555539991386, -15.188824298407788, -1.0251452031939223, -17.10004832877814, -0.3173077784401346, -17.11249434237224, 0.2684915726509196, -18.13249447258278, 1.7817915113060412, -19.343536916364016, -1.7085696434325226, -25.14725749295904, -0.7322504092689752, -18.09518376469762, -0.9519135720792438, -12.459408080892166, -8.469614145237635, -9.74916204322005, -7.810595367083339, -12.030573263533173, -1.87942392288446, -19.7126500421417
$MSFT, 2-22-2017, S, -0.3264402199148031, 0.6268688055354299, 4.896628170476358, 4.405149066866132, 5.53396065493672, 4.313729339289418, 9.653348059899036, 6.712918061431616, 14.301254024521892, 9.738086149988678, 12.466960594840337, 9.26807792725086, 15.016315404436043, 9.495597338521588, 22.788738604422875, 13.696286000278366, 30.312450479948684, 20.1522964279218, 32.75299136474457, 19.372768729039503, 33.887757379519456, 20.40585268469537, 43.09031577521172, 28.227167988806293, 41.87780842910593, 28.366241841724626, 48.82635632437879, 35.59018757997014, 51.84205963494299, 35.76715650935877, 56.085808920074356, 39.29062235614225, 65.24172189517424, 46.840735849940536, 64.5421960347522, 43.41686760708214, 75.70339730441795, 52.26470945489143, 69.93626084451235, 52.5733274890837, 58.82169255956189, 47.31419805074897, 51.84205963494299, 50.56251173696058, 54.74895057519198, 50.52897267874214, 71.07103929516437, 53.23781317590713
$NVG, 3-1-2017, P, 0.7549759780370646, 1.8414292734204807, 1.9903912148249825, 1.8687443331535825, 3.9121482498284177, 2.4104065597334356, 4.323953328757724, 2.4404825376864725, 6.657515442690443, 2.852822276850042, 7.343857240905982, 3.3462067354416147, 5.9711736444749475, 0.4759741583589161, 4.323953328757724, -3.918846319897008, 5.28483184625943, -5.7768784228865675, 6.1770761839396116, -6.176628721273293, 6.245710363761159, -6.577810810883422, -0.9608785175017176, -14.812132822846978, 0.0, -10.134648727440943, 1.3726835964310125, -9.315682571144677, 3.7062457103637536, -10.5644892796557, 0.61770761839397, -12.436535902954438, 0.9608785175017287, -17.148102220402482, 2.745367192862047, -18.836912775183087, 0.0, -22.534496507968015, -7.96156485929993, -21.89252133369466, -5.353466026081, -22.9255119070829, -4.11805078929307, -7.30190792752815, -2.6080988332189525, -6.735787511970948, 0.0, -17.63916404899184
$LUV, 2-22-2017, S, -10.64198285789958, -9.688673832449346, -2.751341014858255, -3.2428201184684813, 1.0555476543425035, -0.1646836613047986, 7.07734889985554, 4.13691890138812, 4.256790028434154, -0.3063778460990596, -7.3023030402785345, -10.50118570786801, -5.450773395902853, -10.971491461817307, 2.9589876629349865, -6.133464941209522, -4.34331537734357, -14.503469429370453, 14.725734301337013, 1.3455116656319497, 14.05087880168059, 0.5689741068565013, 1.0728482250761617, -13.790299561329267, -0.4845180743291433, -13.99608466171045, -5.104691034699915, -18.340859779108563, -9.13653384432368, -25.211436969907897, -8.530887549214617, -25.326074113146724, -7.838731478824501, -26.2397175240582, 5.225817525076715, -15.899510902593342, 9.60373577429079, -13.834952075235726, 0.6056376430933152, -16.757295712335328, -8.773143990774447, -20.28063849958737, -21.162830573406634, -22.44237847138905, -20.314936488753478, -24.53491438520331, -6.333275543635997, -24.16650166289324
$SUN, 2-22-2017, S, -16.113250048470817, -15.159941023020584, 6.011880251244994, 5.520401147634768, 6.536172438442067, 5.315941122794765, 2.796221503103058, -0.14420849536436187, 6.675983688361287, 2.112815813828073, 5.976927438765212, 2.778044771175736, 7.724568062755388, 2.203849996840934, 6.39636468380409, -2.6960879203404184, 5.592443006206116, -4.567711045820767, -1.1184899993537223, -14.498712635058785, -2.1321250565492833, -15.614029751373371, 7.96923425483278, -6.893913531572648, -7.584760308117433, -21.09632689549874, -2.271939801749745, -15.508108546158395, -7.095424428681429, -23.170327554265647, -10.660614796902657, -27.455801360834762, -9.75183817714652, -28.15282422238022, -2.7612756811857486, -23.886604108855803, -1.013635057195561, -24.452322906722078, 2.271929315906007, -15.091004039522637, -3.2156587481419585, -14.72315325695488, -12.233484367931336, -13.51303226591375, -5.732268237250315, -9.952246133700148, 3.809856560298619, -14.02336955895862
$SUN, 2-21-2017, P, -14.235627629733516, -15.063581504938096, 5.9957924263674744, 6.1104340684421725, 6.872370266479666, 5.43725225416849, 3.541377980364646, 0.1701131768874875, 9.607293127629735, 4.970745142516764, 6.697054698457228, 3.673959046675579, 8.976157082748948, 2.879010022578199, 6.732121318373063, -2.5919304084602866, 7.819074333800846, -2.2267768033280566, -0.8765778401122026, -14.556938511301722, -1.8232819074333828, -15.546104364586533, 5.329596774193557, -10.117069913193209, -6.136044880785418, -21.158119184078984, -1.9635378681626903, -15.440102686835166, -5.855539971949508, -21.773510999157885, -10.553997194950904, -27.724507687978928, -9.46704067321178, -28.11938750316514, -4.067317671809256, -25.60688761848775, -0.9116409537166859, -25.35542110922312, 2.594670406732136, -15.01741998708426, -4.8387131837307145, -17.720838049863097, -8.274894810659184, -13.038821784777276, -5.4347861150070065, -9.8760190558828, 1.9985974754558322, -15.910712682334417
