Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$ACN, 4-27-2020, S, 12.568807525819835, 6.60640562552519, 19.24757349480959, 13.534186399667416, 25.6880241885723, 12.88288577658545, 37.53050019929638, 15.29775044072543, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$GOOG, 4-27-2020, S, 9.355709876543216, 3.393307976248571, 4.797843672839508, -0.915543422302667, 16.9444425925926, 4.139304180605752, 27.598769598765415, 5.366019840194468, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AMZN, 4-27-2020, S, -1.5639309825771996, -7.526332882871845, 10.101918138095112, 4.388531042952937, 25.327441937231754, 12.522303525244904, 41.210302807508526, 18.97755304893758, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AAPL, 4-27-2020, S, 12.18595793552697, 6.223556035232325, 25.354866942009945, 19.64147984686777, 33.016327878622896, 20.211189466636046, 80.47197645728785, 58.239226698716905, 63.250542083060715, 46.38044989608519, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$BRK.B, 4-28-2020, S, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$C, 4-27-2020, S, 17.002495675911057, 11.040093775616413, 13.832921160648448, 8.119534065506272, 16.504417772443645, 3.6992793604567957, 14.82907696758331, -7.4036727909876365, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$CGNX, 4-28-2020, S, 17.12583177353253, 12.442302973041784, 11.317940965786644, 7.747734315823496, 22.375273224585367, 11.582198801096187, 24.38570133310307, 4.311474404312964, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$COST, 4-22-2020, P, -0.654601973684199, -6.481798183624276, -1.4144697368421055, -12.062927922971978, 8.437498026315794, -8.185454372686493, 13.523021381578948, -9.386979561622043, 12.072372368421046, -5.969661013105078, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$DAIUF, 4-28-2020, S, 47.809520000000006, 43.125991199509265, 61.276186666666675, 57.70598001670353, 77.14285714285714, 66.34978271936797, 74.57143238095239, 54.49720545216228, 68.95237523809523, 54.45164896667749, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$DAL, 4-22-2020, S, -2.680062926300808, -8.507259136240886, 21.566173432419312, 10.91771524628944, 9.840875621477196, -6.782076777525091, 15.829150579110141, -7.08085036409085, 24.832496852282105, 6.790463470755981, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
