Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$LEN, 5-7-2020, S, 22.464320816345552, 11.18021968689289, 18.472807202606887, 8.870720321633828, 40.72503199527513, 24.902269527855506, 38.83532320024445, 21.820556562538115, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$LEN, 5-13-2020, S, 13.76438571060632, 9.583447766252418, 29.412936509834854, 17.5028451869649, 46.70766349494897, 29.03654996861804, 57.5961962553033, 39.617453208538684, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$LEN.B, 5-7-2020, S, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$TGNA, 5-7-2020, S, 19.909502262443436, 8.625401132990774, -1.9004524886877872, -11.502539369660846, 4.977375565610842, -10.845386901808784, 10.769230769230752, -6.245535868475585, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$TEVA, 5-7-2020, S, 7.666666666666666, -3.6174344627859956, -4.583333333333339, -14.185420214306399, 1.0000000000000009, -14.822762467419626, -24.750000000000007, -41.764766637706344, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$WSO, 5-7-2020, S, 8.397510340958036, -2.886590788494626, 9.937666848113524, 0.3355799671404647, 43.961624616844674, 28.138862149425048, 44.95172060114048, 27.936953963434142, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$TGNA, 3-31-2020, S, -1.5902712815715647, -11.089043230441465, 10.477081384471475, -6.048861711367827, 4.20954162768945, -14.599949228999897, 11.225444340505163, -13.851312069356325, 20.205799812909262, -14.254596521604057, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$TGNA, 4-1-2019, S, 12.411847672778563, 8.892357480414258, 6.558533145275036, 9.85674656438793, 7.898448519040913, 3.6905171895543543, 7.052186177715103, 2.521103123176993, 0.8462623413258097, -1.2155552746144327, 10.2256699576869, 5.64541795544955, 6.629055007052176, -0.4731579004765951, 7.475317348378008, -3.0234472249090363, 18.829337094499298, 5.186908094531439, 13.399153737658654, 0.5926941439723628, 14.104372355430183, 1.5332531100962647, -24.89421720733427, -11.996424986658138, -25.81100141043724, -26.025257109168987, -16.713681241184762, -23.35926684094932, -21.438645980253867, -30.174154920098914, -16.713681241184762, -32.03506977698852, -12.200282087447112, -35.21045990226223, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AOS, 2-20-2019, P, 0.36538269230770304, -1.2004378437840302, 8.07692499999999, 3.987793909764714, -16.153850000000002, -18.403589046468724, -11.730765384615383, -18.292808194896104, -16.173076923076913, -23.30024554283262, -10.615384615384627, -15.64039850995296, -6.557692307692298, -14.674746107894254, -1.1346153846153895, -8.913318511059366, -7.5769211538461505, -19.624724055453736, -8.153849999999995, -23.50606673339488, -7.8653846153846185, -24.32627923012776, -15.192311538461546, -36.76460642757491, -28.596151923076917, -15.896825313528472, -22.21153653846154, -23.939331446692304, -18.250003846153838, -24.732855122082352, -9.384617307692311, -20.24815433561453, -3.0384653846153853, -18.73984233793873, -5.480765384615383, -26.19635784504223, 0.903848076923075, -16.334557432154394, None, None, None, None, None, None, None, None, None, None
$AOS, 3-6-2019, P, 5.303608660576309, 2.0974427310151533, 1.4604111940735853, -2.1577174883866457, -17.25595662459729, -18.739035646264753, -10.395849146889901, -16.793848926177024, -15.833977405188747, -18.255618152205933, -8.032282704990724, -14.845830764748147, -13.028445176240478, -18.158306293128057, -0.6149115946404216, -10.602375538487042, -9.531127795328054, -22.058443486404155, -7.9362046899268845, -23.838055291435413, -9.37740373986542, -24.426664317675083, -22.19446344745458, -27.209688344790592, -28.900846869699325, -21.266958831714987, -17.35204232605605, -20.53671550931968, -0.32667562785019255, -15.039198602147675, -7.686394933005481, -21.019728911153457, -7.571104773806592, -26.317305069264965, -7.1867831055575815, -27.806520965913762, None, None, None, None, None, None, None, None, None, None, None, None
