Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$WTR, 9-26-2017, S, 5.152496298489773, 2.5183823330169552, 8.38021320698843, 3.9739883300240697, 14.62836541308854, 7.559970680762396, 15.931305892804248, 8.546173125703515, 14.539532129108657, 6.705359586135585, 13.118155167308254, 4.385890643755497, 12.34823511992893, 3.0907528870888648, 11.637551080840968, 2.0593295302177452, 11.933665975718078, 1.9184321531277924, 10.186553153686706, 0.45998944807717024, 8.557891619780843, -1.5976701648039011, 8.498664495114006, -8.13593029788251, 1.1548711874444617, -5.460482486000751, 0.977192774652047, -5.582025063205509, -3.464619484749787, 1.9278899803493177, 0.6810778797749384, 2.0602784360992166, -2.694696476162295, -2.217588782496127, -2.102454841575374, -1.3687518447531355, -1.24371335504887, -2.5547565858326404, -1.8359431448030872, -4.8028299459167645, -0.9475836541308902, -4.211155166147352, -1.5990524133846828, -4.341419527027279, 0.2665116967722536, -3.0451694299351795, 33.99466982528872, 14.665823948223156
$DXC, 9-26-2017, S, 8.110348477188367, 5.47623451171555, 16.149657567517117, 11.743432690552758, 13.284391347952074, 6.215996615625929, 12.36087247530142, 4.975739708200687, 13.047590654363027, 5.213418111389955, 15.33270256558903, 6.600438042036272, 17.807239154821943, 8.549756921981878, 19.097795543928097, 9.519573993304874, 19.228030998099356, 9.21279717550907, 19.417476206534246, 9.69091250092471, 20.198905355904138, 10.043343571319394, 29.971294629352265, 13.336699836355749, 1.666677935590477, -4.948675737854735, -18.494202330324015, -25.05342016818157, -31.01775928554986, -25.625249820450755, -28.4446164194753, -27.06541586315102, -25.939901469822612, -25.462793776156445, -23.941607849499814, -23.207904852677576, -25.406111711314374, -26.717154942098144, -20.670427695076498, -23.637314496190175, -18.822686440443437, -22.0862579524599, -19.548097632751325, -22.290464746393923, -17.631922986915573, -20.943604113623007, -58.76121505423468, -78.09006093130024
$HACK, 9-26-2017, S, 1.9391507856904022, -0.6949631797824152, 5.148783015713798, 0.7425581387494384, 6.11835506519558, -0.9500396671305644, 6.084921430959556, -1.3002113361411771, 7.68973253092613, -0.14444001204694246, 9.06051153460381, 0.3282470110510527, 9.495152123035776, 0.23766989019571128, 9.56201939150787, -0.016202159115351833, 10.264125710464711, 0.24889188787442507, 9.862925442995651, 0.13636173738611568, 9.862925442995651, -0.2926363415890929, 34.50351053159477, 17.868915738598254, 16.482781678368454, 9.86742800492324, 17.352049481778664, 10.792831643921108, 6.586422601136754, 11.97893206623586, 11.333998662654633, 12.713199218978911, 10.966228686058166, 11.443336379724334, 10.264125710464711, 10.99782870728695, 12.938813105984615, 11.627769875200844, 16.31561685055165, 13.348730049437972, 18.020725509862913, 14.757153997846451, 17.95385824139082, 15.211491127748221, 17.95385824139082, 14.642177114683385, 27.047810096957537, 7.718964219891976
$GAMR, 9-26-2017, S, 3.8496956235662516, 1.2155816580934342, 9.958505994501943, 5.552281117537583, 9.197782176169156, 2.1293874438430116, 11.226369035814443, 3.8412362687137103, 13.16274520141205, 5.328572658438978, 14.522818936772275, 5.7905544132195175, 14.315350061886821, 5.0578678290467565, 15.652367089618103, 6.07414553899488, 16.413090907950888, 6.397857085360602, 15.191332061057361, 5.464768355447825, 15.514061421990277, 5.358499637405533, 9.704930619987785, -6.929664173008732, -7.7685636752290455, -14.383917348674258, -7.376673412248191, -13.935891250105747, -13.416320575926221, -8.023811110827117, -10.811438201672697, -9.432237645348419, -10.834487993672482, -10.357380300006314, -10.30428975785409, -9.570586761031851, -7.100050550943971, -8.411093781727741, -4.817888316784513, -7.7847751178981905, -3.964963025242907, -7.2285345372593675, -4.287692386175824, -7.03005949981842, -4.656523636318044, -7.968204763025477, -4.057173719290597, -23.386019596356157
$HPE, 9-26-2017, S, -3.595658073270014, -6.229772038742832, -10.379918588873805, -14.786143465838165, -0.33921302578019397, -7.407607758106338, -2.103120759837185, -9.488253526937918, -0.9497964721845387, -8.783969015157611, -0.27137042062416183, -9.00363494417692, 2.170963364993228, -7.086518867846837, 1.424694708276797, -8.153526842346427, 0.746268656716409, -9.268965165873876, 0.13568521031206426, -9.59087849529747, 3.1207598371777445, -7.034801947407, 12.550881953867021, -4.083712839129495, 1.5603799185888834, -5.054973754856329, -0.13568521031207537, -6.694903048169632, -16.282225237449122, -10.889715772350018, -12.143826322930806, -10.764625766606528, -9.905020352781557, -9.427912659115389, -8.344640434192673, -7.610937437370435, -6.2415196743555, -7.55256290513927, -3.731343283582089, -6.6982300846957665, -5.834464043419263, -9.098035555435725, -5.0881953867028535, -7.83056250034545, -4.748982360922671, -8.060663487630105, -1.424694708276808, -20.753540585342368
$INTC, 9-26-2017, S, 9.943566512861214, 7.309452547388396, 19.37650952369012, 14.970284646725762, 24.375168620670994, 17.30677388834485, 24.64391896382474, 17.258786196724007, 22.198339752710016, 14.364167209736944, 16.957810184300182, 8.225545660747425, 19.403389395414905, 10.14590716257484, 18.97339744620794, 9.395175895584718, 20.129003497151388, 10.113769674561102, 16.44720011951626, 6.720636413906725, 15.022843725419065, 4.867281940834321, 23.730186071759896, 7.095591278763379, 22.520831027165578, 15.905477353720364, 27.03574649383893, 20.476528655981372, 18.247786031921144, 23.640295497020247, 23.515184722257043, 24.89438527858132, 24.025808224289392, 24.50291591795556, 23.19269344780148, 23.92639644462372, 26.578874672907116, 25.267831442123345, 28.460092138137384, 25.493205337023706, 28.89008408734437, 25.626512575327908, 28.32572234145987, 25.583355227817272, 29.266324355450777, 25.954643228743343, 37.006184816075894, 17.677338939010333
$TMO, 9-26-2017, S, 5.49891876286428, 2.8648047973914625, 1.9597517506708684, -2.4464731262934913, 0.7448116924072767, -6.3235830399188675, 0.7870714783906996, -6.598061288710033, 1.5318836990320994, -6.302288843940973, 4.141353379550505, -4.590911144002252, 5.646823787933264, -3.610658444906801, 6.909302803964934, -2.6689187466582887, 8.15593585289669, -1.8592979696935963, 8.18234914354603, -1.5442145620635053, 9.3180493298616, -0.8375124547231447, 28.614441166493478, 11.979846373496962, 19.645027939834424, 13.029674266389211, 25.27600576066773, 18.716787922810173, 11.114050088363525, 16.50655955346263, 16.137553918309155, 17.516754474633434, 15.556493218070822, 16.03360091173699, 14.103849390986722, 14.83755238780896, 17.267974404605923, 15.956931173822152, 19.734826683585926, 16.76793988247225, 22.106601047029727, 18.843029535013265, 23.823361933583655, 21.080994819941058, 25.582382077886876, 22.270700951179442, 49.944529078701905, 30.615683201636344
$TDG, 6-8-2020, S, -17.955162768031187, -16.203237222318624, -6.847954191033134, -11.482267148892365, -1.678359649122807, -6.8279411707342526, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$BABA, 8-17-2018, P, -6.387667368706995, -8.850416310030074, -12.659407891040864, -11.465036205430346, -11.882679993445866, -8.084632044410789, -15.082311266350313, -6.475048426289643, -22.25249136905886, -8.917046654402961, -22.17134193899045, -9.628625302076387, -22.177143585041883, -9.408939850459044, -18.531184940153377, -7.559833629060229, -15.951775656114641, -6.435522533783333, -13.117322325125846, -3.8617854885617753, -13.163694338889531, -3.4501410630688234, 2.8460403930897105, -0.09939010506267998, 2.5098550310722167, -3.1660832904131686, 3.1764409187006404, -2.4078900984444873, 8.381632080184742, -1.3777355936755775, 20.965683492564715, 8.250315965172362, 25.550661359826996, 11.559883845539897, 25.40575062819961, 12.253505019986278, 24.55946789799517, 11.64328402768411, 26.15348594589644, 12.34592374493704, 25.550661359826996, 11.771280465869525, 28.39090822186625, 13.4770446631155, 29.782047767631624, 14.470056790441465, 46.64966040691723, 27.58542566134752
$GOOGL, 8-17-2018, P, -3.6226324496066775, -6.085381390929756, -6.71336751512116, -5.518995829510642, -12.982391651408076, -9.184343702372999, -14.322773674684807, -5.715510834624137, -15.943838318050386, -2.6083936033944877, -14.023271703947826, -1.4805550670337606, -14.686914853204748, -1.9187111186219088, -11.543817182572692, -0.5724658714795439, -11.132208001247001, -1.6159548789156926, -10.96936636459912, -1.713829528035049, -12.03725682510145, -2.323703549280742, -2.472102552770772, -5.417533050923162, 0.7847505559513079, -4.891187765534077, 2.402538710926816, -3.1817923062183118, 9.025884871191202, -0.7334828026691174, 11.486529943394096, -1.2288375839982564, 10.340904632176295, -3.649872882110804, 10.307351394400598, -2.844894213812733, 10.604396080675382, -2.3117877896356767, 14.600169904907666, 0.7926077039482671, 14.138645337789967, 0.3592644438324957, 16.357075760264838, 1.4432122015140862, 16.974070028813525, 1.6620790516233654, 24.052397844552132, 4.988163098982426
