Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$PG, 4-26-2016, P, -0.024536196319024928, -0.21589144574251096, 0.4049104294478356, 3.968820326823308, 5.128834355828227, 1.5457850586537925, 7.815954601226993, 3.5679612519352144, 7.263801226993882, 4.40309935163552, 6.63804171779141, 4.64320142902428, 1.9999963190184156, -3.7979425471582395, 4.171781595092017, -3.9510712410157476, 2.9202417177914164, -4.733796043298644, 3.6196282208588837, -4.311869365825394, 3.570557055214718, -4.671890120910095, 10.245396319018397, -3.8523854389440615, 6.662576687116584, -8.884687515097589, 9.9754564417178, -6.700778808634489, 9.202453987730053, -9.31553696914871, 13.521468711656448, -3.762307699491819, 13.889570552147234, -5.42730963929057, 6.981597546012286, -15.47822524971465, 8.38037055214722, -16.193879696703497, 13.312880981595088, -14.437787284070213, 12.785273619631909, -15.343316587506095, 11.32515705521473, -17.33921340331279, 11.447855214723912, -18.28809057628078, -10.957055214723932, -37.62660069255984
$RAI, 4-26-2016, P, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$VZ, 4-26-2016, P, -2.2165594350725737, -2.4079146844960597, 6.041586896822282, 9.605496794197755, 9.552761867398996, 5.969712570224561, 3.2561769321302503, -0.9918164171615285, 2.8834856806590814, 0.022783805300718996, -6.355429580227545, -8.350269868994676, -1.0003903491565214, -6.798329215333176, 5.315808160062785, -2.8070446760449794, 5.845427618673993, -1.8086101424160672, 7.002744213417023, -0.9287533732672548, 7.453901530011775, -0.7885456461130378, -8.297371518242446, -22.395153276204905, -11.239701843860328, -26.7869660460745, -10.847389172224398, -27.523624422576688, -12.12240290309925, -30.640393859978012, -4.570415849352683, -21.85419226050095, -2.0007865829737015, -21.317666774411506, -4.158491565319733, -26.618314361046668, -7.0812102785405955, -31.655460527391313, 4.217342094939203, -23.5333261707261, 4.2761867398980025, -23.852403467240002, 4.550802275402122, -24.113568183125402, 2.7265574735190423, -27.00938831748565, -2.706947822675554, -29.376493300511463
$AAPL, 6-4-2015, P, -3.580796419200505, -1.069779778167279, -9.384164222873903, -8.735085739638714, -15.90523228893349, -7.273024776854342, -15.20296650717704, -8.28109247701224, -4.97762308998303, -5.110280024039982, -11.027936409939809, -8.441114114529546, -20.813397129186605, -15.800841271356923, -18.390183670319505, -13.808759176407394, -22.39543448062974, -16.364254977233983, -23.84627257292792, -16.38902877798173, -23.94659361012502, -16.423021111262113, -24.378765241549626, -24.20346321486233, -26.38524463651799, -25.38083381087188, -18.52137675567218, -21.00396112399505, -16.73097700262387, -20.345886628319754, -12.748884087050483, -15.041960715412927, -16.24479086278747, -15.22143229531464, -15.110356536502556, -19.649128831137485, -10.634354066985651, -17.2530045320894, -10.59577095230747, -17.4892127097619, -10.541750270103423, -17.743150988302105, -9.878067603025166, -17.20264783104402, -8.975153573082274, -16.479771223471595, 19.10788393270566, 3.5206413549385704
$AAPL, 7-22-2015, P, -22.231324607962122, -11.118638514050383, -7.0579558015560595, 1.0252891450267532, -6.279200140313145, -2.510178538913865, -2.229691031385883, -1.4948557535977791, -11.959993834248506, -8.067710957246755, -15.886545319667034, -10.937041528615378, -13.312563761375973, -8.794477516524102, -17.567014265661594, -11.59821067308765, -19.108120964279728, -11.712306467666155, -19.214683800792976, -11.752496571687054, -18.870396552845204, -10.374687742007671, -18.632668862453283, -21.23069246358239, -10.763174383578145, -14.238261968680387, -6.262805353317669, -9.140540716443567, -4.008522141438553, -5.938075611816751, -8.2301830717332, -12.771975286176595, -4.623326653769222, -11.57824700025595, -5.074180017187646, -11.763603270522704, -5.033196328656331, -11.997593279070106, -4.975814574172133, -12.248374906547443, -4.2708387333663005, -11.666660341344082, -3.311746973087859, -10.88772551114242, -2.639560706272992, -10.011676344659238, 23.43635128900243, 6.4354499520360875
$AAPL, 7-22-2015, P, -22.231324607962122, -11.118638514050383, -7.0579558015560595, 1.0252891450267532, -6.279200140313145, -2.510178538913865, -2.229691031385883, -1.4948557535977791, -11.959993834248506, -8.067710957246755, -15.886545319667034, -10.937041528615378, -13.312563761375973, -8.794477516524102, -17.567014265661594, -11.59821067308765, -19.108120964279728, -11.712306467666155, -19.214683800792976, -11.752496571687054, -18.870396552845204, -10.374687742007671, -18.632668862453283, -21.23069246358239, -10.763174383578145, -14.238261968680387, -6.262805353317669, -9.140540716443567, -4.008522141438553, -5.938075611816751, -8.2301830717332, -12.771975286176595, -4.623326653769222, -11.57824700025595, -5.074180017187646, -11.763603270522704, -5.033196328656331, -11.997593279070106, -4.975814574172133, -12.248374906547443, -4.2708387333663005, -11.666660341344082, -3.311746973087859, -10.88772551114242, -2.639560706272992, -10.011676344659238, 23.43635128900243, 6.4354499520360875
$GILD, 7-22-2015, P, -16.70090909090909, -5.5882229969973505, -10.982710152371167, -2.8994652057883545, -12.686183872624547, -8.917162271225266, -8.662902756377333, -7.928067478589229, -11.838727957541517, -7.946445080539766, -14.595106146207836, -9.645602355156178, -14.663583290532433, -10.145497045680562, -16.478342749529197, -10.509539156955253, -16.05889573703133, -8.663081240417759, -17.051872966957703, -9.58968573785178, -16.777948125321007, -8.282239314483475, -25.25252525252525, -27.850548853654356, -30.75672059578839, -34.23180818089063, -29.832219654168803, -32.7099550172947, -36.21811162472179, -38.14766509509999, -35.74730525594932, -40.28909747039272, -36.92860811504879, -43.88352846153551, -38.07567539804828, -44.76509865138334, -36.20099383667179, -43.16539078708557, -34.223595274781715, -41.49615560715703, -34.55744136278035, -41.95326297075813, -35.00256805341551, -42.57854659147007, -34.54887947269303, -41.92099511107928, -36.911490326998795, -53.91239166396514
$MO, 12-15-2016, P, 3.1207123421917338, 3.6159418169842694, 3.7753020619484934, 4.0140750502970395, 3.470846294082919, 3.4222081626474443, 3.4251787661690125, 3.2615799894374575, 3.86664777388801, 3.5350241504642943, 3.729634534034565, 3.5881453253590934, 3.1816059314475176, 3.0931742916956884, 2.709695457156469, 2.5593611831970398, 3.2424995207033014, 3.1761774490075334, 9.179477571031258, 5.956099046506647, 15.055563554405115, 10.014887131353744, 9.681840168006083, -7.690819588402498, 8.859795741823827, -9.569630886590975, 7.565842363652231, -11.358806664917843, 7.474495129411007, -12.440612406579323, 7.063479766677405, -13.430862813896672, 6.865572937568176, -13.982496202013218, 7.45926906806913, -13.870757968895386, 6.287102868409078, -14.724565047903848, 7.03302764399365, -14.451759736890901, 6.317542812679466, -17.20120544485948, -0.5175886583166922, -20.596294971038557, -3.090275442524737, -25.074711293525162, -19.77470026565078, -34.472254834141154
$BA, 12-9-2016, S, 0.4176093961173022, 0.5817596083678489, 1.387731502257572, 1.2945719280267776, 1.7732156160571444, 1.3916886275744167, 2.1394167223675042, 1.6425465834538855, 2.152268634202459, 1.4868145845232883, 2.126574447539009, 1.651887441189448, 2.4991963700300657, 2.077743469474669, 2.2486348441491, 1.7650733425930154, 1.9852304009725819, 1.3996343863431626, 5.795055796789805, 4.095929346306271, 16.562801152436933, 11.554153443970549, 83.88050243034382, 65.7357913375744, 90.00964433059985, 71.18617099442974, 90.13171436421644, 70.81137088913268, 91.41664856087306, 71.10255105524503, 90.66495370375667, 69.76969388201422, 98.30389713988683, 77.05373381528122, 99.54385349992367, 77.810128673762, 103.97687262358647, 82.56256618490681, 106.95792959683637, 85.06892949726668, 112.25828315804497, 89.6284051158974, 114.29489293780506, 98.59462082388416, 126.56601837067853, 104.25555871601297, 106.40539761280046, 89.56497778831032
$BP, 12-7-2016, P, 6.098574213311059, 4.509557900364447, 5.9593400167084365, 4.10849543113323, 6.209966583124493, 4.065690709962255, 6.265664160400997, 4.004019654471858, 4.650520746310227, 2.217331913395615, 3.7315510999721635, 1.4924792733031822, 3.5923169033695412, 1.4074139995216228, 5.7922639933166264, 3.5441618309493883, 5.318852687273745, 2.9669242357014847, -3.1746031746031522, -6.722815912988633, -5.179618490671112, -12.330212890263137, 9.551656920077999, -9.656541992738912, 17.126151489835717, -3.7839203608310825, 18.156502367028704, -3.259164906072275, 19.771645781119496, -2.6552263310713364, 19.883038150932908, -3.1352017728980996, 19.715962127541076, -3.6634135788623965, 19.46533556112504, -4.406093224150709, 19.827343358396, -3.7190578957318365, 19.715962127541076, -4.31346864115827, 21.804516847674748, -2.9788020439229577, 12.893347257031461, -8.314667889085992, 9.468117516012263, -12.60664237790683, 12.252857142857154, -9.388523380050385
