Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$NWN, 5-15-2019, P, -0.29031354754409655, -3.106462243394792, 1.6693308414767127, -5.269839327054426, 2.540281645235609, 1.3719130786193467, 4.572509864603136, -1.9085442421627796, 1.8144868894540034, -3.693524836928508, -4.906368194315114, -15.357731317314705, 1.2628872298285243, -12.100515424575441, 7.228921573942815, -7.66862933194945, 6.66280166443316, -7.389546985055095, 6.735375333653293, -7.079033754942321, 6.314412923710444, -8.398465228395514, -14.312672584013253, -14.589670705778923, -18.89969544055299, -24.734417282020683, -22.717371501195704, -37.21362796621588, -22.717371501195704, -42.72873795613184, -32.38495764820667, -53.525623099972236, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$BRK.B, 9-13-2019, P, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$CAT, 9-13-2019, P, -4.510545831840085, -2.5720455934594937, 8.704817574439371, 6.6735348451952605, 10.542168436547406, 5.541838378225662, 12.198792646111611, 4.988238576224413, 12.025602890987885, 5.603704466897819, 10.896084844214936, 4.696207098175175, 10.95632731273357, 3.918090825762132, 10.564758044470835, 3.5530266275057185, 11.302706822981023, 3.2239722876283174, 11.03162173874348, 2.578440585409325, 10.338852176080149, 2.183899534569921, 15.963852802021394, 4.130732277688699, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$CBS, 9-13-2019, P, -13.247280344202894, -11.308780105822303, -15.081521739130432, -17.11280446837454, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$ERJ, 9-13-2019, P, -12.545735104324896, -10.607234865944305, -14.636691826277682, -16.66797455552179, -4.2864612800032065, -9.286791338324951, 4.495562179590262, -2.714991890296936, 4.025096917150894, -2.3968015069391724, 4.181918671297358, -2.0179590747424037, 3.293262064467428, -3.7449744225040105, 4.7046630791773625, -2.3070683377877543, 3.9205438536614734, -4.158190681691232, 3.71145340885799, -4.741727744476165, 2.1955045580504207, -5.959448083459807, -73.07893220485792, -84.91205272919062, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$STAY, 9-13-2019, P, -1.9568151147098534, -0.018314876329261764, -3.103913630229427, -5.135196359473538, -1.619433198380571, -6.619763256702315, 0.6072874493927127, -6.603266620494486, -0.5398110661268607, -6.961709490216927, -0.4048582995951455, -6.6047360456349065, -1.686909581646423, -8.725146068617862, -3.441295546558698, -10.453026963523815, -1.4170040485830038, -9.495738583935708, -4.453441295546556, -12.90662244888071, -5.937921727395413, -14.09287436890564, -16.666666666666675, -28.49978719099937, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$F, 9-13-2019, P, -6.863780359028516, -4.925280120647924, -4.96304118268216, -6.99432391192627, -1.5839493136219684, -6.584279371943714, -1.9007391763463777, -9.111293246233576, -1.6895459345301012, -8.111444358620169, -3.9070749736008548, -10.106952719640617, -2.85110876451955, -9.889345251490989, -2.5343189017951406, -9.546050318760258, -1.7951425554382228, -9.873877090790927, -2.111932418162632, -10.565113571496788, -2.3231256599788863, -10.478078301489115, -25.976768743400214, -37.80988926773291, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$RTN, 9-13-2019, P, -0.07035125628139793, 1.8681489820991937, 8.29145728643217, 6.260174557188059, 9.34170653266333, 4.341376474341586, 10.623115075376877, 3.4125610054896782, 14.020097487437177, 7.59819906334711, 16.582914572864315, 10.383036826824554, 13.693467336683419, 6.65523084971198, 14.547737185929655, 7.5360057689645386, 14.070351758793965, 5.99161722344126, 14.683417587939696, 6.2302364346055406, 14.1005015075377, 5.9455488660274725, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$TPR, 9-12-2019, s, -1.6823161847541512, 0.08366124263172736, 4.733963408996988, 2.2443368529803998, 1.251956230514728, -3.1231451802736565, 6.259785064936807, -1.1393880470963902, 3.7167489717037983, -2.892380986802423, 4.342727086961151, -2.043991585238003, 6.807512003423777, -0.41904036172144554, 8.294213939523232, 1.094213275622824, 8.646326629355494, 0.37744563350485727, 6.7683961959466465, -1.875590194094844, 7.824726440716989, -0.5205067543037503, -36.07198497934214, -48.10185717851225, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$NWN, 8-14-2020, P, -12.921351575979346, -13.242384240632187, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
