Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$AMRI, 8-4-2015, P, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$GILD, 8-4-2015, P, -15.526755276367144, -7.49147094586713, -16.396321344420084, -10.082544430059892, -8.361204153197399, -9.14804679678599, -15.183943397724796, -13.23353993634564, -16.580268671910847, -12.188283868973537, -16.647154124534346, -12.689117348787514, -18.419731077253033, -13.002467766562576, -18.010033745987187, -11.157389394256468, -18.979930083276418, -12.060523689579615, -18.712372386494526, -10.753382286938162, -18.979930083276418, -11.40721180612738, -32.93478232332412, -36.086904924451304, -34.966554932551084, -39.25840048751311, -35.117057443429054, -38.07843421445494, -40.20067040469348, -39.82394507741558, -39.13879413275575, -44.36053812734436, -39.51505250025171, -46.830262905333406, -37.68394628234023, -45.27574324359625, -35.75251063131289, -43.654278507828394, -36.07859675716717, -44.10434889868962, -36.513376864772184, -44.720342647418335, -36.07023388077314, -44.072141005263944, -36.85618874341452, -44.80087364486447, -38.35283927011437, -56.38813137362355
$GILD, 8-6-2015, P, -13.0682305500602, -6.244324763920384, -17.27082253505624, -11.57392995871762, -10.422768784163294, -10.161230899191276, -12.842190360205697, -12.338125956152002, -16.475513180632383, -11.815287622490866, -16.542482625596044, -12.31498759686207, -18.317285516549664, -12.63465800321859, -17.907073702145016, -10.793092296477269, -18.878188000289352, -11.697631862270928, -18.61029431419743, -10.393071157981904, -18.878188000289352, -11.046152930508356, -32.64127164440197, -36.49785125824977, -34.884888276723856, -38.88412945792451, -35.21975810514252, -37.63547077293455, -38.48471758437968, -37.657293523359336, -39.16282978223934, -44.36041804788734, -39.43909768369437, -46.45322127064033, -37.60569202860674, -44.89562617207309, -35.67183095031806, -43.27086634521676, -35.99832656337363, -43.72099836925456, -36.43365265216373, -44.337029680665495, -35.98995318518091, -43.68884687433519, -36.77689502160473, -44.418727032127464, -39.0539934463121, -56.74385660589668
$LH, 8-4-2015, P, -8.809918343061751, -0.7746340125617373, -11.194793981369777, -4.881017067009585, -2.4633239000288465, -3.2501665436174387, -4.918807523975777, -2.968404062596619, -4.401035503247542, -0.009050700310231363, -3.381185350426097, 0.5768514253207346, -5.240448691923982, 0.17681461876647475, -6.613320729478922, 0.23932362225179737, -6.605474177410564, 0.3139322162862399, -8.22938567326127, -0.2703955737049073, -8.739310357422847, -1.1665920802738086, 10.174943828548333, 7.02282122742115, 8.190164680394085, 3.8983191254320593, 6.723144216496868, 3.761767445470987, -4.479484549466662, -4.102759222188757, -1.9377116032187058, -7.159455597807318, 1.333644768701303, -5.981565636380393, 1.631758047919063, -5.9600389133369625, 1.725893922288435, -6.1758739542270735, 1.1924405648980896, -6.833311576624367, 1.545462449631585, -6.661503333014562, 2.7535851356900842, -5.248321988800718, 3.8754239909357002, -4.06926091051425, 26.304227455054317, 8.268935351545135
$VTR, 8-4-2015, P, -29.88166934397497, -21.846385013474958, -26.57052725037251, -20.256750336012317, -30.36210845924161, -31.148951102830203, -32.05014104691757, -30.09973758553841, -27.28469413449256, -22.892709331555253, -26.245905349187204, -22.287868573440374, -25.11622243154996, -19.698959120859506, -26.466645645017994, -19.614001293287274, -26.7912675462033, -19.871861152506497, -26.661420084216793, -18.70242998466043, -26.25888762825941, -18.686169351110372, -4.171610874636311, -7.323733475763494, -4.898770425729415, -9.19061598069144, -10.196592062147891, -13.157968833173772, -19.389886900690833, -19.01316157341293, -22.908792205002303, -28.130536199590914, -19.11720580218279, -26.432416207264488, -19.273028210214537, -26.864825171470564, -19.0133293907787, -26.915097267294207, -18.11737034653206, -26.143122488054516, -17.883641279191043, -26.09060706183719, -18.48094947283481, -26.48285659732561, -20.37674007726935, -28.3214249787193, -13.793409219719056, -31.828701323228238
$CNQ, 8-11-2016, s, -3.6248075159043713, -0.9353563409421395, 2.575507072320926, 3.766742781824184, -2.8934816250085316, -1.894676049117272, 9.697929739334498, 5.9684331817999805, 2.225758275810552, -0.880627757049024, 4.0381556744624625, 0.6660306086665235, 5.0556437184214875, 1.385704570846591, 3.9745626717150095, 0.18550183168337675, 2.416527745102459, -1.5466396690633877, 0.4133513382082121, -3.352799668988493, -0.6677297084982659, -4.37890270655501, -0.5087440219795236, -12.311185875787867, 2.702696257465931, -10.941580606006006, 5.310009370110991, -11.298622917267199, 15.516695850025574, -2.3748114781955145, 9.348165044573452, -12.666864782582923, 12.082667342363518, -10.633360393273517, 16.693163221203065, -6.536011690122301, 18.56915680225255, -5.686326663693642, 17.86963059238058, -6.986053565405648, 16.343398526442023, -8.87881546655289, 16.597764178131502, -9.12385237372446, 17.297290388003496, -8.0944439057685, 10.270266764061464, -19.606947335572332
$DEO, 9-2-2016, s, 1.9173819403413228, 3.0941720917987525, -7.277321897809341, -3.7332012716629004, -12.454245467217106, -13.040352434505486, -9.325428958086611, -12.370437443113456, -8.026842566268822, -11.33743189412535, -7.79152445165634, -11.399750577432366, -7.242459599833695, -10.969736506868255, -7.73051695538639, -11.631796793754823, -7.015858584902535, -10.72023929695153, -7.495205813059192, -11.14464124347926, -6.196619421241401, -9.91015989339462, 17.709604631507837, 4.490136646620858, 15.156011245529232, -0.0003631999873974223, 17.317416198665093, -0.5497046304347997, 22.006281540984517, 0.06388526852516563, 28.168032563500667, 5.525055675167966, 26.32909144725626, 3.173272851368992, 26.59926575909475, 2.417749553309136, 26.442395440864487, 1.6610358329091532, 26.372670844913216, 1.2249995909745088, 25.849744219099602, 0.20296769248768598, 25.004353756394515, -0.31273688565454094, 25.579569907261114, -0.22747311580333118, 21.492065914102596, -11.224632344593765
$PG, 8-23-2016, s, 1.7215655361493942, 2.875498945499455, -3.144724083945505, -1.2062976301256634, -5.210606170455856, -5.543557595769433, -2.811886932579599, -5.630583853902282, -3.730058661657021, -6.370876449570362, -3.075863757920261, -5.9812206564379355, -3.1217641382450645, -6.323590364014741, -2.5134799442263267, -5.833889978433859, -3.523469649608746, -7.017200094306575, -3.2021130449482293, -6.499716693750967, -4.292434441378434, -7.53530832963385, 6.1632080625458885, -5.275789428902233, 6.082868337525604, -7.554529153922519, 1.7215655361493942, -15.71515555849141, 1.675655974141721, -17.05638826759146, 5.991049213510236, -15.810541664482924, 5.497533759814099, -16.66438003722124, 4.13176417302068, -18.54097972663724, 4.2465340610536195, -19.447884182960063, 4.751520879772331, -19.54038790015926, 4.36130280137621, -20.295480779011484, 4.981067542100326, -20.17286358674801, 4.338353185068966, -20.487185241384864, -4.728560934071879, -35.159576213433354
$CSCO, 2-13-2015, s, -4.628996073144864, -3.5288846640511573, -4.731106355721804, -5.113747563554161, -0.8168822606154702, -1.4865115489523628, -3.9142240951063334, -3.7085475343359375, -6.432944398670681, -6.394678747299654, -2.0421988441864936, -1.8795686300879244, -10.993870353773683, -5.196764315507752, -5.547988616337262, -1.520623275501931, -10.517352298071902, -8.259734829297438, -10.483322344565094, -7.135161553620073, -10.176991496834297, -6.0731020278871775, -13.989105309363703, -4.279437580697099, -5.309731290324415, -2.0046168460511993, -4.833220041974817, -3.843117717063138, -9.632403323090655, -8.264440485647395, -1.395507195218082, -1.5342138438479758, 1.1572498692052458, -1.8895740590112897, 5.445885141112483, 0.7488976865705377, 6.398914445163872, 3.6390785974518725, 2.416613424663483, 0.9386410247295363, 6.977539379766484, 3.170206078247051, 3.1313819990259395, -5.45425745139987, 3.3696461323909466, -4.268936861486328, 7.794421640381954, -3.2114587965953243
$LBRDA, 7-1-2014, P, 0.0, 1.8552492638417295, -5.788460044776233, -8.219654781236907, -2.4999977391826578, -2.7548397410405823, -3.6538425404030628, -6.56923555134179, 6.250004396033715, 1.0512290871839358, 0.48077034185467493, -4.707816893444838, -0.4235586008374259, -4.485740620136847, -1.9106699826660578, -4.91270825486848, -4.181537402007384, -6.842088411088187, -3.719325858434863, -7.699956908087735, -1.2475009176406315, -6.4462762264904105, 3.1736549870163833, -2.7030010661434956, 8.961349368322624, 1.6932503784944153, 7.233080118442703, 8.802907869255572, 3.1736549870163833, 5.273550533905713, 10.52884737604014, 4.351472154163849, 6.79096070970775, 0.04274195208973097, 2.430099296102073, 0.24355084268898874, 1.4654859104356488, -1.1848693798348187, -1.0063490784355866, -2.0970723367035426, -2.75471247276845, -2.311289937955674, -1.5087529301448521, -0.993974634811845, -0.6245161222903195, 1.0013768689312808, 19.37115918535417, 12.602556125691521
