Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$MMM, 4-29-2020, P, -1.9174928309729444, -5.666675432246182, -2.9267056924873303, -6.315723986964816, -1.2867371578602294, -11.779652502740422, 4.175609494318566, -16.000704161827684, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$ABMD, 4-9-2020, P, 19.744003840000012, 15.147127408847226, 62.03519552000001, 46.64503664662274, 71.07199231999999, 56.92831812204711, 96.45439424, 75.74684553620963, 74.9567968, 53.35221296521513, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AGN, 4-29-2020, P, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AMZN, 4-9-2020, S, 16.162006265255435, 11.565129834102649, 23.731344732751623, 8.341185859374354, 52.423319244365985, 38.2796450464131, 55.08046681067218, 34.37291810688181, 56.67905460193041, 35.074470767145534, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$ABCB, 4-23-2020, P, 2.748976892790589, -4.8947907154581305, 10.905812937998526, -0.8593127978610688, 0.7661108262230432, -15.62663495411658, 8.246953211043117, -13.725312180673722, 2.5687200284488565, -15.403402256556765, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$ATRC, 4-30-2020, S, 14.619045238095252, 10.53622176017055, 5.452383333333333, 1.2427232672165056, -0.857145238095236, -11.20646611548677, 1.5238071428571587, -18.578354870510427, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$BIIB, 4-29-2020, P, -2.545002299507859, -6.294184900781097, -15.54202843598016, -18.931046730457645, -8.952854020889179, -19.445769365769372, -8.803912172049111, -28.98022582819536, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$BA, 4-29-2020, S, 5.228853487415219, 1.4796708861419816, 31.08342799705346, 27.694409702575975, 25.21725919441975, 14.724343849539556, 26.484640404336023, 6.308326748189774, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$BXP, 4-29-2020, S, -14.346532673267332, -18.09571527454057, -12.881190099009899, -16.270208393487387, -9.9009900990099, -20.39390544389009, -12.257422772277227, -32.43373642842347, -19.49505148514852, -34.05273067616723, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$CACI, 4-29-2020, P, -0.6402383141929424, -4.3894209154661805, -15.021932241322899, -18.410950535800385, -20.99751223569345, -31.490427580573645, -7.141442544921328, -27.317756201067578, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
