Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$FIVE, 7-28-2020, P, -0.008962518175104073, -8.385977555978986, 17.50358368463729, 14.157118332699635, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$IAC, 7-28-2020, P, 4.529617552499343, -3.847397485304538, -7.024069583655923, -10.370534935593579, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$IFF, 7-28-2020, S, -3.8127007595333273, -12.189715797337207, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$TSM, 7-28-2020, S, 0.8947700288536753, -7.482245008950206, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$ALC, 6-5-2020, P, -4.290110085802179, -4.0190083709017, -0.42091954022988043, -4.9097728978020445, -11.380926015865311, -17.521574543598707, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AMADY, 6-5-2020, S, -9.430221460449562, -9.159119745549084, -14.23616703940821, -18.725020396980376, -3.5507795796990815, -9.691428107432476, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$BIDU, 6-5-2020, S, 15.331659079817106, 15.602760794717586, 13.534774597400556, 9.045921239828392, 5.122470006056945, -1.0181785216764494, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$FMX, 6-5-2020, P, -9.843299565952968, -9.57219785105249, -17.25070871441774, -21.739562071989905, -19.430194562543925, -25.570843090277318, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$ITUB, 6-5-2020, P, -10.48951048951048, -10.218408774610001, -14.160839160839156, -18.64969251841132, -20.27972027972028, -26.420368807453674, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$KIDS, 6-18-2020, P, -6.656708057535909, -10.340454592042981, 13.441431906153877, 4.303021827072893, -4.352457955034305, -12.53283413062941, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$TCEHY, 6-5-2020, P, 19.78962738456054, 20.060729099461017, 29.096102692101965, 24.6072493345298, 15.172041362096621, 9.031392834363228, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$VEEV, 6-19-2020, S, 8.916456518054572, 6.60561216640092, 15.399578929843516, 7.480307843968115, 13.255830342218754, 9.585843226039081, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
