Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$MDT, 3-27-2015, S, 1.9858857853947365, -1.5240819543320683, 1.162789375976092, -1.8206820084271769, -2.822059017218981, -4.245545552014319, -1.0713352355456673, -1.9537010308372849, -3.5798248813715072, 0.37376591584025176, -13.66605547862484, -7.157984657878747, -4.533578461803279, -5.0551949849443005, 0.37888815810178667, -1.7173375988273287, 1.0844029124065457, 1.2160287074724607, -0.9276182267099919, 1.3343619258279094, -1.0060151423306074, 0.8123492651582076, -3.2270720769914996, -2.486076628763434, 3.1748105150926076, 1.546576751826234, 5.827017169754156, 3.6820389155977296, 6.179769974134186, 7.9055092193508925, 15.15547145080387, 9.276274499582637, 13.365555090598956, 7.364484208745291, 12.56859534140846, 8.220134471434815, 6.218973004716832, 1.6121398892981587, -1.4240971854703854, -9.238653130126062, -5.892346408513893, -16.076131564663996, -8.21792646697248, -17.923960452590528, -7.368694703832057, -17.357477183508774, 5.435061334791458, -7.629818179056347
$GILD, 5-15-2015, P, 7.033468857401126, 8.822210602941126, 9.17927072409157, 9.98420669843787, 5.529572520965442, 7.285360020910958, 0.3759706453194678, 7.8274867679751114, -10.050441722592163, -4.232328427714682, -5.63961561743378, -0.875920030573452, -6.703351489132925, -3.0599675091233625, -8.509863131319673, -2.8847469161541355, -8.583219387898588, -3.3864542325301557, -10.527283525154974, -3.8901126217203323, -10.077950204182951, -2.0239114925847517, -24.16323271444569, -20.64224093814172, -22.925263009850628, -20.85408575576645, -21.43971055186491, -23.482638888873694, -26.749202381956838, -29.785352325129978, -28.702432039364545, -28.947209385958615, -33.4800559336069, -33.78602185051553, -29.36268053105876, -31.52799354023489, -30.490599803101336, -36.94889479031378, -33.66346262273831, -39.59454475481249, -31.655206832043824, -37.85930816697037, -29.536915280965193, -36.04698959361748, -29.894548466908343, -36.52700792244913, -39.40394297834179, -52.12753493161243
$ABBV, 3-11-2015, P, 10.001783413450504, 7.77079205675053, 16.01709051463056, 12.957996445685847, 22.210356330492196, 19.19510804218425, 23.54511342845904, 21.74277910814952, 21.907814947638627, 20.115224891872984, 6.104289128035045, 10.931600900606442, -0.6940736909427647, 1.191062035083601, 10.695857104393248, 8.947105522527288, -0.7296672135552185, 0.21533111376217384, 3.327997923616266, 5.666147937582123, 3.203422374148812, 5.098302364719043, 0.3737373264591115, 2.3368130424780587, 4.271224493170034, 4.290705715520704, 13.489946849794388, 12.21369808495567, 7.599217077757925, 5.616651858419641, 14.344191392493165, 10.495972156595013, 18.989147873093913, 12.671254920562134, 12.084002706602636, 8.625477575277806, 12.261973879017152, 7.210577632927362, 13.080623119427347, 7.824639209875549, 9.503470537523938, -0.7795445727157411, 11.97721857941303, 2.3566814497732125, 11.478911042514884, 1.5758457723046746, 17.227272063129952, 1.4788171445309768
$JWN, 3-10-2015, S, 0.18743096573075047, -1.017150290947355, -3.5486655447790283, -5.899785391628065, -8.021989354267022, -9.308810461094229, -3.1987979907384556, -3.4793775371365188, -5.772829011281133, -7.016112796763285, -8.759217902776683, -2.8814139317284937, -14.31962906809484, -11.760483975520785, -21.354492332306542, -21.741502139722403, -28.851680980278417, -28.227613950954577, -37.76083765788877, -34.75179030199565, -37.99825113080409, -35.429428712835715, -29.663873918079155, -26.398429686344407, -35.98650426073353, -35.28019738126059, -39.14781755776357, -39.1526523503046, -51.45570600344504, -53.26984168774213, -49.51892727125987, -52.653751314877645, -45.25802630586063, -50.869748335360654, -38.24815866860126, -40.99596564826046, -31.28826354227495, -35.859884015395046, -32.5377949836036, -37.66091222098051, -24.72822347529956, -34.253638952645076, -39.7226007712433, -48.59008922331422, -40.209923031487236, -49.35799877026848, -43.933525477115154, -59.056157638798545
$GD, 12-26-2014, S, -2.4378159449356174, -1.5113155279945167, -2.7971438003241533, -0.8097211899125267, -4.333117947804022, -1.3471825343727373, -4.32607644812607, -1.0185059684796656, -4.086513271370329, -2.0222806174964636, -2.5082774435140065, -1.5913728213940326, -1.648698031007434, 0.22350879413017832, -1.7050645524938401, 0.3063621866106425, -0.5636497142644026, 1.1645395395226465, -1.2189079724678087, -2.7598834565153774, -6.2988715852328685, -4.690695774103526, -1.535963578889199, 0.12022048962584408, -4.445852399922268, -0.6918352739655913, -4.107649748140263, -0.7904762728661585, -4.882683958139844, -0.09654690484296413, -5.805672800956174, 0.42542322161687274, -7.743247757364435, -1.444944206903065, -7.419149946692382, -0.07432581587941645, -6.686388690232659, 0.2695861257240866, -6.63002146417353, 0.023524276823505552, -12.428656992888031, -2.88038749504088, -3.043748476757824, 2.592078469964154, -8.757833870956366, -6.5015825891527985, 23.96956646083961, 15.467811302645051
$HYH, 12-26-2014, S, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$HD, 12-26-2014, S, 1.1348345508318536, 2.061334967772954, -1.1540719036139957, 0.8333507067976309, -1.836894542116918, 1.1490408713143663, -1.6253144366614292, 1.6822560429849753, 1.3367954990345599, 3.401028152908425, 2.7889920334008833, 3.7058966555208572, 1.1444460142975954, 3.0166528394352077, 1.3752653959819616, 3.3866921350864443, 1.3271763417817883, 3.0553655955688375, 11.559912149646712, 10.018936665599142, 9.020963386585024, 10.629139197714366, 27.187917084403246, 28.844101152918288, 25.129830011641772, 28.883847137598448, 26.13001559540251, 29.447189070676615, 24.06231609745193, 28.84845315074881, 22.0715486996091, 28.302644722182144, 21.60030616656168, 27.89860971702305, 20.09040142074241, 27.435225551555376, 21.927289230795655, 28.8832640467524, 22.590880286856695, 29.24442602785373, 17.070590005657138, 26.61885950350429, 22.70628228391185, 28.342109230633827, 25.60107927675288, 27.85733055855645, 29.601837961093345, 21.10008280289879
$INTC, 12-26-2014, S, -2.2654637526652532, -1.3389633357241526, -3.518121002132202, -1.5306983917205752, -3.8379477611940382, -0.8520123477627539, -5.010663646055436, -1.7030931664090314, -3.0650346481876367, -1.0008019943137714, -1.9989339019189756, -1.0820292797990017, -1.6524466950959549, 0.2197601300416574, -1.732412046908327, 0.2790146921961556, -3.544778784648195, -1.8165895308611457, -10.394458955223884, -11.935434439271454, -21.375266524520264, -19.76709071339092, -6.849677505330498, -5.193493436815455, -9.701489872068237, -5.9474727461115595, -9.488275586353945, -6.17110211107984, -11.380597014925375, -6.594459961628495, -13.965887526652466, -7.7347915040794195, -14.472281449893387, -8.173977899432018, -15.218552771855009, -7.873728641042043, -12.686572494669512, -5.730597678712767, -12.686572494669512, -6.033026753672477, -21.08208688699361, -11.53381738914646, -20.362476012793184, -14.726649066071207, -15.058632729211096, -12.802381447407528, -1.6257995735607822, -10.127554731755339
$LNC, 12-26-2014, S, -1.1568577944344627, -0.23035737749336205, -3.419528809450978, -1.4321061990393513, -5.49506644258364, -2.509131029152356, -7.026194403303743, -3.718623923657338, -5.648179749033333, -3.5839470951594676, -5.324935442751533, -4.408030820631559, -7.111264156367203, -5.23905733122959, -7.876823883579853, -5.86539714447537, -11.313368685154279, -9.58517943136723, -0.8166043010650603, -2.357579785112629, -4.083018102807379, -2.4748422916780366, -14.120447671324388, -12.464263602809346, -16.3491003121657, -12.595083186209022, -16.127934946034962, -12.810761470760857, -18.305544714282817, -13.519407660985937, -22.524665235193353, -16.293569212620305, -21.98026236781665, -15.68195881735528, -24.24294018786901, -16.898116057056043, -25.51888440828317, -18.562909592326427, -25.995235215978816, -19.34168947498178, -33.872065904594514, -24.323796406747363, -37.46172401261864, -31.825897065896662, -32.698193819295575, -30.441942537492007, 15.209258509854685, 6.707503351660128
$UNH, 12-26-2014, S, -1.062477865775524, -0.13597744883442342, -2.2321796366967406, -0.24475702628511398, -2.69031495039731, 0.29562046303397427, -3.538353778666692, -0.23078329902028738, -0.9942450918898671, 1.0699875619839982, 1.783801609661828, 2.700706231781802, 1.2087007002125283, 3.0809075253501406, 1.3159236306043098, 3.3273503697087925, 9.172438217075275, 10.900627470862323, 11.521599045583365, 9.980623561535797, 13.13968664157077, 14.747862452700112, 15.274399659787496, 16.93058372830254, 13.958483827214497, 17.712500953171173, 13.77327765954879, 17.090451134822892, 12.85700703214767, 17.64314408544455, 10.761284170437047, 16.992380193010092, 9.513600136995803, 15.811903687457175, 7.7200568367309375, 15.064880967543903, 7.573842775079154, 14.529817591035899, 9.572091220278445, 16.22563696127548, 10.059468176604657, 19.60773767445181, 18.413108233282305, 24.048935180004282, 25.567805851167, 27.82405713297057, 59.13831890587071, 50.636563747676156
