Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$AFAM, 9-17-2015, s, -14.753407424459875, -15.993281412263617, -13.860546048882938, -16.845248018991875, -15.979170578674095, -20.16874653728672, -19.409015318685896, -19.643992316286585, -18.898806996198825, -19.58873298980094, -15.051024339901675, -14.211104348699198, -15.497450775989563, -13.152684299532547, -13.520410001691962, -11.10565052593473, -12.372448716572082, -8.86779475206161, -12.117348807029138, -9.017660337869827, -14.647106406311504, -11.862381434503188, -23.596942525575194, -30.65123745499635, -19.111398403244074, -25.645740838313724, -10.289115427527296, -19.303213337454338, -6.994049596214924, -19.607785970302793, -5.399661875007178, -17.908405250494773, -2.954929784121385, -15.75364515660983, -1.6794238588557775, -14.80311122764515, -3.6989837649025525, -16.952655632642333, -2.7423490063276046, -16.18600437191794, -2.954929784121385, -16.183602652261122, -1.892004636649558, -15.060686005139079, -0.8290794891777198, -14.067753357017466, 2.572276731031531, -22.220242021242868
$AFAM, 9-18-2015, s, -15.915288654126414, -19.38470399168757, -15.642690619473498, -20.920901048437422, -18.26378524352664, -21.87116184537817, -20.507442241716134, -22.949830381838165, -20.004187880146528, -22.91154406863207, -16.208849155144655, -17.55266853378278, -16.649190955109894, -16.455023571527928, -14.69909655481435, -14.433394760628627, -13.566781580347687, -12.187183244325972, -13.31515859331428, -12.349444050163715, -15.810436481661494, -15.166621676627024, -24.638289466099593, -34.05017303932945, -17.592787116644725, -27.060876298206093, -11.931220631814233, -23.867248001125, -8.261688158139824, -23.355445218809713, -6.689031383707933, -21.675483251751658, -4.277620135827642, -19.56042986972133, -3.0194989100335246, -18.634437291799564, -5.011532921189621, -20.759318367847957, -4.067936759654788, -20.009889589895103, -4.277620135827642, -19.99985604581871, -3.229182286206378, -18.8901055419089, -2.1807444365851247, -17.913201591931315, 1.1742524884515104, -26.366492528230243
$AFAM, 9-21-2015, s, -9.226392521884886, -12.876361431984986, -11.133030656738319, -17.72028522212974, -13.017755577081836, -15.547791185613347, -16.918695662531334, -18.980395397191284, -16.392721534237964, -18.917661439298648, -12.426039613718165, -13.393253002363949, -12.886260949238205, -12.321202922004026, -10.848128186541128, -10.211801579295422, -9.664694068273183, -7.918610294561968, -9.401711387207722, -8.067973363727154, -12.00964032413674, -10.99660582009514, -21.27986584966325, -30.34115826402598, -8.393604900425055, -17.27163525190104, -8.941490051687706, -20.512451041598503, -4.010523690323831, -19.1856396017969, -2.4764430752477917, -17.035591267478026, 0.043833003641613466, -14.81057175247318, 1.358752983590783, -13.82654618984336, -0.7232127827479173, -16.04086534518274, 0.2629826810654601, -15.248115715278466, 0.043833003641613466, -15.248364967319517, 1.1396033061669142, -14.091509855805072, 2.235373608692237, -13.067007624229964, 1.5779026610146296, -25.626333979137716
$AFAM, 9-22-2015, s, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AFAM, 9-23-2015, s, -14.888891111111114, -21.65824814181867, -9.888891111111109, -17.75556666689557, -10.28889111111111, -15.739409345872213, -15.755555555555567, -19.042353745825014, -15.22221777777778, -18.977816645658883, -11.200002222222217, -13.379176390584615, -11.66666666666667, -12.29517678655483, -9.599999999999998, -10.156386066887901, -8.399997777777768, -7.833305698887916, -8.133333333333326, -7.983936600292241, -10.777773333333329, -10.95292968707523, -18.06666888888889, -29.714703448427116, -7.99999555555555, -18.761934091633336, -8.666671111111112, -21.99416318608153, -1.0466688888888909, -17.181845767281658, -1.1111111111111072, -17.045370984717522, 1.444448888888883, -14.788611663204978, 2.777777777777768, -13.790149085506311, 0.6666644444444536, -16.035204512838174, 1.6666666666666607, -15.230970153189926, 1.444448888888883, -15.231659932521094, 2.5555600000000123, -14.058730780411667, 3.6666711111111194, -13.019743207128977, 4.888891111111104, -23.46616154792216
$HEDJ, 9-22-2015, P, 7.254549090909079, 2.560928931367612, 12.872730909090912, 4.878095258034486, -3.072725454545455, -7.632244627241979, -3.818178181818177, -7.227503449784822, -3.8545436363636387, -7.733225710876668, -5.927269090909093, -8.227656384585924, -7.7636363636363726, -8.511520086870238, -7.145454545454544, -7.821128656356269, -7.581814545454546, -7.133078225275469, -6.709089090909092, -6.678143145761217, -6.563638181818177, -6.857630334335396, -0.4545454545454519, -12.37944456933554, 0.27273090909090136, -10.62060231524029, -2.1272690909090897, -15.862563764539816, 4.41818181818181, -11.9424537202792, 5.345452727272737, -10.726337656681494, 5.272730909090906, -11.098214614662293, 5.309087272727275, -11.397121807471567, 5.381816363636371, -11.458493703407413, 5.20000181818181, -11.836308346963875, 5.309087272727275, -11.505432099706205, 5.490909090909102, -11.261718907011574, 5.090907272727274, -11.73392982174257, 15.87272727272726, -12.583016784015456
$GOOGL, 11-26-2018, P, -4.4070890804597695, 6.808953553357821, -1.6092000957854347, 5.840571547866347, 0.6388931034482681, 7.242099915861555, -0.13792538314176817, 6.706082092379351, 3.541184961685828, 8.466309895560176, 4.022988505747116, 7.394194779248531, 4.21360057471265, 7.306384467754945, 2.9635958812260554, 6.545501606193705, 2.4808452107279777, 5.5284808606927305, 4.41283007662836, 5.312064032905095, 6.740420977011485, 1.7174673874902568, 25.47030977011495, 7.549471039131262, 28.979889750957845, 7.958746244971152, 29.158049233716476, 7.425785625723911, 29.118773946360154, 8.281989685555022, 29.466475574712646, 8.881784775613056, 34.143674425287365, 12.607068881090626, 33.60344310344829, 12.096932750876576, 36.200196743295024, 13.482157301959923, 36.92241101532567, 13.779206021935629, 37.47605363984674, 14.671472321445854, 37.12069339080459, 15.580321573736452, 33.61877203065136, 15.40822414062746, None, None
$T, 11-14-2018, s, -2.3567889478490645, 1.728421453592277, -6.7103079119577025, 3.5683642462174916, -3.371518931964612, 6.086464589220341, -1.9312602923489464, 7.760163552246556, 0.5892013286154407, 8.420395407530034, 2.487725122347806, 8.812497790501117, 1.0801964347036508, 7.135057011668045, -1.6366612647024992, 4.892370592183526, -0.49099510608822117, 5.520097233989219, 0.4910049260558047, 6.8011955985070705, -2.7823176033491825, -2.643710587571624, 27.561382244235098, 14.930070420939387, 25.597382179947047, 9.161725504073924, 28.183310251499517, 10.171928474601089, 26.284789731089674, 9.141515980626778, 27.626851968145715, 10.72796616276035, 27.921450995792174, 10.099746776674934, 28.739781628143433, 10.947252707695942, 27.397706297797253, 8.430680020689383, 27.0376506395303, 7.6584544676481485, 26.153853556590946, 7.102930651001849, 24.58265874247656, 5.13781039763921, 25.30278315230059, 2.195836451205558, None, None
$BRK.B, 11-26-2018, P, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$BKNG, 11-26-2018, s, -8.371341093322382, 2.8447015404952083, -4.883890447644534, 2.565881196007247, -4.1302714375702205, 2.4729353748430665, -5.1724025644718115, 1.6716049110493074, -3.1691296322179485, 1.7559953016563985, -2.702333848050076, 0.668872425451339, -7.634033856304889, -4.541249963262594, -7.766196797715919, -4.18429107274827, -6.045813319661919, -2.9981776696971663, 0.5359700117671062, 1.435203968043841, 6.059310386997607, 1.0363567974763788, 6.839360624343116, -11.081478106640574, 15.255140470209483, -5.76600303577721, 16.327066771153476, -5.405196836839089, 14.868764238895649, -5.968020021909483, 15.292254002855099, -5.292436796244491, 15.145468123067962, -6.391137421128777, 16.239342638526534, -5.267167714045183, 16.5295367287394, -6.1885027125956995, 17.45019413713962, -5.6930108562504245, 17.55591898998434, -5.248662328416543, 7.216736523668121, -14.323635293400017, -2.635974326171975, -20.846522216195872, None, None
