Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$ADBE, 12-18-2019, S, 2.452652546675216, 1.3463997341752076, 2.194972638404735, 1.8324713884047217, 1.9217643230965864, 1.7686424480966023, 3.741070405320013, 2.79732384282001, 3.635514368788928, 2.7167637437889303, 5.600747800048156, 3.6757465500481423, 6.193722951995229, 3.9155951394952204, 6.035393554137336, 4.038513866637339, 7.534923485844325, 4.128675360844336, 18.03787796265983, 12.878499837659827, -9.965850792315722, 16.20602420768428, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$APH, 12-18-2019, S, 1.1477130007971015, 0.0414601882970933, 0.4012316954601358, 0.038730445460122276, 0.10264159937747319, -0.050480275622510895, 0.7931314881614471, -0.15061507433855592, 0.7744723481286186, -0.14427827687137906, 1.707569314314994, -0.21743193568501962, 1.5489446962572373, -0.7291831162427709, 1.213028855333187, -0.7838508321668103, 1.4742950727683946, -1.9319530522315942, -3.629746265368039, -8.789124390368041, -38.82616476301513, -12.654289763015129, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AAPL, 12-18-2019, S, 5.875627128332828, 4.7693743158328195, 6.200859451073315, 5.8383582010733015, 5.000007362402048, 4.846885487402064, 7.162261922613089, 6.218515360113086, 6.2044377214197866, 5.285687096419789, 9.807006853767275, 7.8820056037672614, 11.007870379179586, 8.729742566679578, 11.379567321496808, 9.38268763399681, 13.363122803279026, 9.956874678279037, 12.709077028266357, 7.549698903266354, -14.306642500642274, 11.865232499357726, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$STZ, 12-18-2019, S, 3.458232312880738, 2.35197950038073, 2.0368184848278847, 1.6743172348278712, 2.9190726206043127, 2.7659507456043286, 3.027991586646106, 2.084245024146103, 2.7938161091878966, 1.8750654841878989, 4.509312289219913, 2.5843110392199, 4.612787948284192, 2.3346601357841834, 2.4452707342683677, 0.4483910467683705, 2.085830576348724, -1.3204175486512648, 10.630652723849598, 5.471274598849596, -36.59187279685961, -10.419997796859612, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$COST, 12-18-2019, S, -0.6520463749466576, -1.7582991874466658, -2.006825298382553, -2.3693265483825665, -1.837900666843495, -1.991022541843479, -1.5777503151373495, -2.5214968776373525, -1.6892463153906023, -2.6079969403906, 0.8648934377814665, -1.060107812218547, 1.3547789234358953, -0.9233488890641128, 0.3142075851957138, -1.6826721023042834, 3.4494484087113975, 0.043200283711408716, 7.773914921920166, 2.614536796920164, 0.6790803972796633, 26.850955397279662, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$DHR, 12-18-2019, S, 1.960269536423831, 0.8540167239238228, 1.6092668874172267, 1.2467656374172131, 1.6225145695364152, 1.469392694536431, 2.6622543046357583, 1.7185077421357553, 4.1721874172185425, 3.2534367922185448, 3.960262251655622, 2.0352610016556083, 4.7947052980132465, 2.5165774855132383, 4.933772847682127, 2.93689316018213, 7.887419867549661, 4.481171742549672, 10.125823178807947, 4.966445053807944, -17.748346357615898, 8.423528642384102, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$ENB, 12-18-2019, S, 2.736182099319473, 1.6299292868194648, 2.478056144653795, 2.1155548946537817, 2.478056144653795, 2.324934269653811, 2.916873881421078, 1.9731273189210752, 2.426427339885029, 1.5076767148850312, 2.9426921557722308, 1.0176909057722172, 2.839437127545863, 0.5613093150458548, 3.1750101613314596, 1.1781304738314624, 4.956112289307568, 1.5498641643075795, 7.589049685645355, 2.4296715606453523, -35.389778761498256, -9.217903761498256, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$FTV, 12-18-2019, S, 0.4697299121833254, -0.6365229003166828, -0.574115351958715, -0.9366166019587285, -0.4305858615682001, -0.5837077365681842, 0.23486560849248495, -0.708880954007518, 0.5480154038101981, -0.3707352211897996, 1.0438452641420293, -0.8811559858579843, 1.9180610897450379, -0.3600667227549703, 1.774531599354523, -0.22234808814547424, 2.2703523260745317, -1.135895798925457, 1.200416247395819, -3.9589618776041835, -35.86899446593156, -9.697119465931557, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$HD, 12-18-2019, S, 0.39869619728303274, -0.7075566152169754, -0.4903569798244911, -0.8528582298245047, -0.7882324113577366, -0.9413542863577207, 0.5911704131882578, -0.3525761493117452, 0.270379900588158, -0.6483707244118397, 2.030150707066336, 0.1051494570663225, 2.9971095688567706, 0.7189817563567624, 2.8825410376344562, 0.885661350134459, 6.104207677331686, 2.697959552331697, 12.203834904785115, 7.044456779785112, -26.76779346787702, -0.59591846787702, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$ILMN, 12-18-2019, S, 1.7030286353240331, 0.596775822824025, -0.3245406969127007, -0.6870419469127143, -0.7943400904090292, -0.9474619654090133, 1.4434017030641844, 0.49965514056418137, 1.477405534720111, 0.5586549097201132, 3.5389691171084703, 1.6139678671084567, 4.039678443601691, 1.7615506311016826, 3.823327766551432, 1.8264480790514348, -0.0989083238852162, -3.505156448885205, -7.584845248613437, -12.74422337361344, -33.72689867236791, -7.555023672367909, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
