Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$ABT, 3-27-2020, P, 23.200003870967745, 10.624495323970606, 15.19999870967743, -4.087714098192244, 15.587099354838706, -3.420283769773235, 27.1612941935484, 0.17033595911020072, 43.238712258064524, 5.634572606374853, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$ATVI, 3-27-2020, P, 19.1865662101957, 6.611057663198562, 22.52873956726331, 3.2410267593936375, 34.076041274554214, 15.068658149942273, 42.52873461589275, 15.537776381454552, 50.30946331228052, 12.70532366059085, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$ADBE, 3-27-2020, P, 11.902462166090633, -0.6730463809065057, 19.743335139813833, 0.45562233194415924, 37.02597643788348, 18.018593313271538, 38.521004933422965, 11.530046698984766, 66.50946102626392, 28.90532137457425, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$GOOGL, 3-27-2020, P, 14.59285242462569, 2.0173438776285515, 25.94570467722017, 6.6579918693504965, 20.65420818201109, 1.6468250573991483, 34.21732276007554, 7.22636452563734, 46.044686541811245, 8.440546890121574, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AMZN, 3-27-2020, P, 26.534288865072718, 13.95878031807558, 24.555379917928132, 5.267667110058458, 39.31667914284318, 20.309296018231237, 58.582187408063135, 31.591229173624935, 78.67945246169674, 41.07531281000707, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AMZN, 4-29-2019, P, -6.458697024114935, -1.484418293382717, -1.3350446382760395, -2.415070154271215, -0.9748589020010301, -3.826548696158294, -8.51718830169318, -7.90732528543694, -11.3909702411493, -12.22909872610285, -8.937400769625459, -12.170677208817416, -6.732681939456131, -14.006701316171766, -3.8481272447408954, -13.878450230999528, -3.7968188814776815, -14.028156136380831, -4.3355566957414045, -13.756017006447673, -4.566444330425856, -13.758628269910567, 19.548999999999992, 20.223597435365157, 23.95792411493074, 20.90863083869803, 38.02001077475627, 35.32845214614255, 55.51513545407902, 45.76760248237561, 74.90969676757311, 55.54408944126761, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AMZN, 12-23-2019, s, 4.850524505102594, 4.2441583170200525, 4.263361567874013, 4.39706970722794, 4.0117203090617615, 4.353772615937624, 6.500172757316203, 6.05550936051078, 6.1389299311122025, 5.719138887612196, 6.801583903897734, 5.380517310769006, 6.548823121085179, 4.776375883640638, 5.7625875668941395, 4.269997915566792, 5.415877694429905, 2.604842179506739, 12.018388981365181, 11.536402906151567, 2.2082912875740046, 31.25148142462043, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AMZN, 8-2-2019, P, -4.068677513432329, -2.9524621201952654, -6.35910612789311, -5.559376350109812, -2.38798188087771, -7.152317328943003, -2.204248250217833, -9.262267503754963, 1.622163651025077, -8.481631616550999, 1.0530795345793376, -8.240777005277256, 0.809186341816881, -8.256657951546842, 3.2210190258012084, -6.705808404653224, 2.8708989117098627, -7.028708168781406, 3.513149685220651, -7.482255228944989, 3.2681714387428507, -8.111785109564984, 72.37883132263647, 60.648356489840324, 92.24203438409917, 71.54439757683635, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AMZN, 3-4-2020, P, -0.54300365736768, 15.228589112977176, 15.9156847991323, 24.206552894827926, 27.271559755192065, 25.641483287955747, 50.776496731137755, 47.42813655623315, 59.316646564520624, 52.21485956756213, 70.45367451697007, 57.38363314316175, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AXP, 3-27-2020, P, -5.083012165498935, -17.658520712496074, 13.713893251901442, -5.573819555968232, 7.391403061373603, -11.61598006323834, 7.618827436460585, -19.372130797977615, 12.303843249855717, -25.300296401833954, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$ANTM, 3-27-2020, P, 22.953906884086628, 10.37839833708949, 31.542667471427464, 12.25495466355779, 18.62965526111089, -0.37772786350105036, 23.615642095420043, -3.3753161390181567, 24.72312979769713, -12.881009853992541, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AAPL, 3-27-2020, P, 11.493565974282882, -1.0819425727142562, 25.080125024727984, 5.79241221685831, 39.76261127596439, 20.755228151352448, 48.30464727992086, 21.313689045482658, 101.21464213649851, 63.61050248480884, 82.01385084075173, 50.44675022191965, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AMAT, 3-27-2020, P, 10.062890774362888, -2.5126177726342505, 16.54087805993967, -2.7468347479300057, 22.515718605540492, 3.508335480928551, 29.203353685464272, 2.2123954510260724, 34.77987348469868, -2.824266166990988, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$TEAM, 3-4-2020, P, -8.324329054054058, 7.447263716290799, 2.513514189189192, 10.804382284884817, 22.62161891891892, 20.9915424516826, 30.405405405405396, 27.05704523050079, 20.608108108108112, 13.50632111114962, 22.047300675675686, 8.97725930186737, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$BAC, 3-27-2020, P, 3.874538745387457, -8.70096980160968, 20.249077490774916, 0.9613646829052414, 7.979704797047971, -11.02767832756397, 11.715862546125466, -15.275095688312733, 17.573800738007385, -20.030338913682286, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$BDX, 3-27-2020, P, 26.71589411953117, 14.140385572534033, 8.731240245007843, -10.556472562861831, 10.100195367637177, -8.907187756974764, 27.139295808556852, 0.14833757411865278, 12.20774151830366, -25.39639813338601, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$BRK.A, 11-21-2019, s, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$BRK.A, 11-21-2019, s, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$BRK.B, 3-27-2020, s, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$BLK, 3-27-2020, P, 12.25789818845129, -0.3176103585458492, 25.13417387826675, 5.846461070397076, 26.009238031261628, 7.001854906649687, 32.713391528397516, 5.722433293959316, 38.36281083384214, 0.7586711821524688, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$BSX, 3-27-2020, P, 22.62532981530343, 10.049821268306292, 19.920847625329795, 0.633134817460121, 10.686019129287594, -8.321363995324347, 27.341691952506576, 0.3507337180683763, 29.947236147757252, -7.656903503932419, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$CVX, 3-27-2020, P, 20.285630049127978, 7.710121502130839, 31.28119254237969, 11.993479734510014, 20.5074880543197, 1.50010492970776, 24.459232204968153, -2.5317260294700468, 18.080976785317105, -19.523162866372566, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$CMG, 4-16-2019, s, -1.19723947710354, 0.5590814678153477, 3.6768262216649195, 4.168327490274592, 5.86757644481708, 2.533676599506207, 13.458445373609585, 14.994792105226152, 9.258351186492098, 6.20284899252761, 15.398028647801997, 12.847768227121902, 5.560590897294104, -1.512784648742982, 14.504981304514676, 4.788539361216172, 17.207834071041628, 6.006598238131611, 19.059507629347404, 8.676283448555822, 20.28186299202579, 10.128923730418204, 7.862969945285303, 11.918655634688204, 39.18230357862933, 38.4605383566365, 44.777787518779164, 36.346786319851574, 56.85899216547015, 46.94663753047533, 67.44574894481549, 51.29521171782271, 79.5102097143026, 62.13265483728132, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$CME, 3-27-2020, P, 10.526947305389234, -2.0485612416079046, 10.604794610778434, -8.68291819709124, -1.7485017964071758, -20.755884921019117, 0.47304970059880436, -26.517908533839396, 5.299404790419171, -32.304734861270504, 0.5628754491017851, -31.004225169730294, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$CMCSA, 3-27-2020, P, 5.56336049452093, -7.012148052476208, 11.351506041022752, -7.936206766846922, 9.216069120539473, -9.791314004072468, 21.382413599325645, -5.608544635112555, 25.203711716774357, -12.400427934915314, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
