Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$BMY, 6-21-2020, P, 5.956610741230062, -0.037097690657628135, 10.632999266251808, 0.9151435008744926, 4.765284325558894, -0.9849096986040529, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$ENLAY, 5-27-2020, P, 20.559440559440546, 20.79444354227854, 28.53146853146853, 22.073766187073886, 27.83216783216784, 12.477336716140574, 20.97902097902098, 10.685095878168262, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$NCLH, 5-11-2020, P, 37.82894736842106, 30.554718777469358, 34.7861759868421, 24.525788368733846, 35.44407072368423, 19.424917096637937, 49.01316611842104, 33.348768644226695, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$VALE, 6-22-2020, P, 12.260536398467448, 6.861008641088051, 7.758620689655182, -3.3229099146349297, 3.256704980842917, -3.4253358867839756, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$LLY, 2-20-2019, S, 4.216378596577353, 2.6505580604856194, -5.99770892297048, -10.086840013205755, -5.319491877418503, -7.569230923887227, -4.927275002302867, -11.48931781258359, -12.632782627049743, -19.75995124680545, -8.212122280081447, -13.237136174649777, -5.270466708705667, -13.387520508907624, -11.03938088836528, -18.818084014809255, -6.063080717349589, -18.110883618957175, 8.261160522826284, -7.091056210568603, 7.672828264573339, -8.7880663501698, 15.729701317119659, -5.8425935719937065, 7.991507795183206, 20.69083440473165, 27.986606340577058, 26.258811432346295, 26.875312801323247, 20.392461525394733, 30.070270389040775, 19.206733361118555, 36.04347857599637, 20.342101622673024, 24.652726539942638, 3.93713407951579, 25.159341195277186, 7.920935686199716, None, None, None, None, None, None, None, None, None, None
$IBDRY, 2-19-2019, P, 7.65476646371559, 5.112087528419962, 6.22141182612348, 1.6315675353548498, 11.46690419436096, 8.725300209109378, 21.8664159235616, 16.05406914960259, 17.474836307568296, 8.95342533294272, 26.288498740820422, 20.6063552313571, 26.014024824213955, 16.953699663853627, 23.2387885563041, 14.941623811182623, 20.616034747909893, 7.5228704829533015, 23.75724538709225, 8.08885155156105, 25.953027570813436, 8.931906286208168, 47.727958288259906, 25.552757347603112, 16.34644963871763, 29.81216488711582, 17.87130473097578, 15.654155658307367, 18.90820619371132, 12.444811268571488, 39.341255280840045, 25.709165979454713, 56.05366404227925, 39.79571402360682, 58.15797321872604, 35.527050725019976, 49.74076396033049, 31.938391621738525, None, None, None, None, None, None, None, None, None, None
$AZN, 1-15-2020, S, -3.126240539646985, -5.9244699064122885, -27.166600174780363, -0.8430897362315939, -5.678676183643128, 9.528288254292463, 4.036408705255079, 17.777056383752445, 3.759394464594501, 12.719228422868511, 11.436483746804837, 12.945572462080435, 10.684602083802886, 7.449533867552428, 9.873363476981334, 5.6668601173937905, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$CVS, 1-15-2020, P, -3.7842898711796025, -6.582519237944906, -27.44965339774709, -1.1261429591983187, -18.0294585222181, -2.8224940842825106, -16.51574311435986, -2.7750954358624966, -14.812811591101816, -5.852977632827805, -13.569397582630016, -12.060308867354419, -11.001486984767862, -14.23655520101832, -21.611026398459966, -25.81752975804751, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$DEO, 1-7-2020, S, -1.571747426382042, -4.605620974065183, -18.866913657241213, -4.093833778274336, -23.044282279994242, -7.933762912104591, -17.9585266484369, -7.03970112646587, -12.071951687420645, -11.205135980854575, -18.3230763363046, -15.957902582305115, -19.972507978575184, -23.14878509745032, -18.91472456923774, -23.152853002831353, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$LPT, 1-15-2020, S, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
