Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$DIS, 3-18-2020, P, 18.255516303482878, -1.3677577705911936, 30.688441862698568, 6.646118899735608, 33.43989306724025, 2.21872481327199, 34.77566890173165, -1.279354590331863, 47.77943590726959, 4.566739187692882, 47.84793459746248, 5.8923811583090355, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$DIS, 3-18-2020, P, 18.255516303482878, -1.3677577705911936, 30.688441862698568, 6.646118899735608, 33.43989306724025, 2.21872481327199, 34.77566890173165, -1.279354590331863, 47.77943590726959, 4.566739187692882, 47.84793459746248, 5.8923811583090355, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$DIS, 3-18-2020, P, 18.255516303482878, -1.3677577705911936, 30.688441862698568, 6.646118899735608, 33.43989306724025, 2.21872481327199, 34.77566890173165, -1.279354590331863, 47.77943590726959, 4.566739187692882, 47.84793459746248, 5.8923811583090355, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$NTDOY, 5-1-2019, P, 3.231055323105525, 9.816968370791766, 8.089260808926069, 7.424225523451833, 10.134823337982324, 9.157622947704102, 11.18085076708506, 12.588964904543975, 10.018600650860066, 8.993902975183833, 12.157136215713615, 8.696220103678186, 14.783823802882367, 8.041833122718133, 17.805671780567177, 8.026896026559237, 15.59739655973964, 6.626168645011177, 14.830316132031607, 6.086427385912897, 14.830316132031607, 5.227985817164393, 20.455602045560205, 23.648464073271725, 19.24685960018595, 16.22704622823907, 29.19572756857274, 24.157044768079693, 28.98652254765224, 17.585869084706587, 60.90190841469083, 42.07387169790215, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$CVSL, 11-10-2015, S, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AAPL, 8-1-2018, P, 14.70396194036132, 11.763203999313188, 14.472953056336003, 10.72597654158265, 10.00351509057369, 13.540946569032497, -7.367044496217668, -6.9124348183187365, -22.216643956879555, -9.579904983753117, -27.695478778778117, -15.857859004395248, -27.419275299165868, -15.354350508251501, -25.32516797418435, -15.071582164739917, -24.89328931063548, -16.106532961816345, -24.02451214735073, -15.500574027419358, -23.416864893951395, -14.431217721159474, 7.417258927991566, 1.7204241098580653, 3.6659407690264434, 0.46590913669208867, 13.026667744153709, 7.280115636279373, 25.31511424064452, 17.018475809783325, 34.21884328390814, 22.487774156680775, 48.767130040332816, 33.857337705414565, 49.22411792850663, 35.159617899635336, 47.53678606866296, 33.71025095127034, 50.57499622206605, 35.849896316361395, 49.22914579964554, 34.5324544038742, 54.2911594578183, 38.450838987294645, 55.978507387565756, 39.73684972140823, 117.34544232721453, 100.73796636040478
$NTDOY, 8-1-2018, P, 2.9967703320246564, 0.05601239097652311, 6.154905344515771, 2.407928829762418, -9.520518452731253, -5.983086974272444, -11.249425743443386, -10.794816065544454, -24.550485833322146, -11.913746860195708, -23.144307903542916, -11.306688129160047, -24.827108694626364, -12.762183903711998, -21.807290875811645, -11.553705066367213, -19.455974655233412, -10.669218306414276, -18.626099155691577, -10.102161035760204, -20.308899946775018, -11.323252773983096, 9.220838883798098, 3.524004065664598, 10.258185563435095, 7.05815393110074, 9.105580702960324, 3.359028595085988, 11.226369035814443, 2.929730604953251, 13.831258325697139, 2.1001891984697707, 16.828028657721795, 1.9182363228035477, 14.63807942281974, 0.5735793939484424, 13.877364825325845, 0.05082970793322161, 13.877364825325845, -0.8477350803788077, 13.185792688202103, -1.5108987075692415, 14.568925436400981, -1.2713950341226798, 14.2231393678391, -2.0185182983184298, 27.916092025908434, 11.308616059098696
$DIS, 8-1-2018, P, -1.6537623152709346, -4.594520256319068, 3.1667830752990733, -0.5801934394542796, 1.3370839197748063, 4.874515398233614, 2.6125985221674863, 3.067208200066418, -4.908516889514436, 7.7282220836120015, -4.574240851513023, 7.263378922869846, -5.0492593244194195, 7.015665466494947, -3.316323011963407, 6.937262797481026, -1.6537623152709346, 7.132994033548201, -1.6537623152709346, 6.8701758046604375, -1.4866308937368067, 7.499016279055114, 26.09077762139338, 20.39394280325988, 19.95953114004221, 16.759499507707854, 15.059819669247009, 9.313267561372673, 15.226957248416607, 6.930318817555415, 34.53554011259674, 22.804470985369374, 27.80611629134413, 12.896323956425881, 28.782542223786045, 14.718042194914748, 28.026031843771992, 14.199496726379369, 28.421890394088667, 13.696790488384014, 27.982059289232918, 13.285367893461574, 28.844124736101318, 13.003804265577656, 27.814921710063324, 11.573264043905795, 2.1903571428571356, -14.417118823952602
$DIS, 8-1-2018, P, -1.6537623152709346, -4.594520256319068, 3.1667830752990733, -0.5801934394542796, 1.3370839197748063, 4.874515398233614, 2.6125985221674863, 3.067208200066418, -4.908516889514436, 7.7282220836120015, -4.574240851513023, 7.263378922869846, -5.0492593244194195, 7.015665466494947, -3.316323011963407, 6.937262797481026, -1.6537623152709346, 7.132994033548201, -1.6537623152709346, 6.8701758046604375, -1.4866308937368067, 7.499016279055114, 26.09077762139338, 20.39394280325988, 19.95953114004221, 16.759499507707854, 15.059819669247009, 9.313267561372673, 15.226957248416607, 6.930318817555415, 34.53554011259674, 22.804470985369374, 27.80611629134413, 12.896323956425881, 28.782542223786045, 14.718042194914748, 28.026031843771992, 14.199496726379369, 28.421890394088667, 13.696790488384014, 27.982059289232918, 13.285367893461574, 28.844124736101318, 13.003804265577656, 27.814921710063324, 11.573264043905795, 2.1903571428571356, -14.417118823952602
$DIS, 8-1-2018, P, -1.6537623152709346, -4.594520256319068, 3.1667830752990733, -0.5801934394542796, 1.3370839197748063, 4.874515398233614, 2.6125985221674863, 3.067208200066418, -4.908516889514436, 7.7282220836120015, -4.574240851513023, 7.263378922869846, -5.0492593244194195, 7.015665466494947, -3.316323011963407, 6.937262797481026, -1.6537623152709346, 7.132994033548201, -1.6537623152709346, 6.8701758046604375, -1.4866308937368067, 7.499016279055114, 26.09077762139338, 20.39394280325988, 19.95953114004221, 16.759499507707854, 15.059819669247009, 9.313267561372673, 15.226957248416607, 6.930318817555415, 34.53554011259674, 22.804470985369374, 27.80611629134413, 12.896323956425881, 28.782542223786045, 14.718042194914748, 28.026031843771992, 14.199496726379369, 28.421890394088667, 13.696790488384014, 27.982059289232918, 13.285367893461574, 28.844124736101318, 13.003804265577656, 27.814921710063324, 11.573264043905795, 2.1903571428571356, -14.417118823952602
