Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$BIF, 7-31-2019, P, -3.8427167113494143, -0.3808132108376494, -0.08936550491509543, 0.9904046229884944, 0.44682752457552155, -0.5964015210150109, 2.2341376228775633, -2.2842870596176956, 4.825737265415553, -1.6661759706359192, 5.719392314566574, -1.7725575007744743, 4.825737265415553, -1.8754869181528244, 4.378909740840031, -2.0997110265815078, 4.557640750670244, -2.761539199466978, 5.183199285075957, -2.1094060271472204, 5.719392314566574, -2.643016681161181, -11.706881143878455, -19.982905207004276, -7.506702412868627, -23.905924194297324, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$CAT, 12-24-2014, P, -1.9970119820270416, -1.208626745768715, -3.5134568935653254, -1.6626704663138314, -6.791969316445634, -3.9412780915767054, -6.695852271420899, -3.5230775992311942, -4.7629208112229815, -2.8352172620970006, -5.211444950997923, -4.432668886749791, -6.31140117803718, -4.575991154681924, -6.364800366988465, -4.489976347660007, -8.842373011986048, -7.25118133024759, -10.540369612776267, -12.030606580563273, -13.338313897248122, -14.218037945325735, -25.51260065690518, -24.406936318969684, -28.577533410695576, -24.95768971527866, -26.975653854930094, -23.79326279988521, -29.538654736636648, -24.885252268670165, -30.499783538015635, -24.39940772992749, -31.30072331589838, -25.133046288067916, -32.005554592113995, -24.78989806323517, -33.31909475992199, -26.49282962822821, -33.71422398242444, -27.190809532341078, -37.035455329297896, -28.334366178275662, -30.905598365074738, -22.545825907806638, -22.116615998682356, -19.222661626871076, 0.7475405889314501, -7.905473377936856
$AAPL, 3-15-2017, s, 1.4848231408127743, 3.3580328720234975, 11.907317641279192, 11.10330896301679, 2.804679641211405, 0.6494367370588394, 6.749877146549688, 3.420190723501304, 15.24280854335245, 11.277495325931053, 13.671899758355943, 8.986765857992808, 13.263028096606334, 5.833322275510989, 21.920949087699636, 13.897714047935072, 24.546301569577487, 12.806103625982622, 22.057240598027672, 9.31098775456707, 23.75725919927527, 10.539548614852734, 28.039591764160644, 11.908926954170209, 25.55053079261085, 13.157871149635094, 33.978907281288095, 19.654105847336243, 36.31016035262435, 19.876413792313304, 37.37895309148691, 19.665526018634363, 50.075313103068275, 31.208497402893045, 59.35010804533083, 36.93050480893074, 58.63998110207358, 42.648235724133315, 35.133774187396206, 21.991830567746916, 18.678711177714334, 9.485245870478563, 11.10393483669938, 7.55956791007566, 3.2780947341483513, -1.2134013467701266, 32.59450734970213, 14.502231140809418
$DIS, 6-6-2016, P, -1.9805972310084519, -0.6184733388092556, -2.8799495036373246, -6.534433181679322, -4.476556229552909, -8.273423867856668, -6.275261785319941, -8.491682319962845, -5.2445453238130995, -4.224139993669696, 1.0004021928092355, -3.9924806499940235, 6.406633047763077, -0.3992502954626165, 7.7607114769675745, 0.6795542807479737, 8.296280399113588, 0.9066234358056988, 9.155212299466587, 1.6421595109560991, 9.721102563875327, 2.0276961895031578, 7.285771092216775, -8.20544839745414, 5.709379604985654, -9.093659049068048, 8.720692286991639, -8.740156561525424, 2.8294290908390307, -14.322919990589764, 1.0004021928092355, -19.621333743902714, -0.5961964490318938, -23.187554625463193, 8.296280399113588, -16.66812005125755, 10.09498595488061, -17.024140677095566, 13.369041161772866, -14.281644566523564, 14.1370231824679, -14.57679545133115, 13.864188701133685, -15.471366059220681, 12.055376031279064, -17.659859797604227, 1.1115592270771968, -29.780710790373252
$T, 12-14-2016, S, 3.3656175149060052, 4.40779286265367, 3.9709444060761268, 4.7580729265962685, 3.7530243039473277, 4.254321511611058, 1.6464915652903533, 2.033460029527301, -0.024208233031686177, 0.195658963312062, -1.5496344200880086, -1.1406779170135106, -2.227598116890994, -1.7658756853659585, -1.7675521009092532, -1.3673920446260701, -0.7263898480966091, -0.24267937773402304, -2.0096804360697385, -4.274309920003983, 2.6150170124701555, -1.6811831670083155, -8.329293179886044, -25.777950363850554, -5.423724102269345, -23.202182080749488, -6.852295565430877, -25.123253865049058, -8.595639433308456, -27.851612006968864, -7.65133190439059, -27.483355653002825, -7.6271115648210985, -27.81091755077061, -8.886193919762563, -29.549308634803857, -9.467312577901021, -29.813818090472957, -11.21065644577861, -32.027680836666896, -10.653746020671818, -33.493551256328914, -11.864399803012105, -28.09059625477419, -8.983048643657343, -31.145659396700566, -27.77239534557858, -43.4049472890718
$DIS, 8-4-2017, s, -5.756262429374592, -5.651216778195634, -6.920451623751688, -9.009170885407812, -9.110227965160455, -13.465425050564495, -1.5984504777293518, -9.189753684075463, 0.665244368513962, -7.544189887959307, 3.6588735934895977, -5.003047323415367, 4.36107721442085, -5.205829547587771, 4.111611269196769, -5.984544837846605, 2.4577251466952443, -7.961632312591149, 1.7555150580565115, -9.104209233156736, 1.598444010021871, -8.9703942968812, 5.941052223753518, -8.651712165503689, 3.2985308149718895, -13.799073950742311, 8.10311074277621, -9.535863196477614, 6.938921548399102, -3.128950784052864, 6.828051182812955, -5.635584281575622, -0.12011918728302984, 0.5020559804258418, 0.23098955286917633, -0.05585271786705537, -0.26794880528645537, -0.2962261157538504, 1.552250719239101, -0.5364685424170235, 3.2985308149718895, -0.45874247595774076, 3.2985308149718895, -0.7577045751988365, 3.4740782553614125, -0.05695190735628408, 28.559544620912547, 12.168953418433425
$BIF, 8-7-2019, P, 2.2325581395348904, -2.950290422691171, 3.0697674418604715, -0.11940526958480469, 7.255813953488377, -1.2427843270727665, 8.279069767441861, -2.2835211726971885, 10.046511627906973, -3.7158005471066513, 9.11627906976744, -3.8091818217683056, 8.651162790697665, -4.038709488272918, 8.837209302325565, -4.742254767564692, 9.488372093023244, -4.062967152082365, 10.046511627906973, -4.637036501844394, 10.604651162790702, -4.476226440884634, -6.325581395348834, -23.512643994231997, -5.581395348837203, -23.974502980196732, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$T, 8-18-2014, P, 0.7169486870360897, -1.6001234321142421, -2.265549247649823, 2.139937473811249, 2.5810181411247024, -1.3010951127048642, -5.305417416272363, -9.339971216558641, -3.6707744098300576, -8.538661530746406, -2.867794748144381, -6.612710849593828, -3.154571355164071, -5.842575887359136, -3.6994466217220134, -6.047005020895413, -4.674496836091113, -8.338110601381544, -3.584743435180482, -8.46278756813713, -3.6707744098300576, -7.537644777713126, -2.0361314033877753, -8.875558128396522, -6.280467630641462, -5.726607882986879, -3.5560597521095416, -6.452399646982398, -4.645824624199157, -9.340941422545956, -2.867794748144381, -5.90133179539738, -2.265549247649823, -4.140550235327655, -1.4912561368298327, -3.828649902011838, -3.011181617756853, -3.793698374120924, -3.584743435180482, -2.837791718924665, -3.154571355164071, -2.3364814286105595, -3.183255038235011, -1.257437994421251, -2.2082048238659224, -0.6939792371925324, 19.70175852313616, 8.756640295673535
$CAT, 12-24-2014, P, -1.9970119820270416, -1.208626745768715, -3.5134568935653254, -1.6626704663138314, -6.791969316445634, -3.9412780915767054, -6.695852271420899, -3.5230775992311942, -4.7629208112229815, -2.8352172620970006, -5.211444950997923, -4.432668886749791, -6.31140117803718, -4.575991154681924, -6.364800366988465, -4.489976347660007, -8.842373011986048, -7.25118133024759, -10.540369612776267, -12.030606580563273, -13.338313897248122, -14.218037945325735, -25.51260065690518, -24.406936318969684, -28.577533410695576, -24.95768971527866, -26.975653854930094, -23.79326279988521, -29.538654736636648, -24.885252268670165, -30.499783538015635, -24.39940772992749, -31.30072331589838, -25.133046288067916, -32.005554592113995, -24.78989806323517, -33.31909475992199, -26.49282962822821, -33.71422398242444, -27.190809532341078, -37.035455329297896, -28.334366178275662, -30.905598365074738, -22.545825907806638, -22.116615998682356, -19.222661626871076, 0.7475405889314501, -7.905473377936856
$DOW, 5-23-2014, s, 0.0, -3.283099791397026, -5.232223696682469, -9.838044328159611, -7.488153554502375, -12.958223260185065, -7.86730236966825, -12.43623060978546, -7.109004739336489, -9.670134655049223, -7.109004739336489, -16.28375361093084, -3.5071052132701452, -13.208835549002908, -6.12322274881516, -14.881659952610416, -0.8530824644549795, -8.446886943634057, 4.492889099526076, -2.004792880282169, 8.208534597156403, 2.063929144358001, 8.436020853080572, -3.494838968031866, 10.691941232227498, -1.1019060431162853, 7.109004739336489, -4.363383842882862, 7.677723222748822, 8.87396587652841, 6.142183886255914, 3.8498113553649738, 5.592418957345968, -3.624489485342375, 6.0284360189573505, -4.310945577253179, 11.033175355450231, 3.165338406993312, 11.298576303317542, 5.644059923297617, 11.75355639810427, 5.619492682514492, 10.63507298578199, 6.113571496492853, 8.966824644549764, 6.0315342004285, 8.606636966824643, 0.3066789066444642
