Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$ADBE, 4-9-2020, P, 14.809352860053714, 10.212476428900928, 24.59752282311356, 9.207363949736292, 44.497100476957804, 30.35342627900492, 41.33689109688168, 20.62934239309131, 48.72430972021296, 27.119725885428082, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AMT, 4-9-2020, P, -4.997987122736413, -9.594863553889198, 7.3239484909456865, -8.066210382431581, 5.826966197183103, -8.31670800076978, 3.505026559356139, -17.20252214443423, 0.8531167002012063, -20.75146713458367, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$BDX, 4-9-2020, P, 1.4119996000000024, -3.184876831152783, -1.0599975999999955, -16.450156473377263, 2.103998000000007, -12.039676197952875, 3.8000000000000034, -16.907548703790365, -5.535998400000008, -27.140582234784883, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$BA, 4-9-2020, P, -15.377162383555444, -19.97403881470823, 43.58476436498384, 28.194605491606573, 16.133404350502033, 1.98973015254915, 10.762066606331434, -9.945482097458935, 4.459953259519933, -17.14463057526494, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$DHR, 4-9-2020, P, 10.557638535377546, 5.96076210422476, 19.254188008712568, 3.864029135335299, 27.65324749946543, 13.509573301512546, 42.17518330722487, 21.4676346034345, 36.89636403953609, 15.291780204751213, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$ECL, 4-9-2020, P, 13.026423515089958, 8.429547083937173, 30.91035146902852, 15.52019259565125, 14.024459767496467, -0.11921443045641666, 12.47836938913971, -8.22917931465066, 15.495558797636043, -6.109025037148832, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$LIN, 4-9-2020, P, 0.6873651266964709, -3.9095113044563146, 17.46768007711177, 2.0775212037345003, 23.102943899437477, 8.959269701484594, 32.50231937703691, 11.794770673246543, 34.11707418162757, 12.512490346842696, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$MSFT, 4-9-2020, P, 10.092566060996822, 5.495689629844036, 13.007933920365854, -2.3822249530114146, 30.037268994726674, 15.89359479677379, 27.236112483553043, 6.528563779762674, 24.789615744231686, 3.18503190944681, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$TMO, 4-9-2020, P, 7.735330492030457, 3.138454060877671, 13.828645963075136, -1.5615129103021328, 25.368239975349958, 11.224565777397075, 34.64802508787612, 13.940476384085752, 33.50024484475025, 11.895661009965373, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$XOM, 6-10-2020, P, -23.140188785046732, -20.928125219484006, -17.775697196261685, -22.01936107788813, -28.467289719626166, -34.81412351183312, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$MSFT, 6-11-2020, P, 11.054725028355893, 8.271056419054478, 7.264536134610444, -0.8873985387582559, 7.285243947464282, -0.5359904659149928, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$WMB, 6-29-2020, P, 1.8368449486763971, -5.034191422100465, 14.316585629389511, -1.9204341611015714, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$CB, 8-7-2019, P, 7.528016647130942, 2.3451680849048806, 7.176488500988576, 3.9873157895433, 1.1739662751484747, -7.324632005412669, 0.9882542684021001, -9.57433667173695, 3.36937180156871, -10.392940373444915, 2.646409029743091, -10.279051861792656, 3.02447295816215, -9.665399320808433, 2.2219214108397667, -11.357542659050491, 1.9433527374583148, -11.607986507647293, 1.8173316490725844, -12.866216480678784, 1.8504967340851275, -13.23038086959021, -16.64787778343495, -33.83494038231811, -17.092261932950535, -35.48536956431006, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$KO, 8-7-2019, P, 5.2802735794911015, 0.09742501726504038, 3.9410790128180606, 0.7519063013727845, 1.1670193227472758, -7.331578957813868, 3.8836789745551936, -6.678911965583856, 5.8350870480198935, -7.927225126993731, 3.9219437535871426, -9.003517137948602, 4.5532848670365444, -8.136587411934038, 4.170654295006693, -9.408809774883565, 3.8262865888655018, -9.725052656240107, 5.22288119380141, -9.460666935949957, 6.1411899751291354, -8.939687628546201, -9.183085900133914, -26.370148499017077, -2.5636120145398955, -20.956719645899422, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$CL, 8-7-2019, P, 7.430869601645451, 2.24802103941939, 3.6434316346937834, 0.45425892324850725, -4.118663475844963, -12.617261756406107, -1.7137125082456128, -12.276303448384663, -0.8640639152055485, -14.626376090219173, -2.304156039626848, -15.229616931162594, -1.9585252892129978, -14.648397568183581, -1.4112946022092676, -14.990758672099524, -2.3617496439588326, -15.913088889064442, -0.08641272792591081, -14.769960857677278, 0.41762815617429894, -14.663249447501038, 9.20218867505216, -7.984873923831003, 11.175107685048724, -7.217999946310803, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
