Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$INTC, 8-9-2016, S, 3.025105507274395, 3.556900296349841, 9.160955788785529, 10.064087386843312, -2.5970318893541067, 0.043599783487058286, 2.0262527960544396, -1.3112059822552924, 4.480593479435124, 1.312763359044311, 4.7659758913819905, 1.332248376453471, 4.02397248790034, 0.29225341513912095, 4.4235130016121005, 0.5726012483207477, 4.109586069931903, 0.08446398734633931, 4.309354899847184, 0.4813666320249821, 4.195196798082312, 0.4222193023911469, 3.538806976632225, -9.45344321838335, 1.2842493925727894, -12.427751393380525, 13.242005900627696, -3.491134503417136, 31.4212262722253, 13.266912288690591, 23.51597535627925, 1.4282332320354882, 32.363012775028174, 9.573854997307514, 29.765980885674082, 6.463370132971825, 24.20090969746265, -0.12862121691110673, 26.79794158681674, 1.8678523035931853, 26.341320595281957, 1.0444830510843985, 27.5684923639129, 1.7719546523770724, 23.658677977777476, -1.8077808892637641, 42.294519340909844, 11.395517619436468
$PFE, 8-9-2016, S, -1.2575106454695173, -0.7257158563940713, -3.829665399847637, -2.9265338017898546, -5.658770753999942, -3.018139081158777, -11.088884761995722, -14.426343540305453, -6.544729548743655, -9.712559669134468, -5.315807069688072, -8.74953458461659, -4.629902564738342, -8.36162163749956, -3.8010915232299824, -7.652003276521335, -4.458422151562025, -8.483544234147589, -4.001148670983201, -7.829136938805403, -4.629902564738342, -8.402880060429506, -4.715638484387608, -17.707888679403183, -2.572169044174377, -16.28416983012769, 3.0580135434116418, -13.67512686063319, 0.25721633282560497, -17.897097650709107, 3.0008543583392777, -19.086887765904482, 3.972560504569289, -18.816597273151373, 4.17261765232253, -19.12999310037973, 4.915681342344613, -19.413849572029143, 5.230059718201807, -19.700029565021747, 4.9442666507993005, -20.35257089339826, 4.144032343867843, -21.652505367667985, 3.858239276465336, -21.608219590575903, 18.0337143164496, -12.865287405023775
$DIS, 8-9-2016, S, -2.196421899420331, -1.664627110344885, -3.043618836485529, -2.1404872384277462, -3.472440085007422, -0.8318084121662572, 8.241812485704303, 4.904353707394571, 10.134925111024739, 6.9670949906339255, 11.53644794962403, 8.10272043469551, 12.090782218483609, 8.35906314572239, 12.979809507584882, 9.12889775429353, 13.565527522586262, 9.540405440000697, 12.854304854572707, 9.026316586750504, 13.523689849140364, 9.750712353449199, 5.334167918270394, -7.658082276745182, 2.3951479720202062, -11.316852813933108, 5.438758441180225, -11.294381962864607, 5.459680938608091, -12.694633044926618, 9.685181365074968, -12.402560759168793, 13.952511097662267, -8.836646680058394, 17.341283157187725, -5.961327595514533, 18.136173850683246, -6.1933570636905095, 17.853779752601405, -7.076309530622151, 15.981589624708835, -9.315247919488723, 15.18669160980346, -10.609846101732366, 15.008888034631429, -10.457570832409811, 19.286687383258162, -11.612314338215214
$UBS, 7-5-2016, P, 5.9665871121718395, 2.39635159788274, 16.626889419252187, 11.960701268983874, 11.53540175019887, 8.443749635937303, 12.092283214001597, 12.283713702512198, 25.298329355608583, 19.698905011036814, 29.037382657120126, 21.336977665010927, 33.09466984884646, 25.116685527554505, 33.810660302307085, 25.521592463746636, 32.29911694510741, 23.885619815456803, 31.105807478122504, 22.51044626354446, 30.23071599045344, 21.841149466554423, 37.15194908512329, 21.03325634352924, 38.027048528241856, 19.58244046251405, 29.673818615751777, 11.339289517864291, 35.71996022275259, 14.379928329859084, 34.1288862370724, 10.510799752964921, 37.549729514717576, 11.591363504307914, 47.17581543357199, 18.992039484534764, 47.49404136833731, 18.774254404186255, 50.75577565632459, 20.963951825860484, 50.3579952267303, 19.939228099396946, 50.03978520286396, 19.238157098509397, 49.88066825775657, 18.557386161705615, 21.877486077963404, -8.378564129110778
$F, 5-17-2017, P, 2.376599634369292, 0.9145894832697454, 7.038391224862894, 4.79330668841742, -1.3711151736745975, -3.9369277980846884, 6.3071297989031105, 2.337620085220249, 10.877513711151753, 4.567119728399293, 9.872029250457048, 2.3162150015051397, 15.722120658135296, 4.0510094591275525, 14.44241316270567, 2.8796033623292203, 15.904936014625237, 3.87561713782849, 16.81901279707496, 3.8566628550752, 19.378427787934193, 5.870427234018827, 4.20475319926874, -9.065823164688469, 8.0438756855576, -6.705369443155783, -1.279707495429605, -17.270210111303474, -12.888482632541132, -31.11156853538114, -13.711151736745887, -34.84577543605758, -19.56124314442412, -36.3723059833856, -17.550274223034734, -31.283190636455938, -22.486288848263246, -30.533603009815113, -31.17001828153564, -33.627529923842275, -27.14808043875685, -30.542779677388143, -27.696526508226682, -30.824647941681192, -25.868372943327245, -31.120788760951235, -5.667276051188297, -24.436025061778523
$BAC, 1-19-2016, P, -16.81415929203539, -17.451130736240483, -6.05854322668481, -13.486422506558704, -2.9271613342409797, -13.339878364726255, -0.6126616746085722, -8.035271950675805, -6.466984343090532, -16.395389957436514, -4.288631722260039, -17.954661435556485, 2.995234853641948, -11.928954425841498, 5.854322668481959, -6.869407121652248, 10.959829816201495, -1.7059925218656957, 36.827773995915614, 21.450857843243543, 53.846153846153854, 35.26856293250433, 54.731109598366245, 35.31650250162086, 67.3927842069435, 43.408790039160586, 67.32471068754253, 42.54581499082886, 56.024506466984356, 32.5669388959324, 55.95643294758339, 31.019607692570613, 60.72158611300205, 32.48933352101302, 63.7168073519401, 34.20533391848206, 60.51735874744723, 32.78520984307285, 68.14159972770592, 36.53495054496505, 78.3526276378489, 44.20333694004426, 82.0285908781484, 46.13682130161854, 101.497617426821, 60.16259894579936, 114.97617426820965, 67.68201882000523
$F, 1-19-2016, P, 0.3292181069958877, -0.3077533372092045, 12.263374485596712, 4.835495205722817, 9.876543209876543, -0.5361738206087328, 7.818930041152261, 0.3963197650850292, 10.20576131687243, 0.2773557025264495, 11.604938271604937, -2.0610914416915094, 1.2345679012345734, -13.689621378248873, -0.24691358024692134, -12.97064337038113, -2.139917695473248, -14.805740033540438, -3.127572016460911, -18.50448816913298, 3.6213991769547205, -14.956191736694802, 2.0576131687242816, -17.356993928021105, 3.7860082304526754, -20.19798593733024, 2.716049382716057, -22.062846313997618, -7.901234567901239, -31.35880213895319, -11.028806584362139, -35.965631839374915, -7.818930041152273, -36.0511826331413, -3.2098765432098775, -32.721349976667916, -13.333333333333341, -41.06548223770773, -4.279835390946496, -35.88648457368737, -0.08230452674896638, -34.2315952245536, -0.9876543209876631, -36.87942389751753, 4.609053497942384, -36.72596498307925, -0.24691358024692134, -47.54106902845133
$SE, 1-19-2016, P, 0.0, -0.6369714442050922, -0.9230769230769154, -8.35095620295081, -5.230769230769228, -15.643486261254504, -7.07692307692308, -14.499533352990312, -14.95384615384615, -24.88225176819213, -13.538461538461533, -27.20449125175798, -13.969230769230768, -28.893420048714212, -13.169230769230778, -25.892960559364987, -5.661538461538463, -18.327360799605653, -6.030769230769229, -21.407685383441297, -5.969230769230771, -24.546821682880292, -7.63076923076923, -27.045376327514617, -7.692307692307687, -31.676301860090604, -7.692307692307687, -32.47120338902136, -8.553846153846155, -32.011413724898105, -10.64615384615385, -35.58297910116662, -10.33846153846154, -38.57071413045057, -8.615384615384613, -38.12685804884265, -7.692307692307687, -35.42445659668208, -6.276923076923069, -37.88357225966394, -7.692307692307687, -41.841598390112324, -4.861538461538462, -40.753308038068326, -26.46153846153847, -67.7965569425601, -24.86153846153846, -72.15569390974287
$UBS, 1-19-2016, P, -13.157894736842113, -13.794866181047205, -1.4619883040935644, -8.889867583967458, -4.093567251462005, -14.50628428194728, -13.450292397660824, -20.872902673728056, -11.05263157894737, -20.98103719329335, -23.742690058479543, -37.40871977177599, -21.345029239766088, -36.269218519249534, -19.532163742690066, -32.255893532824274, -20.58479532163743, -33.250617659704616, -7.8947368421052655, -23.271652994777334, -6.198824561403516, -24.77641547505304, -2.339175438596497, -21.753782535341884, -7.309941520467844, -31.293935688250762, -7.368421052631591, -32.147316749345265, -9.590643274853806, -33.04821084590576, -4.61988888888889, -29.556714143901665, -4.912280701754391, -33.14453329374342, 3.6257251461988327, -25.885748287259204, -2.3976549707602546, -30.12980387513464, -1.1111111111111183, -32.717760293851995, 0.5263216374268742, -33.62296906037776, 0.4093567251461927, -35.48241285138367, 7.836263157894718, -33.498755323126915, 16.84210526315788, -30.452050185046534
$MSFT, 8-4-2017, S, 1.2983342182780522, 1.403379869457011, 2.3342457918716697, 0.24552653021554516, 16.298335185128863, 11.943138099724823, 16.602203961265083, 9.010900754918971, 18.964080967843078, 10.754646711369809, 18.867397268856422, 10.205476351951457, 19.59943868509837, 10.03253192308975, 21.07735024648203, 10.981194139438657, 21.823196910961396, 11.403839451675003, 22.44475076119472, 11.585026469981472, 21.353589189127376, 10.784750882224305, 49.337016592900085, 34.74425220364288, 53.10772781470365, 36.01012304898945, 58.30110198063254, 40.662128041378715, 46.91988958784834, 36.852017255396376, 54.61325815985476, 42.14962269546618, 37.50000034530385, 38.12217551301273, 38.25966192652868, 37.97281965579245, 37.734804206220865, 37.70652689575347, 40.38673507218964, 38.298015810533514, 42.32043943866191, 38.563166147732275, 43.453036092457566, 39.39680070228684, 42.56905821632435, 39.03802805360665, 84.116021157016, 67.72542995453688
