Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$AFG, 4-24-2015, P, -2.0237987629940224, -2.3734113426101433, 2.595397685984979, 2.5670517543653126, 4.186619611310705, 4.829159994140886, 4.526496005260494, 15.945752616443398, 6.380345757129047, 15.59796346066079, 12.776141845690937, 14.836049677876362, 13.239610076953046, 15.030221873407513, 11.0767784144858, 13.883167381576623, 9.90266600173031, 15.179996999040503, 9.037538589330829, 13.88493999068391, 8.141505879429678, 14.434621134213465, 6.503937594441345, 8.110291622479625, 11.262156128742973, 13.855941395797956, 10.01080750760972, 13.804627241261423, 12.405374058147345, 9.882461888118277, 14.398269068518355, 11.024935011508695, 14.676347226494023, 13.088895683216139, 16.113085920913672, 14.535085383788093, 26.680049744474754, 22.220065892258624, 35.362272422573504, 28.577806898326408, 36.78355769580299, 30.462104068692582, 36.19650844137921, 29.601029495815162, 37.107980668562625, 30.205401190202586, 49.38976134451902, 37.332694105684425
$AFG, 5-18-2015, s, 3.8606386713647467, 4.298825148037699, 6.779660910551466, 6.539369265251138, 14.89327974116006, 15.826190574817456, 8.207777648967696, 15.996129331300157, 11.770244636374061, 16.35939124895541, 10.844312447515492, 13.765539291625295, 11.15819348464855, 15.620123741387848, 11.644692221520847, 17.180877541531558, 10.765851996769404, 15.87328261523363, 9.855616606157923, 16.404810289035943, 8.066540990795023, 16.033937618023707, 10.483366125496453, 14.158452262061516, 12.64908643049143, 14.260468789816194, 13.339610587890594, 11.582168111388569, 15.834897742704035, 12.9607972638617, 17.29440807761442, 16.403906779331834, 20.652849644493877, 19.710520228321847, 27.840548841171533, 24.622492942614606, 36.064023288386316, 29.934172792010763, 38.95166291664056, 32.92076030711601, 38.35530856316214, 32.0511294806183, 39.28122819709308, 32.670787813810946, 37.79033525125024, 31.057394399689287, 50.98869662604053, 39.92104187358234
$GCAP, 4-23-2015, P, -3.3604887983706755, -4.4311526405024, 3.9714867617107963, 3.0245416954168602, -26.37474541751528, -27.031421619942385, -28.615071283095727, -17.83230200069451, -19.348268839103877, -11.715628602150085, -22.301425661914465, -20.921461787159366, -18.635437881873727, -18.269038156923, -25.967413441955202, -23.36927299185364, -18.737270875763745, -14.140559347901416, -22.403258655804482, -18.239565936403313, -24.134419551934826, -18.51462495893571, -29.83706720977597, -28.937710058235922, -28.92057026476578, -26.7126239728425, -33.808553971486766, -33.646766672078144, -31.67006109979633, -34.92964054094541, -33.91038696537678, -38.24063024865758, -35.64154786150713, -38.76788961148596, -44.90835030549898, -47.21622855364207, -33.60488798370673, -38.28250029903233, -31.262729124236255, -38.53372576295136, -31.975560081466405, -39.06097498754535, -31.160896130346238, -38.52230533409809, -29.735234215885942, -37.40595059002013, -27.596741344195518, -40.458982491820784
$GCAP, 5-18-2015, s, 1.4373716632443578, 1.8755581399173105, -23.511293634496923, -23.75158527979725, -17.248459958932237, -16.315549125274842, -21.047227926078026, -13.258876243745565, -23.716632443531836, -19.127485830950484, -21.457905544147838, -18.536678700038035, -23.716632443531836, -19.254702186792535, -18.069815195071868, -12.533629875061157, -21.765913757700204, -16.658483139235976, -23.511293634496923, -16.962099951618903, -23.819301848049278, -15.851905220820594, -30.39014373716632, -26.715057600601256, -33.98357289527721, -32.37219053595245, -28.85010266940452, -30.607545145906546, -34.394250513347025, -37.26835099218936, -34.496919917864474, -35.38742121614706, -41.68377823408625, -42.62610765025828, -36.03696098562628, -39.255016884183206, -28.952772073921974, -35.08262257029753, -31.416837782340867, -37.447740391865416, -30.595482546201236, -36.89966162874507, -29.158110882956876, -35.76855126623901, -31.51950718685832, -38.252448038419274, -40.65708418891171, -51.7247389413699
$BRK.B, 6-5-2017, s, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AAPL, 1-20-2015, P, 19.269288548564113, 15.771263741310417, 18.926191354829047, 15.314524745787539, 16.44102805790162, 13.150512150079985, 20.54896589573316, 15.237700916150198, 18.221439845008902, 13.522818164219718, 21.448446641262862, 16.334807161609508, 5.786354072194144, 3.755721106859178, 5.406161179753766, 8.350821346097447, 3.245549081808208, 3.0232111305531273, 10.534125019811768, 7.05092185331364, -0.5192841438903639, -0.03015863531944385, -11.8137949485829, -3.231781354254437, -10.691765975213874, -6.477339466881071, -1.771138789730664, -2.596244051344454, -1.11275597599243, -4.842994722936278, -12.240352827906264, -13.485414129637341, -10.979225184689357, -14.15116846053749, -7.270026234051419, -14.083271495313632, 0.9458494416116237, -6.890119664197747, 4.831239051603831, -1.102560531413932, 8.36424734288752, 2.697250633391567, 2.1142508202615318, -6.171324524172528, 8.25296766516943, -3.4812224060022157, 11.69324969188612, -0.3126809999892899
$BRK.B, 3-6-2017, P, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AAPL, 1-21-2015, P, 19.33915445026726, 14.65428993413822, 16.677382897746963, 12.250584882858618, 17.576881783455956, 13.02601428965944, 19.385050734650775, 13.821771826462202, 17.016980890940104, 11.850725804091478, 21.936680016032305, 16.51236587211171, 1.3584250154538902, 1.244283079970021, 4.332266336200696, 6.8434315967466075, 4.635157581832305, 3.588010683569265, 9.472235317934308, 5.5615628613586265, -1.532809601938856, -1.4881465746435674, -10.913263365333215, -3.325177509253807, -11.601652559950526, -7.815049582283029, -2.7719101522500234, -4.04734786937162, -1.8540578927602636, -6.131971044125029, -12.00550021130795, -13.995572171605719, -12.859102812633417, -16.233794127769897, -8.370808935137553, -16.043268984765337, -0.08260303194503882, -8.400218416560435, 4.497479742908839, -1.825103383642035, 7.214318759589489, 1.070395682666403, 1.0738944864210787, -7.695335290253858, 7.205147579812676, -5.077730832097993, 10.142271138770864, -2.3837859331894418
$AAPL, 1-22-2015, P, 17.921276331533598, 14.51424812934301, 15.291129501500844, 12.139017710533452, 15.173219112163295, 12.22209903154954, 19.35425650809881, 14.91777051458163, 15.626692703548262, 11.744150027008793, 10.638483198313686, 7.236361609072106, -13.957917142829057, -5.869285545413295, 2.829667954664705, 7.785793133444907, 3.6912714060848506, 4.186398115846924, 8.171586861179513, 5.5293005393570285, -2.5938725705106913, -1.9712910866776956, -10.547802991191613, -3.581772474157219, -12.651920455217825, -7.690888173268518, -4.543809013466015, -4.431053488998049, -4.761472709542069, -6.99687537056951, -13.050969960059133, -13.796099605014057, -12.706333658395296, -14.990753917123156, -9.976419010469106, -16.064952122667407, -1.2697296836666094, -8.26516556298824, 3.7094103497402386, -2.668350658697416, 6.203515102357504, 0.8061942875460026, 1.5327334833036943, -6.565697613847377, 5.523304715280086, -5.070352067070606, 8.83366193239028, -2.318845270107216
$AAPL, 1-26-2015, P, 13.231929426127298, 9.905273782956915, 7.9303748173157995, 7.808250841227027, 16.326710614619678, 12.604374265913478, 16.581688643632454, 12.825161489588634, 12.247234473263035, 9.52143416590434, 8.220503190452021, 7.131159766219718, -5.846668044546089, 0.32303766993809724, 0.09671531903341357, 6.41297127031184, 3.8157237142860456, 2.550521275990003, 4.000355336745387, 1.694661507132067, -5.407068943452398, -5.4803403981302345, -12.141723655414927, -4.1841209770075105, -14.541938264179299, -10.565581602728946, -6.804990568137526, -6.267642142371521, -8.642511293916344, -10.757691720831197, -12.361523205961777, -14.672106391081785, -18.234567196573494, -16.7104546015307, -14.876030064217705, -20.65004774572753, -5.56531758626051, -12.018344086328003, -1.8463127078007013, -6.88270401621388, 0.5011429752467933, -3.651072211771389, -2.0309443302600427, -10.066700491413416, 2.4441710020809193, -7.965675254238148, 6.972045260138748, -5.088912267941459
