Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$ALK, 1-8-2020, s, -3.771010204013492, -6.3380532920976895, -34.63577062904394, -19.883800075702574, -54.263211483616715, -37.23837384829646, -56.42889529651516, -46.56638033932505, -30.48613858073813, -29.643876555855886, -46.085115039907855, -43.505683272888795, -43.99515286983422, -47.74817074465297, -39.164018463789475, -43.42796499092179, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AMGN, 1-9-2020, s, -4.814555427305645, -6.3690093572240425, -17.50177172596461, -1.9081933054786884, -9.299515129546377, 5.5950201918353315, -2.7618986794451184, 8.220443594502125, -5.711544864520457, -3.9148757671040757, 4.405689812627234, 7.263185485211299, 0.2378042451683049, -2.490915981361974, 1.230755131788941, -2.26139101130467, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$ANTM, 1-9-2020, s, -10.379099941293257, -11.933553871211654, -14.238374703891344, 1.355203716594577, -21.729522081940644, -6.834986760558936, -11.983882843746485, -1.0015405697992428, -2.543607618058341, -0.7469385206419599, -14.816615640502883, -11.959119967918818, -9.986028749044529, -12.714748975574807, -12.961698237670394, -16.453844380764004, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AAPL, 1-13-2020, s, 4.027078473773393, 1.1256508672946808, -15.001282762095613, 4.3926986990100545, -13.903869135984126, 1.1854405048147836, 0.1636426562113824, 12.520030764468927, 6.934277657077259, 15.626340739950674, 24.842759602476725, 26.76071349576602, 46.874591355431086, 43.743377307721936, 47.246816981295495, 43.84598531063302, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AROW, 1-13-2020, s, -4.387863184607976, -7.289290791086689, -31.25677038227358, -11.862788921167912, -22.806062990577626, -7.716753349778717, -30.90465497858369, -18.548266870326145, -26.191761982218953, -17.49969889934554, -23.374857712614173, -21.45690381932488, -20.070418205331432, -23.201632253040586, -24.810396793629288, -28.21122846429176, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$ATO, 1-13-2020, s, 5.861757524923572, 2.9603299184448595, -11.301619186685475, 8.092362274420193, -6.615801497023311, 8.473508143775598, -13.922803161170494, -1.5664150529129497, -11.813288836386192, -3.1212257535127783, -10.601441461374483, -8.68348756808519, -6.229805094617502, -9.361019142326654, -15.655298641736115, -19.05613031239859, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$BAC, 1-9-2020, s, -2.43626069224534, -3.990714622163738, -37.02549396672787, -21.431915546241953, -31.813029229830857, -16.91849390844915, -34.5325732162202, -23.550230942272957, -21.473088426999666, -19.676419329583286, -35.01415963212917, -32.15666395954511, -25.46742281777401, -28.19614304430429, -27.36543986870934, -30.85758601180295, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$CVX, 1-9-2020, s, -7.696228682582829, -9.250682612501226, -30.070579303361832, -14.477000882875911, -24.534398317353457, -9.639862995971749, -19.8826412069952, -8.900298933047956, -14.363465919328721, -12.566796821912341, -26.89003833285274, -24.032542660268675, -25.214724898876597, -27.943445125406875, -31.992513206650674, -35.484659349744284, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$CTSH, 1-8-2020, s, 14.037409369309728, 11.47036628122553, -8.85614798874358, 5.895822564597786, -19.798045025657995, -2.7732073903377383, -8.955470948518451, 0.9070440086716527, -3.8404237708988487, -2.9981617460166032, -7.151133918225449, -4.571702151206392, 11.504719417315012, 7.75170154249627, 8.342984605197824, 4.079038078065512, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$CVS, 1-9-2020, s, -1.9862972602739726, -3.5407511901923705, -18.150684931506845, -2.5571065110209243, -18.465753424657528, -3.57121810327582, -14.095891780821912, -3.1135495068746692, -4.287667123287675, -2.490998025871294, -14.60273972602739, -11.745244053443326, -11.095887671232873, -13.824607897763151, -18.23287808219178, -21.72502422528539, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$DCI, 1-13-2020, s, -5.013478705715057, -7.91490631219377, -24.258759235983497, -4.86477777487783, -23.611866177471107, -8.522556536672198, -22.67745291365848, -10.321064805400937, -20.79065513780215, -12.098592054928737, -18.059305730123786, -16.14135183683449, -6.199462490585361, -9.330676538294513, -12.506743485831318, -15.907575156493792, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$DCI, 1-31-2020, s, -14.65663350304296, -5.852349405183633, -27.619944398120623, -7.301900973044173, -18.852305969809745, -6.1030698841828315, -10.479773829547556, -3.32992520569435, -12.248358899403232, -6.91808581071821, -9.557858530278141, -9.221465258106887, -4.101600974539943, -11.24227559227694, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$FAST, 1-13-2020, s, 4.234983837977269, 1.333556231498556, -10.382511496312109, 9.011469964793559, -10.901631743258577, 4.187677897540333, 5.765030369673796, 18.12141847793134, 8.30601411508274, 16.998077197956153, 18.41530701722991, 20.333260910519204, 31.284157447221727, 28.152943399512573, 21.420768930096656, 18.019937259434183, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$FDX, 1-8-2020, s, 2.7366214714604986, 0.16957838337630093, -22.10649120304433, -7.354520649702966, -20.4244067867578, -3.399569151437543, -23.497447988082186, -13.634933030892082, -6.2301899229389335, -5.387927898056688, 2.2966861869909705, 4.876117954010029, 21.73125152281321, 17.978233647994468, 44.782288196441634, 40.51834166930932, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$FMCMF, 1-13-2020, s, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$GCP, 1-9-2020, s, 1.8973608496179128, 0.3429069196995149, -17.550667634727567, -1.9570892142416465, -21.99224139748851, -7.097706076106801, -20.741706738175637, -9.759364464228394, -9.443729648825794, -7.647060551409413, -19.922383789461673, -17.064888116877608, 15.2220692012907, 12.493348974760423, 6.511427058584429, 3.0192809154908185, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$JNJ, 1-13-2020, s, 3.216942623506802, 0.3155150170280896, -11.108048834425311, 8.285932626680356, -3.76683815691059, 11.322471483888318, 0.4124319607487603, 12.768820069006305, -3.079458429459947, 5.612604653413467, -1.2853966534340455, 0.632557239855247, 2.103379903859781, -1.027834143849371, 1.814681793089945, -1.5861498775725291, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
