Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$AEM, 6-29-2016, S, 8.735850943396217, 3.0631252907360906, -2.28301698113208, -8.434162385372368, 3.0000000000000027, -2.643428151599836, -6.075473584905666, -10.024896138106653, -22.73584716981132, -30.39060615545395, -22.5283, -32.116271286623146, -20.94339245283019, -30.804746384901136, -18.30188867924528, -28.44639141590809, -16.792456603773587, -27.254284576080313, -15.830186792452839, -26.418940660618308, -14.132079245283013, -24.90634620045322, -13.886794339622632, -32.83817529942306, -11.05660566037735, -31.819151955291336, -4.698116981132072, -23.356583465382542, -13.5660358490566, -35.77849478700736, -14.150943396226412, -39.35598440784603, -15.415090566037737, -43.817743434669886, -12.264150943396224, -43.356713061977786, -12.320752830188674, -43.07646520581281, -11.603777358490564, -42.90625551319624, -12.452826415094343, -44.848851261726345, -11.584903773584909, -44.62045118689379, -11.471701886792452, -44.89779217044973, -15.45282830188679, -48.297975887224574
$AEM, 6-29-2016, S, 8.735850943396217, 3.0631252907360906, -2.28301698113208, -8.434162385372368, 3.0000000000000027, -2.643428151599836, -6.075473584905666, -10.024896138106653, -22.73584716981132, -30.39060615545395, -22.5283, -32.116271286623146, -20.94339245283019, -30.804746384901136, -18.30188867924528, -28.44639141590809, -16.792456603773587, -27.254284576080313, -15.830186792452839, -26.418940660618308, -14.132079245283013, -24.90634620045322, -13.886794339622632, -32.83817529942306, -11.05660566037735, -31.819151955291336, -4.698116981132072, -23.356583465382542, -13.5660358490566, -35.77849478700736, -14.150943396226412, -39.35598440784603, -15.415090566037737, -43.817743434669886, -12.264150943396224, -43.356713061977786, -12.320752830188674, -43.07646520581281, -11.603777358490564, -42.90625551319624, -12.452826415094343, -44.848851261726345, -11.584903773584909, -44.62045118689379, -11.471701886792452, -44.89779217044973, -15.45282830188679, -48.297975887224574
$ABX, 6-29-2016, S, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$EGO, 6-29-2016, S, -0.9111662455049574, -6.583891898165084, -19.817771306707456, -25.968916710947745, -8.200459763077017, -13.843887914676856, -23.23462764306935, -27.184050196270334, -37.3576338333652, -45.01239281900783, -25.968112712158874, -35.556083998782015, -25.968112712158874, -35.829466644229825, -23.006837220645238, -33.151339957308046, -20.501138018171382, -30.962965990478107, -19.817771306707456, -30.406525174872925, -22.09567553094872, -32.86994248611893, -40.318909324878845, -59.27029028467927, -52.8473825582058, -73.60992885311978, -51.252849601236925, -69.91131608548739, -48.29157410972328, -70.50403304767404, -69.70387381759117, -94.9089148292108, -73.12073015395306, -101.52338302258521, -66.97038874850165, -98.0629508670832, -66.74259832607753, -97.49831070170166, -66.97038874850165, -98.27286690320733, -68.10934086062228, -100.50536570725428, -68.10934086062228, -101.14488827393116, -67.88155043819816, -101.30764072185545, -77.6765386024356, -110.52168618777338
$FCG, 6-29-2016, S, -3.9951160213976267, -9.667841674057753, 5.544223173900398, -0.6069222303398902, 4.3620014528332085, -1.28142669876663, -0.3668976613576125, -4.3163202145585995, 0.8560904665270819, -6.798668519115547, 7.378715557329163, -2.2092557292939796, 7.582543514776052, -2.2788104172948955, 7.541777107958558, -2.60272562870425, 9.253966194294083, -1.2078617780126422, 9.580097448834191, -1.0086564193312775, 8.642474168672077, -2.1317927864981314, -17.81492385589385, -36.76630481569427, -13.901344724771924, -34.663891019685906, -23.114552665529853, -41.773019149780325, -11.781499723542609, -33.99395866149337, -16.591935728009144, -41.79697673962876, -12.800659893980438, -41.20331276261258, -5.829600251545031, -36.922162370126586, -6.522629167442751, -37.27834154306689, -4.198943978844516, -35.5014221335502, -3.220550215224205, -35.61657506185621, -3.5874478765818285, -36.6229952898907, -3.9951160213976267, -37.42120630505491, -4.85120648792472, -37.696354073262505
$GG, 6-29-2016, S, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$GG, 6-29-2016, S, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$KGC, 6-29-2016, S, 1.976284584980248, -3.6964410676798787, -16.205533596837927, -22.356679001078216, -15.810276679841895, -21.453704831441733, -25.889328063241102, -29.83875061644209, -35.37549407114624, -43.03025305678887, -37.35177865612648, -46.93974994274962, -37.747035573122524, -47.60838950519347, -33.79446640316205, -43.938969139824856, -33.399209486166, -43.86103745847272, -32.6086956521739, -43.19744952033937, -32.41106719367589, -43.185334148846096, -19.762845849802368, -38.71422680960279, -16.79841897233201, -37.56096526724599, -11.06719367588932, -29.72566016013979, -15.612648221343871, -37.82510715929463, -21.54150197628457, -46.74654298790419, -16.00790513833992, -44.41055800697207, -14.624505928853749, -45.717068047435305, -14.03162055335968, -44.787332928983815, -11.857707509881422, -43.160185664587104, -11.462450592885364, -43.85847543951736, -11.857707509881422, -44.8932549231903, -12.648221343873512, -46.07431162753079, -27.27272727272726, -60.11787485806504
$NEM, 6-29-2016, S, 14.316065640580833, 8.643339987920706, 5.099596010645624, -1.051549393594664, 3.505973253334771, -2.1374548982650676, -5.471452564597468, -9.420875117798456, -13.014612854469442, -20.66937184011207, -11.633470829563297, -21.221442116186438, -9.375837483355243, -19.23719141542619, -7.304116477868982, -17.44861921453179, -5.444897453126297, -15.906725425433022, -4.382475198806102, -14.97122906697157, -4.169986498274292, -14.9442534534445, -12.828689889578227, -31.780070849378653, -1.5405098783261684, -22.303056173240154, 3.293484552802961, -15.364981931447506, 0.10623372609648296, -22.10622521185428, -4.9136863259662045, -30.118727337585824, -2.5232428938516405, -30.92589576248379, 0.13279946173707646, -30.959762656844482, 0.5843213501024458, -30.17139102552169, 1.4873757510026175, -29.815102403703065, 0.2655989234741529, -32.13042592315785, 1.4076971363773172, -31.62785027693156, 1.8592190247426865, -31.566871258914595, -1.5670676458397037, -34.41221523117749
$NEM, 6-29-2016, S, 14.316065640580833, 8.643339987920706, 5.099596010645624, -1.051549393594664, 3.505973253334771, -2.1374548982650676, -5.471452564597468, -9.420875117798456, -13.014612854469442, -20.66937184011207, -11.633470829563297, -21.221442116186438, -9.375837483355243, -19.23719141542619, -7.304116477868982, -17.44861921453179, -5.444897453126297, -15.906725425433022, -4.382475198806102, -14.97122906697157, -4.169986498274292, -14.9442534534445, -12.828689889578227, -31.780070849378653, -1.5405098783261684, -22.303056173240154, 3.293484552802961, -15.364981931447506, 0.10623372609648296, -22.10622521185428, -4.9136863259662045, -30.118727337585824, -2.5232428938516405, -30.92589576248379, 0.13279946173707646, -30.959762656844482, 0.5843213501024458, -30.17139102552169, 1.4873757510026175, -29.815102403703065, 0.2655989234741529, -32.13042592315785, 1.4076971363773172, -31.62785027693156, 1.8592190247426865, -31.566871258914595, -1.5670676458397037, -34.41221523117749
