Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$XOM, 8-23-2019, S, 3.9232737576286203, 1.6443054145328873, 0.20342778262134598, -2.4811582379354435, 0.7991906422551542, -6.439911880402849, 1.5111900610287776, -9.031220783700554, 2.063350770124983, -9.149351877458088, 3.661720430107529, -6.732886213884349, 2.1795989537924942, -7.984699024566245, 2.441150828247607, -8.592801655454508, 1.8744565533275193, -9.132001431396963, 0.4649796570764364, -11.648312459406473, 1.6129032258064724, -10.888813526144858, -40.017438244696315, -57.61677129573671, -48.19819529206626, -61.94079779909969, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$XOM, 8-16-2019, S, 10.711127334186, 6.047630934082893, 2.1097669240154326, -2.040604321257944, 1.3573296157764592, -7.386731763081821, 2.8326911011019584, -8.595676932575635, 3.629387778539206, -9.306941660515443, 5.2522824616742625, -6.853271737009447, 3.7474196480882016, -8.124256452901601, 4.012984715446799, -8.741824205584692, 3.4375952115313524, -9.289293087841122, 2.006491620042672, -11.844385047230288, 3.1720286688112775, -11.073292621685328, -36.30864762922171, -54.271503334362, -46.20832172039424, -65.41734046062322, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AVNS, 3-17-2020, S, 18.02894016425498, 1.5663164487866403, 6.491982792334761, -13.10073528287348, 18.693781775518193, -9.477135614281096, 26.31990222917482, -5.038249172665932, 27.21939382088383, -10.69278853867084, 30.895584669534614, -5.22913273526877, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$XOM, 3-6-2020, S, -18.34561629811631, -6.300588591242118, -8.005733005733017, -6.262603173023561, 12.039314086814091, 2.8051310562662533, -8.538087633087644, -16.458947764505574, -11.13840704340705, -24.213630575562405, -21.68304668304669, -36.54233301821884, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$XOM, 3-13-2020, S, 11.097233746425083, 5.75684862589012, 9.322679796184929, 0.5918263432850956, 13.346664001332865, 0.069841039200913, 7.4231495837615125, -14.257647811514596, 8.722824729958734, -19.221981274751542, -7.74805837280973, -36.02735258056059, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$GE, 3-17-2020, S, -6.367583212735173, -22.830206928203513, -16.931982633863964, -36.52470070907221, 8.538350217076696, -19.632567172722595, 2.170767004341534, -29.187384397499216, -3.473227206946461, -41.38540956650113, -1.447178002894367, -37.57189540769775, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$GPC, 3-17-2020, S, 5.523935925443335, -10.938687790025003, 5.482299563540605, -14.110418511667635, 22.817479965961972, -5.353437423837317, 23.872305737447363, -7.485845664393388, 31.852874454425773, -6.059307905128897, 39.54198031053517, 3.417262905731789, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$MCD, 3-17-2020, S, 23.172545651329667, 6.709921935861328, 21.64571891242484, 2.053000837216601, 29.65814944850291, 1.487232058703622, 29.266309167239314, -2.0918422346014367, 39.80542927157331, 1.8932469120186397, 51.12821980466911, 15.003502399865724, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$WMT, 3-17-2020, S, 16.59129156490089, 0.12866784943254927, 13.06198757813215, -6.530730497076089, 6.28713681707378, -21.88378057272551, 18.267268376357215, -13.090883025483535, 19.13630360387435, -18.77587875568032, 20.093993617823713, -16.03072378697967, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$XOM, 5-24-2019, S, 4.572430598495147, 0.875376475105627, 1.6859994832209235, -3.7591307573207944, -8.119768115993642, -9.363864515658715, -3.1427043855234094, -8.665371105854247, -5.637982271890785, -11.689302003029155, -6.433768632772718, -16.386550050718075, -5.111951781925439, -18.409341057226413, -5.260319736448881, -19.287252986146964, -3.7766428888136416, -16.96477826585373, -5.152413071923578, -18.10441183670819, -4.909629146339755, -18.75328897025109, -38.305904212380696, -44.71670411407945, -38.076610980261826, -47.27517548292499, -40.81467279221302, -53.928799567222775, -44.32155441491172, -64.89673135771773, -53.601291524160935, -66.81057196432732, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
