Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$PNC, 4-27-2017, P, -1.3669460811483458, -2.443292337774461, -0.6957501955594858, -2.4840774261441045, 4.182697129945101, 0.33380369859097314, 5.140377427197795, 2.459976249167073, 9.838752718977695, 5.185739017976965, 12.392567936360276, 4.979577735128781, 8.5372908003158, -0.5258241795708773, 18.91626535018851, 6.934022806857998, 18.891710221686342, 6.71681743238941, 18.359669613811413, 5.71570827267076, 18.744380269204886, 5.162268841171391, 19.251865748577647, 7.428774268460227, 19.71842301249771, 6.509061086114354, 11.868707732973839, -2.1573447187403385, 17.189162923617296, -1.6322912989156215, 17.631177337008697, -3.34716171767424, 12.891872192712972, -8.7356350883105, -0.9904223784959143, -13.567372370924602, 10.092495867929863, -1.4541773063102337, -7.227635380660324, -8.819126328576875, -5.746088331768662, -8.765727264303912, -3.3641647436222555, -7.3261330987427815, -1.3833142569094625, -5.077242242939073, 11.97512092944455, -10.950709402241522
$VZ, 11-16-2017, P, 19.74666409741379, 15.638238556901674, 20.244291342327326, 16.236832721319082, 20.560959524111254, 16.118585149825314, 18.45736300514278, 13.145145086400946, 19.42999365369811, 13.60907813633996, 18.887134559763275, 12.755568205898605, 17.891880069936207, 11.33704715558719, 16.240669899132996, 9.965427319808406, 17.371635769546167, 10.680888745632622, 16.896632365904374, 8.419613908125555, 12.395385939728243, 6.648252267708732, 33.58969087513437, 28.048365692800672, 29.06582739348171, 28.3357850354883, 27.030086564806275, 31.511289381260262, 27.34675474659023, 30.954238979590876, 27.776528563142456, 31.632537193214272, 28.387241085438617, 30.262818596433313, 29.54083079712351, 29.812647366671452, 30.4682228108623, 30.452686541171015, 29.586071693871773, 30.075345945898857, 30.83013188939452, 30.76799923684923, 31.033705746068875, 29.74836940660515, 24.54196391182908, 17.179420105569456, 34.494459047601424, 13.52132596782332
$PRXL, 12-21-2016, S, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$WMT, 12-21-2016, P, -3.3770665153744606, -2.842256791617559, -4.186435713846737, -3.907980465227945, -4.507401367155928, -4.516242914117252, -4.535305356667296, -4.659061820755694, -4.646946433327026, -4.938660908465142, -4.214352262665233, -4.316007953272972, -4.828365624986574, -4.876984851505927, -4.605083471667126, -4.715580709236189, -6.488978147419589, -6.7055549429997034, -0.6279723344698729, -4.725211671486451, -2.079271444081965, -7.038387908170362, 38.15237855694231, 19.814261429870502, 38.571026314762705, 20.188707640729554, 37.94305398029283, 19.065709891895047, 38.9059383809133, 19.038529762128768, 39.045483447084386, 18.59907018741587, 39.896726771045124, 19.096727655023017, 42.38067723244894, 21.098911928581533, 39.19898748540398, 18.235454667724408, 39.12920937040416, 17.692745282006374, 45.827510698994665, 21.9954607542433, 32.72396831013293, 12.54717538195613, 22.648610234517985, 2.913806256617434, 21.22522767372437, 12.168871872619393
$AXP, 2-28-2017, P, -3.257614705780776, -1.821017744301956, -0.22466424520726225, -1.1669028131900072, -3.5946141939110943, -5.56782501043378, 4.231151863536509, 1.767805410979384, 4.692952894672264, 0.47611253284489674, 6.914629047130716, 3.3231303054946926, 11.37044390774673, 5.852212568597425, 19.48327435784045, 11.11719366855932, 17.02446141945353, 6.845726386042152, 24.36344891300117, 11.17207811660643, 24.475785404051976, 11.305549098899359, 24.862702513877856, 8.379838048733436, 14.528205896347757, 4.353700380866243, 24.812776155287963, 11.887600907684327, 24.613070720928466, 10.399186289324238, 21.08087664450038, 7.297967414070582, 28.2201686887106, 9.273951433070103, 33.62455565559577, 10.964315467483715, 33.88666123739412, 11.357404275977334, 27.895652974451334, 14.319791956359817, 37.70593842838472, 23.792046393788933, 19.071390948400246, 13.616536463633654, 17.211683079941984, 13.277936479749751, 33.82425984182751, 15.955500236733826
$OMC, 11-7-2016, S, 4.6442295373678055, -1.5749029552843297, 6.6807463886843, -1.226225446746465, 6.2212865543435525, -1.9637970008937957, 6.047439538649435, -2.449324184724855, 5.910843237437513, -2.710588429480266, 6.3454613975594265, -2.4581831653226915, 6.059859754872221, -2.5375954079550844, 5.786667152448377, -2.753250250477768, 5.923263453660299, -2.683783653406868, 6.159194165642545, -2.5581363251174993, 5.27753638740267, -4.710476894956295, -17.422077702993644, -41.59853288146709, -7.624487863212314, -34.2464026085216, -9.772749407335768, -38.20237882335644, -9.859683470255609, -38.82635195790842, -12.566739259490124, -42.60750075494788, -11.349807666084788, -42.018714920907506, -10.927599787999508, -41.98010233819127, -9.648574564119894, -41.22373162609316, -10.71649957427666, -41.94641521230234, -9.611322607864425, -41.354308005951424, -7.425799173299385, -39.96955799549417, -8.121198412035247, -36.867300611803614, -5.625231660564167, -38.71561478561261
$CHKP, 6-14-2016, S, -1.7336167113057854, -5.772075365151941, -10.485409020629, -15.720985462936676, -8.85939274102575, -11.402658606410377, -8.500717461749375, -11.457445346364759, 0.5141092840041717, -3.8272363890727634, 0.8967001541929642, -8.43503253811473, 1.30320900649461, -6.889095320428472, 1.0521257897193381, -7.419025652588341, 1.243425409414467, -7.540230359816302, 3.6107185988847323, -5.297934766499891, 4.411768345430023, -4.679579731493044, 33.4528985348266, 15.731744207903532, 36.10712262203637, 18.597508198959446, 27.941180391453614, 9.869066929915139, 34.81588157359972, 14.71972628513818, 41.846007195672016, 19.148888445672014, 22.178387400506793, -1.5764222148778373, 27.80966436883865, -0.5989875542382599, 24.76087906218172, -4.0083497839721325, 24.77283865103823, -4.534849329731006, 26.64992977821532, -3.734691375630849, 26.231472097458997, -4.782955787156396, 23.541371634880083, -7.857665865119909, 19.50023696198273, -14.639190922632665
$CMG, 6-7-2016, P, -11.772216104318423, -10.987455546549963, -9.871011106552363, -13.11877503246247, -3.432906455718865, -6.888679648437501, -4.586172315416393, -6.746625689218944, -15.565659779495078, -14.156878039747612, -17.42430991322246, -22.147046663199934, -15.104356257185403, -21.49115437748417, -16.044875116646693, -22.70586696962731, -14.318345415255928, -21.28662654307837, -12.329809711258555, -19.421002483400542, -10.717481685406128, -17.988320371506628, 5.257974539851196, -9.902998916211647, -7.365188361542407, -21.39629890865682, -22.671083718519725, -39.6710393607452, -28.68819118903704, -45.57468538317731, -30.967845221102852, -51.34320862286792, -38.11805866229873, -60.545138615152126, -30.70808079858509, -55.54616913044386, -34.85757898090998, -61.47791522929241, -34.163382005389565, -61.31319161702767, -30.797653084905296, -59.0064240781865, -30.526694869789928, -59.354762419679155, -29.66230575807195, -58.86856458285453, 1.8698508682813086, -29.52995687246378
$MA, 7-1-2016, P, 6.807984216779528, 3.1274389870574515, 8.423052560652655, 4.656583613422005, 13.716907190807227, 10.6903599686085, 20.008967249485533, 18.362033381871747, 14.771194940727007, 9.400753745950574, 17.104081780884627, 9.676166324938173, 18.14714140210223, 10.442348912035548, 20.065049570881577, 12.049960626541512, 20.367872572100822, 12.228669151455353, 20.861369633855098, 12.5407622571011, 20.62583913746796, 12.51050577647248, 37.11304903037016, 21.16880154241432, 44.302375760324075, 26.171761035660836, 50.11214669752595, 31.761944895918127, 59.15207226774013, 39.0976471187154, 68.18078765451827, 44.99957038926685, 68.68549489970862, 42.296333616738174, 70.49123842569588, 42.63177636994905, 70.80527833982602, 42.411161414217524, 73.32883138946474, 43.86538992558385, 75.19065723684804, 45.10185868636496, 77.86002118169489, 47.389330319164976, 79.06010188155665, 48.06907684831196, 119.53790513513209, 90.88122423658939
$MSFT, 6-10-2016, S, 2.840354609997142, 1.543198423928982, 13.927524268903513, 10.197603742957684, 9.696378250663628, 8.779343215118839, 13.437808294570175, 10.729456678863913, 18.47208851071671, 15.222066761929053, 21.09696613314331, 13.523086787981063, 22.99706607242049, 16.069390735034418, 22.38981630538328, 15.18655321701894, 21.821743816292738, 14.309629174958527, 22.037218844999384, 14.401567668764258, 22.93829427890881, 15.122083857515078, 35.65132489032958, 20.12818656790236, 36.06268434990567, 21.02420057754695, 40.842318135990574, 23.817712601315264, 45.56317229310815, 27.707054859832553, 49.52008520117697, 28.546979845345625, 64.13320791641937, 41.67288176048609, 65.112639865086, 38.57553583467512, 68.71694160072363, 41.45285954640724, 68.5798230867742, 40.7835757931019, 69.61801703463304, 40.757424532609605, 71.71401707569083, 42.23097947415733, 72.77178986820351, 42.90863824339148, 97.8648461873623, 65.56417492491195
