Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$SCHW, 12-28-2018, P, -1.714559285196804, -0.2721336216213954, -0.14489736778555695, 0.39601375857944987, 0.28978266119294993, 1.087124589253352, 1.9560516783385884, 0.7099582513500069, 4.733153827577885, 1.8322783800330367, 5.167831441680759, 1.970461485733721, 4.9746462207196585, 2.2981465226388664, 4.588266119294859, 1.3428173913955677, 14.609995170248746, 9.076694068664493, 12.412458343395327, 0.6406862604702024, 1.521374064235692, -10.807339676218563, 17.12146824438543, -12.27592313795778, 15.33445544554457, -14.299331880092204, 14.56169765757065, -14.118485620895703, 12.653953151412711, -15.757773522104966, 14.320212509055796, -15.105216776740903, 14.63414875633906, -14.75923188799637, 17.12146824438543, -13.56208067232625, 16.227966674716264, -14.90834487960451, 16.32455445544556, -14.451153688029805, 11.422359333494336, -18.820446738764616, -2.801255735329622, -18.47559249569234, -19.850280125573526, -22.30239766342017, None, None
$FSLR, 12-18-2018, P, -1.9778666828851765, 2.3845032535516957, 3.5319047908663803, 7.019469169362602, 3.5554484682022824, 7.291846427623838, 9.394862034498175, 11.148365063106125, 10.148335056549662, 10.296081939236446, 9.559684258071943, 9.419720812036037, 9.724504127042511, 10.089979226631542, 11.937838193128346, 11.751220394681283, 14.198254904679652, 11.17337207535849, 15.917115236234626, 8.42100399966128, 27.38402808137441, 17.916697263364977, 32.35224317512966, 7.935452712460478, 32.79962484578232, 7.0064701393976385, 34.47139075885586, 9.603587875549628, 31.88132018174428, 7.27402039670384, 31.292669383266556, 5.701699737433106, 33.88273996037814, 8.322869457728245, 34.37720427649624, 7.565389042210803, 33.60018993171201, 6.349025962092924, 33.88273996037814, 6.98149588112047, 25.924178810356025, -2.730556244633007, 30.774663744415708, -0.06125938921151075, -28.796799416133766, -20.651382999901244, None, None
$KUBTY, 12-28-2018, P, -0.3154136200716806, 1.1270120435037279, 1.275984229390681, 1.8168953557556877, 1.6917562724014346, 2.4890982004618367, 5.462362724014325, 4.216269297025743, 5.448032974910411, 2.5471575273655622, 7.397855197132608, 4.20048524118557, 4.802864516129035, 2.126364818048243, 7.125449462365596, 3.8800007344663046, 10.59498064516129, 5.061679543577036, -2.9103928315412197, -14.682164914466345, 3.942652329749108, -8.386061410705146, 15.784949103942658, -13.61244227840055, 10.939063799283154, -18.69472352635362, 11.39784516129032, -17.28233811717603, 10.422934767025094, -17.988791906492583, 11.369175627240157, -18.056253658556543, 11.827956989247301, -17.56542365508813, 11.512543369175642, -19.171005547536037, 11.426524731182797, -19.709786823137975, 11.053762007168455, -19.72194613630691, 12.057353405017924, -18.18545266724103, -1.3906824372759807, -17.065019197638698, -10.681005017921152, -13.133122555767795, None, None
$UMPQ, 4-19-2018, S, 4.747252747252739, 3.5011870788811628, 3.780224175824176, 2.167019615545196, 1.098901098901095, -2.854373233454366, -5.890109890109885, -11.79406440679346, -5.186813186813188, -13.093361480672982, -13.010984615384613, -15.784955009020152, -14.1978021978022, -15.458693751910669, -26.50549890109889, -21.135576289492974, -31.07692307692308, -22.29887800861873, -28.70330109890109, -20.75967103154793, -26.725274725274716, -18.544299946539887, -25.318681318681325, -32.557702061993474, -25.802202197802192, -31.14616819840964, -26.945050549450556, -35.43753877846938, -27.780219780219785, -39.05039062250062, -29.978021978021985, -38.3370089988042, -25.406597802197794, -37.229333092152956, -29.45055384615385, -40.49079848268813, -28.13186813186812, -44.089591090319225, -20.747248351648363, -39.34542936996502, -20.483516483516485, -40.46868844684314, -20.96703296703296, -40.06957743065345, -20.923076923076934, -39.77714595005418, -53.05494505494506, -57.86117212276394
$VRAY, 4-19-2018, P, -5.836575875486383, -7.082641543857959, -1.1673151750972721, -2.7805197353762523, 19.714656290531774, 15.761381958176313, 29.70168612191959, 23.797731605236017, 20.49286640726329, 12.586318113403495, 26.977950713359267, 24.203980319723726, -9.857328145265887, -11.118219699374354, -24.643320363164722, -19.273397751558807, -21.91958495460441, -13.141539886300059, -21.271076523994804, -13.327446456641646, -24.383916990920884, -16.202942212186056, -9.33852140077821, -16.577542144090362, 10.376134889753574, 5.032168889146127, 19.455252918287957, 10.962764689269132, 19.325551232166017, 8.055380389885181, -41.7639429312581, -50.122929952040316, -53.56679636835279, -65.38953165830796, -66.79636835278859, -77.83661298932287, -63.68352788586251, -79.64125084431362, -44.74708171206226, -63.34526273037891, -45.26588845654994, -65.2510604198766, -47.60051880674448, -66.70306327036498, -47.989623865110254, -66.84369289208749, -67.31517509727627, -72.12140216509515
$WBA, 4-27-2018, P, -4.897835183228216, -6.137534808696388, -0.18028245734019732, -2.150323655842079, 1.7578200648383557, -4.500603530667258, 4.672476101937395, -3.514784197688069, 9.615386406712334, 0.8475946464127073, 15.339542227750691, 14.665389418761944, 22.82151811362736, 23.06871062299066, 0.9014513492022758, 10.051261461561822, 0.9615369880269675, 8.834197662184273, 1.8629883372292433, 8.892952382173059, 2.8094982815354275, 10.079162701011079, -20.49278907730736, -30.421631773936575, -22.115382275101613, -28.141598005438695, -19.32090953488309, -28.4257776996771, -17.23256962838249, -30.29624191302667, -24.218749225322988, -32.66070016165257, -18.509609931178183, -30.056421541665078, -15.805284429245326, -29.26595933561237, -10.171269836877094, -28.00272489305687, -11.478365729518192, -32.72929831378784, -10.93749882624696, -32.113532159580295, -12.049274700999835, -32.333920393883744, -11.298072755350741, -31.331776875200912, -34.22475914136896, -41.01127412264237
$WBA, 4-30-2018, S, -6.7081283386365875, -7.9204271782572055, -11.624461892854466, -12.46633868542062, 1.2735080893455875, -4.058378263573426, 1.4808233597041864, -7.37945917938574, 7.922402012770657, -1.3756500976067834, 14.201101942856532, 15.544362013826387, 25.647859109253048, 23.19706671423667, 1.4956345549479444, 8.11840314647797, -0.4886746703491096, 7.47361418835445, 0.399828230413557, 7.520240296550962, 1.3327425045571273, 8.692621747246676, -20.52421324632332, -30.33861832697866, -24.1374192823548, -28.57129436901664, -18.021617325953176, -29.029617737238045, -18.56952048822036, -30.786085922008976, -24.9518721301921, -35.03942357494434, -19.13223484573131, -29.874579351368357, -16.851765390963504, -30.385396179946856, -12.187176250365416, -29.8965170529793, -12.49814767507993, -33.335534458085725, -12.21679271755951, -33.274937181446944, -13.312599042093876, -33.480223072340664, -12.572187362241793, -32.48911395369105, -33.22967471093846, -42.378062080975596
$SAN, 5-23-2018, S, -10.099337748344372, -10.936446901707875, -10.099337748344372, -13.152772347692942, -16.55629139072847, -22.014117584806957, -11.754966887417218, -19.19309869884285, -22.84768211920529, -22.76655183582106, -23.178807947019877, -20.232309581804266, -27.64900662251656, -15.80034399033976, -27.152317880794698, -17.86293638860146, -24.66887417218543, -16.209230443068524, -22.18543046357616, -13.489772437406444, -21.35761589403974, -14.542699010143734, -26.324503311258272, -30.74608033865621, -25.33112582781457, -33.83501523095443, -24.66887417218543, -34.9834372356168, -36.258278145695364, -43.54153184380983, -34.10596026490066, -43.834165352238244, -27.48344370860928, -37.646808637901806, -34.27152317880794, -49.32112160177221, -31.45695364238411, -50.05044871294709, -29.13907284768211, -48.45167877361833, -30.79470198675497, -49.22962790166431, -31.12582781456954, -49.313671099438935, -31.12582781456954, -50.246664748703566, -63.57615894039734, -74.91958871705191
$DVMT, 5-23-2018, S, 10.057181500318713, 9.22007234695521, 17.018889432648198, 13.965454833299628, 19.13227202555263, 13.674445831474145, 19.21929340578583, 11.7811615943602, 16.248134852110006, 16.32926513549424, 27.175535127410868, 30.12203349262648, 1.3177498429201906, 13.16641247509699, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$INOV, 5-8-2018, S, -5.909090909090908, -9.792770458809485, -2.7272727272727337, -6.498375166297121, 5.454545454545445, -1.6336402865427369, -2.7272727272727337, -11.072484734777422, -7.545454545454544, -15.256519461026773, -11.363636363636365, -16.470572573767704, 19.090909090909093, 20.26539501961453, 27.0909090909091, 34.7907229745864, 26.181818181818194, 33.03735439194952, 23.818181818181806, 30.91386812212176, 25.636363636363633, 30.81835162885894, 28.181818181818173, 20.290636568309736, 25.636363636363633, 17.05475200409345, 35.45454545454545, 24.00613644891692, 53.36364545454544, 44.68822519188127, 43.36363636363636, 31.115975950878383, 37.18181818181818, 27.973559645232825, 47.272736363636355, 31.77555512536245, 60.090918181818175, 42.10217446699642, 70.45454545454545, 49.05116496674057, 65.45455454545454, 44.944234095173115, 65.90909090909092, 45.65018284154872, 65.45455454545454, 44.246303513559596, 52.27272727272727, 43.04571188811188
