Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$OGLYX, 4-10-2015, P, 0.23908666493517305, -0.8938053207181662, 1.4345438987556802, 1.3532829033265026, 0.4662271257327655, 1.3792309629173216, 2.4626383152985376, 2.4243964409451646, -6.120744623532703, 0.8773429529217012, -5.726241345457472, -2.007312515836124, -2.6778218128434728, -1.8699814570905082, -10.603709250359605, -8.79682633725899, -12.08607382938257, -7.922597670250508, -12.098030792635239, -8.369539821385363, -13.508671524000682, -8.31746638263542, -17.05918070390482, -15.171036795375036, -14.548713340138363, -13.363246783941428, -16.078905772172014, -16.68120501599084, -16.13867265657687, -18.045940848363706, -10.974298601929512, -15.328983654816964, -10.424389469829299, -11.949247044277545, -9.826660852919044, -13.153624093745464, -9.982066706944003, -13.85396255596737, -9.695159361741556, -17.91695536874628, -9.958161148639311, -17.529861066015517, -8.822480362881514, -16.671427894176173, -8.439935243516194, -16.599594538348796, -1.8529634942507256, -14.35774570034225
$AXP, 5-13-2015, P, -0.6289308176100628, 0.2405527151048914, -1.9245270440251594, -1.2213408450570729, 1.8867924528301883, 2.7135159724447466, -5.459114465408799, 0.9646057492359468, -3.3333358490566067, 1.332415542278253, -9.823896855345904, -6.916121414227339, -13.220128301886792, -9.229063561026175, -14.352206289308178, -9.610439789292812, -15.257857861635227, -10.948451790981007, -17.937109433962263, -12.17381540518522, -20.364778616352197, -13.171354884672738, -19.056606289308174, -17.032567718604696, -18.490562264150935, -17.963171189543594, -20.77987421383648, -23.141256347340622, -17.89937484276729, -21.89994402602111, -17.96226289308177, -20.038565919278852, -24.238993710691826, -25.04195992534015, -10.943392452830182, -14.060225240796022, -7.333335849056599, -15.196690684124036, -5.798743396226413, -12.721341358298943, -5.33333081761006, -12.531503444596447, -4.402515723270439, -11.909525237657249, -5.15723018867924, -12.787770371933194, -2.540876729559749, -16.319562462544567
$AMGN, 5-11-2015, s, -2.7108582676465987, -2.6683139574788517, -4.331217476818649, -3.1117620178036094, 4.534532740244379, 5.763443225651699, -6.321234136174414, 1.3310802110099598, -5.871479956521231, -1.074009301807866, -1.8791220735521197, -0.607674367828881, -2.7663058686009045, 1.1189334035233367, -2.039306290916232, 3.197731868278042, -2.039306290916232, 2.7676193901894126, -4.4975682890464945, 1.7556862188100926, -5.698971174899525, 1.976977429668037, -2.8217620950251043, -1.0918368320363747, -4.466761191137469, -3.4221868531501443, -0.5852978939720033, -1.350999527663388, 6.117926882113567, 2.9558586405598497, 2.3227182838114535, 1.935143498695524, 3.3947440502094084, 1.4615792042111941, -7.55344411993647, -9.685123871688816, -11.94627579257318, -18.955769817877044, -8.902715284365904, -15.269395604984327, -6.296594249234111, -12.937416452354789, -5.908445023824105, -12.856498393222537, -1.4971308175359521, -8.568072588597108, -1.5094553817935452, -14.639860486899027
$CGO, 5-28-2015, P, -1.0093727469358216, 1.0063569943562278, -4.974765681326598, -2.8365803296399372, -12.617159336697913, -6.103712405161598, -16.294160057678443, -6.615827835932411, -13.84282624369142, -11.332581836497368, -15.717375630857966, -14.50228498153936, -17.087238644556592, -13.569129602199027, -18.889689978370583, -13.313465757358234, -18.817591925018018, -13.669940675996683, -18.601297764960346, -12.012494549105813, -20.475847152126892, -12.469442103442342, -19.97116077865897, -19.137550839730032, -23.50396539293439, -18.39399228607217, -18.601297764960346, -20.466314937615962, -16.870944484498917, -19.277575649132917, -18.02451333813987, -19.67289084816316, -20.9805335255948, -21.36201376501946, -24.080749819754864, -28.239371736972185, -23.35976928622926, -30.066313281834745, -23.431867339581835, -29.417828287295677, -23.431867339581835, -29.690988930886675, -22.56669069935111, -29.13194378120245, -22.206200432588318, -28.89390206035922, -9.084354722422495, -22.74704662971122
$GLW, 5-11-2015, s, -0.4267425320056861, -0.38419822183793917, -10.099577999051679, -8.88012254003664, -13.41868183973446, -12.189771354327139, -17.16453769559032, -9.512223348405945, -16.785211000474153, -11.987740345760788, -10.810815552394493, -9.539367846671254, -11.09530583214794, -7.210066560023698, -14.888568041725936, -9.651529882531662, -15.030820293978175, -10.223894612872531, -16.595542911332384, -10.342288403475797, -18.681839734471318, -11.005891129903755, -10.905637743006158, -9.17571248001743, -3.413935514461841, -2.369361176474516, -0.9957373162636229, -1.7614389499550076, 8.582266477003309, 5.4201982354495915, 5.26316263632054, 4.87558785120461, 12.470360360360377, 10.537195514362164, 9.625419630156461, 7.4937398784041145, 16.168800379326687, 9.159306354022823, 15.694642010431469, 9.327961689813046, 15.599805595068773, 8.958983391948095, 15.552399241346592, 8.604345871948158, 15.599805595068773, 8.528863824007615, 37.31625889046941, 24.185853785363932
$LLY, 5-13-2015, P, 14.857061163907058, 15.726544696622012, 22.51236469179867, 23.215550890766757, 14.34853588926508, 15.175259408879638, 12.589328955763367, 19.013049170408113, 9.66190050407092, 14.32765189540578, 9.483235033445991, 12.391010474564556, 14.568442425276462, 18.55950716613708, 14.623419059279307, 19.365185559294673, 13.936228314012421, 18.24563438466664, 13.647608201000327, 19.41090222977737, 12.19075694912708, 19.38418068080654, 4.205604612270353, 6.229643182973832, 1.814183567504557, 2.341574642111899, 9.826830406079434, 7.465448272575292, 10.404067883340629, 6.403498700086807, 8.397472281542818, 6.321169255345739, 9.854312538364152, 9.051346323715826, 7.215502825302278, 4.098670037336438, -6.555805207372034, -14.419160042439472, 1.6217701588298494, -5.30082780324268, 3.009888592361487, -4.188284034624901, 2.9824050856953166, -4.524604428691492, 3.7108259012966993, -3.919714281957254, 10.21165447466592, -3.567031258318899
$GPC, 5-11-2015, P, -2.4725566988690773, -2.4300123887013303, -4.390922852159795, -3.1714673931447552, -5.8723242913284786, -4.643413805921159, -11.584783937231503, -3.9324695900471287, -8.920390942760504, -4.122920288047139, -4.31631984831461, -3.044872142591371, -7.737399387458188, -3.852160115333947, -9.613134187080163, -4.37609602788589, -9.911545136703703, -5.104619455598058, -11.403607345121857, -5.15035283726527, -13.535121740698663, -5.859173136131101, 3.9326387310532285, 5.6625639940419585, 2.31269098768645, 3.357265325673775, 12.405412716499796, 11.639711082808411, 8.33422128670529, 5.172153045151573, 2.728335229066725, 2.3407604439507956, 4.529468090600708, 2.5963032446024936, -0.7460353672378628, -2.8777151189902095, 4.913140681804551, -2.096353343499313, 2.7603068792431795, -3.6063734413752435, 2.5151869867806376, -4.12563521634004, 2.717675525574448, -4.230377843823985, 3.01609500125557, -4.054846769805587, -1.619955203667156, -14.750360308772638
$GILD, 5-28-2015, s, 5.2405989600821545, 7.256328701374204, 0.45531201758215456, 2.5934973692688157, -4.508528622292141, 2.0049183092441742, -11.561471090769205, -1.8831388690231723, -2.6872618036378526, -0.17701739644380154, -3.39255685398524, -2.1774662046666338, -8.043926291511006, -4.525817249153442, -10.927600019148286, -5.351375798135937, -10.999017748432848, -5.8513664994115135, -12.89170765303621, -6.302904437181677, -12.454248505414734, -4.447843456730183, -22.864029589071876, -22.03041965014294, -28.872425160745905, -23.762452053883685, -26.836893548131535, -28.701910720787147, -28.890277137929164, -31.296908302563164, -29.363448274913885, -31.011825784937177, -33.26488825524706, -33.64636849467172, -32.77385799885978, -36.9324799160771, -34.28265361516555, -40.989197610771036, -35.41648539565243, -41.40244634336627, -33.46130017924649, -39.72042177055133, -31.398987029747573, -37.96424011159891, -31.747169328681924, -38.434870956452826, -42.44263918502564, -56.105331092314366
$HR, 5-11-2015, s, -6.351730593420779, -6.309186283253032, -3.969829139744774, -2.750373680729734, -3.691945069791769, -2.463034584384449, -12.385870885832828, -4.733556538648454, 3.652242808565198, 8.449713463278563, 1.9055140172483664, 3.176961722971605, 5.795946574198241, 9.681185846322482, 11.194914204251138, 16.43195236344541, 10.996418777434759, 15.803344458540403, 13.060733899931165, 19.313988407787754, 11.988876062370935, 19.664824666938497, 24.57323443536188, 26.30315969835061, 33.42596135665099, 34.470535694638315, 41.68319802766185, 40.91749639397047, 42.99324561360678, 39.83117737205306, 32.87018527708676, 32.48261049197083, 27.78879603855515, 25.855631192556938, 10.440646667699616, 8.30896691594727, 21.31797454077118, 14.308480515467314, 20.44461609985646, 14.077935779238038, 19.968232633257955, 13.327410430137277, 21.91344891173288, 14.965395542334445, 23.144099914882887, 16.07315814382173, 27.510907998773003, 14.380502893667522
$HD, 5-13-2015, P, -2.382213113393794, -1.51272958067884, 1.142402606135362, 1.8455888051034486, 4.4987620350471325, 5.325485554661691, 2.284805212270724, 8.70852542691547, 7.83740626704581, 12.503157658380669, 9.015232182345589, 11.923007623464153, 16.091036416773584, 20.0821011576342, 15.223169770158872, 19.96493627017424, 16.14416960935474, 20.45357568000896, 14.2401720552634, 20.003466084040443, 12.40701580600454, 19.600439537684, 18.499823211119782, 20.52386178182326, 14.187038862682222, 14.714429937289564, 19.41197165093822, 17.050589517434076, 21.422248873932848, 17.421679690679028, 13.124336045418627, 11.048033019221547, 11.804819550209334, 11.001853335561009, 15.568546148929263, 12.451713360963424, 19.155158858575263, 11.291804023507826, 19.642232016334262, 12.719634054261732, 18.969180286382926, 11.771007659396538, 19.535953233013693, 12.028943718626884, 18.64151910452565, 11.010978921271697, 39.28445074892757, 25.50576501594275
