Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$MSFT, 3-29-2019, P, 10.019474887778435, 6.081660372629938, 6.191239942407045, 7.423582027873488, 15.719492673837564, 10.659123241157719, 19.844160243923103, 12.94236167997602, 16.244600660625053, 12.940664436109461, 16.92216735834675, 12.113220413108605, 22.029306343694422, 14.730894960416574, 28.821890403997653, 17.32361912128251, 34.65741085796561, 20.294297842089314, 34.47954518505971, 19.90750233149068, 34.08995257050904, 20.360717491145476, 29.10985178284069, 38.56132548314132, 46.70957991022276, 43.472927226168046, 54.764119590073705, 47.65693628545156, 65.81688743965447, 59.081525709530965, 71.5084272042009, 57.43923994912037, 92.25882950791903, 68.19282597022313, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$MSFT, 3-5-2019, S, 6.36080089086859, 3.3630174859177853, 12.59688106904231, 9.123320688638948, 11.314028507795104, 10.315968155010324, 21.104678841870815, 14.701304575684835, 18.75278663697104, 15.694195120648956, 23.928731403118043, 17.757879487605656, 22.173718485523388, 17.19053484400035, 29.149221380846324, 19.11488422090155, 33.67483563474387, 21.980623376204523, 41.45211492204901, 25.71197090566959, 41.04232249443207, 26.15357896577317, 47.92873318485525, 38.82806738356024, 42.824059688196, 50.58681718313477, 60.90868151447661, 58.36879249272302, 62.69041870824053, 49.20755372056716, 86.04009086859689, 72.8648798740233, 91.44765612472159, 72.87071174177996, 83.96436525612472, 63.512916390356104, None, None, None, None, None, None, None, None, None, None, None, None
$MSFT, 9-5-2017, S, 2.5634102843419715, 0.02357443261027381, 14.807746921611509, 10.34281396713177, 10.908099858636477, 4.465485880584752, 17.43932601250755, 9.116102920959722, 17.343881502256963, 8.567695932893015, 18.06654039086668, 8.384417328460248, 19.52550965505917, 9.313580709578108, 20.26179685092975, 9.726326687226152, 20.875384285540456, 9.899084217266175, 19.79820806098762, 9.11309986141817, 20.16635097716668, 9.048497076053396, 51.36352339042942, 34.31668611293128, 53.57240679424089, 36.41232920061319, 45.03682683593273, 34.85321140716108, 44.286890880114036, 36.740171484604886, 35.73767170644515, 36.25534501627434, 36.487596754163995, 36.0952967381424, 35.9694661014162, 35.83600294252549, 38.587407340464, 36.39133554971596, 40.49632754275034, 36.629947136166585, 41.61440777826058, 37.44875089551252, 40.74175978956966, 37.10186041967764, 40.700855778612265, 36.4866690073151, 89.67822278037758, 69.64667097192591
$MSFT, 9-29-2017, P, 13.199884684882734, 10.751212839413826, 14.565859762892597, 9.500751029727962, 15.810109120635406, 8.543989726753185, 16.48633306772158, 9.495840026409885, 16.3916630675774, 8.953780468905471, 17.108457746592954, 8.77578365004148, 18.555587812940534, 9.699626179067213, 19.285900208658347, 10.110377972091733, 19.89450852327539, 10.283580032248341, 18.826073334431314, 9.502754099417832, 19.1912288560663, 9.440488107472532, 55.19339585627816, 38.50809200255436, 46.21314319142158, 38.83917487035475, 49.215578868932106, 39.88027673047558, 36.989448553166106, 37.301024015522515, 34.636191922201995, 36.377823331351664, 35.38003150175732, 36.22288523416691, 34.86610535931549, 35.96461140866447, 37.46280261123065, 36.52407686322834, 39.35623236796775, 36.767748264932145, 40.465239641189065, 37.58116114180299, 39.599672988918755, 37.23488346483488, 39.55910090454149, 36.627089593012975, 86.7054358478378, 68.47822256626532
$MSFT, 6-28-2019, P, 5.149730727144863, 1.9711066198165872, 0.23036188145550973, 2.4314597986551667, 2.5860116065833383, 1.4273493088780675, 7.30473841767727, 3.7638212461962306, 13.026676144855976, 5.411665211110873, 18.14668702514075, 7.766611029033754, 17.990629962588912, 7.408900734471892, 17.648806394132087, 7.880531641970045, 16.72734920791079, 7.188076448287649, 18.391914031779756, 7.987920815387973, 18.102091649590225, 7.725436940121, 45.48561255555259, 42.467628622153896, 51.304146844549095, 41.10180651838045, 69.56229555669115, 50.12828860938756, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$MSFT, 7-28-2020, S, 12.06718328143419, 3.6901682436303087, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$MSFT, 7-28-2020, S, 12.06718328143419, 3.6901682436303087, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$CAFD, 6-9-2016, S, 8.053691275167797, 7.259399260740774, 12.953020134228165, 9.823139676333014, 6.375838926174482, 3.794397798534166, -5.369127516778526, -7.567609437219202, -5.369127516778526, -5.775727687139264, -15.033557046979862, -21.605354753277382, -12.617449664429536, -19.014309538592922, -12.416107382550335, -19.087186921841138, -10.536912751677852, -17.51531062833611, -10.604026845637582, -17.705347991241116, -10.201342281879189, -17.482326331829157, -7.651006711409403, -23.054534568331718, -1.8791946308724938, -16.346598878128038, -3.9597315436241565, -20.488504096429516, -1.6107382550335614, -18.881788731868, -1.0738255033557076, -21.460573656794033, 1.6107382550335503, -20.24166451203189, -2.684563758389269, -28.593506264865155, 1.342281879194629, -25.29002975222496, 2.953020134228179, -24.208814936497447, 4.697986577181212, -23.52291002867424, 4.093959731543628, -24.7462920021865, 3.624161073825505, -25.594317703028512, -17.248322147651006, -48.892220110960025
$B1W8P14, 6-9-2016, S, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$AYI, 6-9-2016, S, 3.249245873359974, 2.454953858932951, 4.691194985344338, 1.5613145274491869, 4.555171436913441, 1.973730309273125, -6.358589695568007, -8.557071616008683, -11.356835080214866, -11.763435250575604, -4.318090719177514, -10.889888425475036, -9.483465795984337, -15.880325670147723, -8.954879005814798, -15.6259585451056, -6.7744597109482, -13.75285758760646, -6.94158940310815, -14.042910548711685, -19.025228842057363, -26.30621289200733, -32.29041124562284, -47.69393910254516, -22.993510020049, -37.460914267304545, -23.61537870675732, -40.144151259562676, -29.69800665676061, -46.96905713359505, -32.760700397037176, -53.1474485504755, -38.93272591086115, -60.78512867792659, -33.20766450748579, -59.11660701396167, -31.33429522325525, -57.966606854674836, -30.1799554136593, -57.34179048438493, -30.871780955940654, -59.09267756179611, -29.65136862348977, -58.4916203572199, -27.673057837236104, -56.89153661409012, -52.427223087391624, -84.07112105070064
