Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$GLW, 12-8-2016, S, -1.9292565084106483, -2.138539130911532, -2.009646383024377, -2.4772012511150243, -2.049831272099345, -2.8068321836235643, -2.009646383024377, -2.8824218823812475, -1.1655908828613781, -2.2075808757636817, -1.4469413764847894, -2.297450767972664, -1.7684807784759227, -2.565556943682623, -1.045008080587151, -1.904425162049861, -1.1253979552008797, -2.0872312066020804, 6.913187576896607, 4.967248732089069, 11.776527804522829, 6.090109938400578, 28.05467154560577, 9.980130985966376, 29.90354219869542, 10.635613423148826, 30.868176481839882, 11.10151904035883, 34.80708339256764, 14.042954815059062, 35.89229243940082, 14.544827726537356, 35.209004630587, 13.505308909546219, 35.69131574322009, 13.50224977413901, 34.76688242632162, 12.898429619086315, 34.40514607737726, 12.06022403264491, 35.8520914731548, 12.763520255360802, 19.85531028357357, 0.5116750491497513, 18.36817597942828, -3.4423861941748726, 25.884249432646666, 8.606791717645557
$POT, 12-9-2016, S, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$BBL, 1-5-2015, P, 13.346426071954177, 13.008470933217287, 19.185486711751064, 16.02635605436624, 6.231602366614442, 5.643858324024986, 21.14819289245302, 17.788247225999122, -1.0794848419766967, -3.9104585680968307, -6.08439431228629, -6.868057933618155, -6.9921446021660945, -10.06801229160007, -17.860643663427076, -13.829690986432883, -21.46712568533492, -17.69086517912676, -21.368987800244742, -24.43505777199446, -41.97742600478048, -44.455751933940746, -45.19136139309919, -43.834646877188774, -50.36800541550567, -43.91260397106818, -38.32188362717781, -35.95620696199021, -48.89597393993985, -49.14086790325369, -39.450438638392484, -40.131243856404986, -37.19332370919155, -40.39163838028246, -38.665355184757374, -41.006540984249824, -34.93620877999062, -40.93121594064113, -33.979388320872836, -41.096006404985275, -24.50931916139938, -30.014538395422186, -25.858683800720506, -28.003957368289434, -16.413146045787354, -24.48484911746002, -20.1913626197921, -31.01567873699166
$CAT, 1-16-2015, P, 0.7359959813864059, -4.6118884006051575, -5.543682467798739, -9.538250481189737, 0.18993827611439862, -5.474897852781591, 4.926402063779722, -1.8502748637913013, 3.027069160186824, -2.084360530180329, 0.605415493955741, -5.985111615959693, -7.25308777903817, -12.25384382872865, -11.146723911365719, -11.171880121555265, -16.168085616526252, -18.210646324026158, -17.521362001931674, -19.307347275645306, -21.391260004540836, -25.214770014632705, -28.466287475457918, -24.034030684840758, -23.836650613405762, -18.80571043190836, -13.829537365373634, -15.253294442925435, -6.84947428417556, -11.382348872234626, -16.441119811042725, -19.555273292671657, -11.669033990242973, -16.186816260851568, -5.175689818985985, -13.828905421879456, -0.035611349373487755, -10.01196673547089, -3.1101555819125326, -10.51066456414308, 3.7274442955233633, -3.4768580196287813, 11.312914561085341, 1.8597809786158326, 12.001424786358616, -1.7028517401941556, 11.87084548601247, -1.984360755267268
$EMC, 5-20-2015, P, 13.636387838776232, 14.21813310497596, 37.878908665245994, 38.066567127014466, 60.60612028797865, 63.72129701184006, 81.81801427512534, 89.6575603555254, 87.87960612804717, 92.71187837291525, 80.3030516948266, 82.03891709672757, 78.78808911452786, 84.2959428937778, 63.63638362285178, 69.57585786933006, 63.63638362285178, 69.14893362555081, 62.121251955415204, 69.0694097864682, 62.121251955415204, 70.48155807862344, 80.31345015558374, 84.17457904681889, 109.29164085210105, 111.32306807325311, 91.58303022127951, 90.15680076522801, 101.24243838566893, 98.84506510683131, 77.09307255632012, 76.50193484322219, 81.92363895521555, 81.58584818802464, 88.3626526220159, 85.53834853125434, 77.09307255632012, 70.99408106397225, 99.63224958603712, 94.0540186056506, 113.3171128511806, 107.46677208129064, 98.8271551862212, 92.67186061933512, 112.5120184513647, 106.23474640039761, 180.93466089059854, 168.85396620383256
$GME, 1-30-2015, P, 3.1529045758928564, -1.93758335533607, 7.142862723214272, 3.9469766104915482, 9.458705357142838, 4.816935563516611, 22.04241629464283, 16.37357519019993, 20.200898437499994, 16.865410694310157, 27.65066964285714, 22.869298218763824, 17.940848214285722, 19.167355625236752, 14.425217633928566, 19.510729746415066, 28.124994419642846, 23.89206292256212, -0.781247209821434, -5.35819923635249, -20.842631138392864, -24.103335018210757, -26.897318638392864, -22.88873923000704, -13.364958147321438, -10.592852744742476, -11.91406250000001, -14.77091836080676, -8.454238281250003, -11.62021064919232, -19.391743861607146, -24.372543907149346, -26.03236607142857, -29.342930845951397, -13.588172433035716, -21.874553457093814, -19.391743861607146, -28.211600960181215, -23.604913504464285, -31.123478830136317, -33.175220424107145, -39.33765028332333, -31.752234933035716, -42.25230835627691, -29.073660714285722, -41.11932465046935, -32.70089006696429, -46.461666871444336
$ITW, 5-19-2015, S, -3.96212625217921, -3.127387010825311, -4.322318705821127, -4.092528334169243, -8.284444958000314, -6.338276836310397, -12.699388961601098, -4.820940918983573, -13.378615074171352, -8.342034344396943, -5.732221997164189, -3.5515762970292686, -5.639596699384519, -0.09185672442062476, -4.620765763523016, 1.3584124868245233, -6.267362483634109, -0.7149282675497526, -9.519399187391153, -2.5319631291337075, -12.184826843363739, -3.785838576598321, 5.567566235825172, 9.872577858761488, 10.157459301378191, 12.23024015692169, 13.399201675397787, 12.142405137618685, 22.13646438481969, 19.758865022073472, 20.40753566754214, 19.990165577910023, 18.935888009383284, 18.570103455964237, 26.9527668406456, 24.17186604297399, 28.815478621292144, 23.183329531818984, 27.333544866389726, 21.79987964254957, 26.6337403855869, 20.82808023284024, 26.530821787194014, 20.420336561872432, 25.460539785129967, 19.22812856379277, 41.17525555573231, 29.8781272331176
$MDLZ, 1-5-2015, P, -1.9068401500092702, -2.2447952887461597, -0.3541187783742572, -3.5132494357590804, -0.8716971090083625, -1.4594411515978178, 5.012258376798084, 1.6523127103441837, 9.915551890916685, 7.084578164796551, 12.231005508880543, 11.447341887548678, 24.67992712285283, 21.604059433418854, 17.924277252091425, 21.95522992908562, 19.504222814062167, 23.280483320270328, 24.92509465881487, 21.85902468706515, 21.02969547888027, 18.551369549720008, 19.286303984916998, 20.643018500827417, 3.486796608193843, 9.942198052631333, 13.62026732825572, 15.98594399344332, 10.868978776054995, 10.624084812741152, 19.531468796825614, 18.850663578813112, 23.345138200630267, 20.14682352953936, 22.71860590353052, 20.37742010403807, 16.48052074313595, 10.485513582485439, 21.30209810139192, 14.185480017279485, 18.060477201320534, 12.555257967297727, 17.59738266405291, 15.45210909648398, 12.612370270018246, 4.540667198345581, 21.955873657201685, 11.131557540002124
$EMC, 9-7-2016, S, -10.833548704779583, -9.581496954604996, 13.332678105076234, 18.03474042827241, 2.499488227364388, 1.2748455436750739, 3.332948536060587, 0.4998297674055241, 10.416459714401816, 7.318306212333581, 2.9162183817124987, -0.47895989273782913, 9.999729560053705, 6.485745306462332, -3.3338412347847846, -7.02147062041133, 3.332948536060587, -0.15818660360555903, 10.416459714401816, 6.980156873306909, 12.500110486142301, 8.99983442143246, 49.5828278741969, 36.60073843932048, 92.08301975714836, 75.72860116174682, 28.749899680617162, 10.412298815371312, 28.749899680617162, 8.081826281456635, 26.66624890887668, 4.275460709447177, 25.83278860018048, 2.930213240966893, 25.83278860018048, 1.9066247557980347, 23.333309119668332, -1.1914646789932277, 15.833059031164831, -9.057273173008662, 24.99932829148428, -0.38908288359176524, 22.083118656624045, -2.976284561423917, 22.083118656624045, -3.4652294616056807, -5.833320715296919, -36.970231812663215
$EMC, 9-7-2016, S, -10.833548704779583, -9.581496954604996, 13.332678105076234, 18.03474042827241, 2.499488227364388, 1.2748455436750739, 3.332948536060587, 0.4998297674055241, 10.416459714401816, 7.318306212333581, 2.9162183817124987, -0.47895989273782913, 9.999729560053705, 6.485745306462332, -3.3338412347847846, -7.02147062041133, 3.332948536060587, -0.15818660360555903, 10.416459714401816, 6.980156873306909, 12.500110486142301, 8.99983442143246, 49.5828278741969, 36.60073843932048, 92.08301975714836, 75.72860116174682, 28.749899680617162, 10.412298815371312, 28.749899680617162, 8.081826281456635, 26.66624890887668, 4.275460709447177, 25.83278860018048, 2.930213240966893, 25.83278860018048, 1.9066247557980347, 23.333309119668332, -1.1914646789932277, 15.833059031164831, -9.057273173008662, 24.99932829148428, -0.38908288359176524, 22.083118656624045, -2.976284561423917, 22.083118656624045, -3.4652294616056807, -5.833320715296919, -36.970231812663215
