Ticker, Date, Purchase/Sale, 1 Month(s), 1 Month(s) Alpha, 2 Month(s), 2 Month(s) Alpha, 3 Month(s), 3 Month(s) Alpha, 4 Month(s), 4 Month(s) Alpha, 5 Month(s), 5 Month(s) Alpha, 6 Month(s), 6 Month(s) Alpha, 7 Month(s), 7 Month(s) Alpha, 8 Month(s), 8 Month(s) Alpha, 9 Month(s), 9 Month(s) Alpha, 10 Month(s), 10 Month(s) Alpha, 11 Month(s), 11 Month(s) Alpha, 12 Month(s), 12 Month(s) Alpha, 13 Month(s), 13 Month(s) Alpha, 14 Month(s), 14 Month(s) Alpha, 15 Month(s), 15 Month(s) Alpha, 16 Month(s), 16 Month(s) Alpha, 17 Month(s), 17 Month(s) Alpha, 18 Month(s), 18 Month(s) Alpha, 19 Month(s), 19 Month(s) Alpha, 20 Month(s), 20 Month(s) Alpha, 21 Month(s), 21 Month(s) Alpha, 22 Month(s), 22 Month(s) Alpha, 23 Month(s), 23 Month(s) Alpha, 24 Month(s), 24 Month(s) Alpha
$ARLP, 5-15-2018, P, 10.55555555555554, 8.710859479194898, 0.27777222222222786, -2.686261475101448, 11.944444444444446, 7.971540744412731, 8.333333333333325, 1.2528033862729817, 10.3333388888889, 8.875261618620069, 9.499994444444448, 10.534641169797322, 8.444444444444432, 12.932828471667579, -4.888883333333338, 4.540771800208466, -2.5000055555555623, 6.101194909869534, 0.6666722222222088, 9.503522015467158, 5.27778333333333, 12.23680033630129, 3.11110555555556, -0.5709151916298394, -5.611111111111122, -12.212971733400035, -1.388888888888884, -12.26558148989323, -18.38888888888889, -23.282297775716966, -11.16666666666667, -21.568375277465435, -24.944444444444446, -34.33728305253515, -33.38888888888889, -47.907094117626414, -44.44444444444444, -61.981911104298895, -38.888888888888886, -58.01699145714401, -35.055555555555564, -53.3073353449702, -35.33333333333333, -53.3384125778575, -34.33333333333333, -53.269963458693326, -84.22222222222221, -88.19144021948601
$APU, 5-21-2018, P, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$T, 5-1-2018, P, -0.8244274809160346, -4.060873140453792, -1.801526717557267, -3.9389485945690916, -1.6793862595419817, -8.383446340340473, -2.9618290076335874, -12.803797208678935, 2.778625954198466, -7.923610198115849, -5.374045801526728, -8.303522872233449, -3.0839694656488614, -9.302942562608951, -12.977099236641221, -6.197245771301208, -9.862595419847331, -3.935434584451847, -8.519087022900763, -2.3493825060988414, -6.167938931297712, -1.931006649550394, -5.190842748091606, -16.882208414733626, -6.1984763358778565, -10.533945777941545, 3.236644274809164, -9.197508384344077, 5.282442748091598, -7.5003713797519245, 7.114509923664114, -3.004113832704979, 15.87786564885496, 3.042001154295825, 18.931300763358784, 3.3743906266075605, 14.442748091603042, -4.778839038832141, 19.572519083969464, -3.040894767802495, 17.80153282442749, -3.9099198172417573, 19.053441221374044, -2.4040931981797797, 19.32825038167938, -3.088089149459794, -6.045801526717554, -14.171015990756931
$BPL, 5-22-2018, P, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
$CVI, 5-14-2018, P, -4.9012389612894, -6.9755837637236695, -9.900017551817497, -12.204846370209676, -17.82491430504337, -21.329713141727346, -6.486223188794115, -12.968992728309303, -7.705438073905791, -8.513952024421833, -5.096318219766804, -5.396313834020072, -10.948544791443293, -7.151074552217862, -17.43476554180765, -7.425253432207711, -14.411119942020001, -5.224758499327953, -13.874660515711323, -4.454158438876586, -9.485489367739063, -1.930797664297323, 6.754452901948427, 3.5898980886820864, 10.631556236603569, 4.80730284047779, 29.041698563360075, 18.874869922592843, 8.607664404177706, 3.2187673471952394, 1.194835464268973, -8.500050168201723, 5.63277764607546, -2.6316539521455526, 13.508903365467106, 0.5397025464256124, 1.682523856743412, -15.102434682584299, -1.2192148851116746, -19.584625631660458, -0.9509851719573414, -18.4456836060643, -1.8532017485102137, -19.10277908442267, -2.7066472912288475, -20.881811455641873, -53.40160465260204, -55.45399950227492
$UFS, 5-1-2018, P, 7.470624972941153, 4.234179313403397, 4.610946472823185, 2.4735245958113605, 3.147856281359873, -3.5562037994386175, 12.8574570415106, 3.0154888404652525, 15.318108727153446, 4.6158725748391305, 4.123254175942059, 1.1937771052353385, -1.4852626582739337, -7.7042357552340235, -23.786299627880737, -17.006446162540726, -22.899582733327804, -16.97242189793232, -21.50299442467315, -15.33328990787123, -19.308354703871533, -15.071422422124215, 7.093770625276652, -4.5975950413653655, -7.115936441677306, -11.451405883740994, -1.5961028242938768, -14.030255483447117, -10.773666353942213, -23.556480481785734, -27.48836560655362, -37.60698936292272, -21.50299442467315, -34.33885891923229, -18.665488391365802, -34.222398528117026, -16.914211551447323, -36.135798681882505, -14.808248397068313, -37.42166224884027, -16.86987548503933, -38.58132812670858, -17.978277145238806, -39.43581156479263, -19.19751675465491, -41.613856285794085, -49.67856241014049, -57.803776874179874
$EPD, 5-8-2018, P, 10.018761726078807, 6.13508217636023, 4.2026266416510305, 0.43152420262664304, 8.480300187617274, 1.3921144465290922, 8.330210131332084, -0.015001876172604511, 9.718574108818, 2.0075091932457703, 1.9512195121951237, -3.1557166979362172, -2.326450281425896, -1.1519643527204582, -7.954968105065663, -0.2551542213883655, -6.191369606003749, 0.6641666041275807, -2.926825515947473, 4.168860787992479, 0.6754221388367787, 5.857410131332085, 6.941838649155718, -0.9493429643527174, 6.191365853658537, -2.3902457786116447, 10.0562851782364, -1.3921238273921333, 6.941838649155718, -1.7335816135084503, 6.904315196998123, -5.343345215759854, 4.05253283302065, -5.155725703564706, -0.9380863039399667, -16.43526754221387, -1.6885515947467122, -19.677295309568464, 5.816138836772988, -15.587241651031892, 6.003752345215774, -14.506568105065654, 7.692311444652922, -12.566596622889278, 7.692311444652922, -13.51593958724202, -34.521572232645404, -43.748587617260796
$PEGI, 5-1-2018, P, 2.7563397329845474, -0.4801059265532093, 3.0871115263016335, 0.9496896492898088, 2.3704576830461788, -4.333602397752312, 12.183027132471192, 2.341058931425845, 9.812574962104481, -0.8896611902098339, -0.4410143572775138, -3.3704914279842346, 14.773986481476653, 8.555013384516563, 1.433302173831419, 8.213155639171433, 2.4807112723655544, 8.407872107761039, 3.1973540902620945, 9.367058607064017, 7.8831371490152735, 12.120069430762591, 27.83904232850287, 16.147676661860853, 16.813683396564684, 12.478213954500996, 28.0595439944622, 15.625391335308958, 26.846754511949, 14.063940384105479, 49.66924750106105, 39.55062374469196, 49.062858272483936, 36.226993777924804, 54.68578030241349, 39.12887016566226, 51.59868531415024, 32.377098183715056, 47.46417571467341, 24.85076186290145, 47.07828815205557, 25.366835510386323, 46.306518539499365, 24.84898411994554, 47.24366302335519, 24.827323492216017, None, None
$AHT, 4-16-2018, P, 1.3333331734123544, -0.21723424231798738, 2.518515551095901, -0.66125598448461, 20.888878387411204, 16.15479037242993, -5.185187894957344, -11.327507745144615, -6.9629674585193975, -15.884318394848972, -18.8148212205385, -22.410329085707037, -26.814820261012628, -28.608831122435838, -35.851856880478216, -33.00541268572166, -41.48148516854852, -33.608824494391214, -40.00000119940734, -32.970037154463526, -40.00000119940734, -32.73033677993169, -23.40741192961734, -32.37745387718289, -21.48148756736321, -28.537665844516756, -46.66666706646912, -55.101119875457876, -62.37037255151484, -74.97336655900547, -57.77777884391764, -65.07366311358057, -53.777779323680576, -66.07740329371804, -58.074077436856896, -69.82313923460971, -58.77037238359782, -75.44827463078883, -59.819855313092695, -79.37790812208146, -57.42103911615193, -78.59707244948527, -60.119705651043695, -80.4043513439276, -59.96977823317942, -80.0034823530296, -89.35525977903798, -93.90581932959978
$UFS, 4-27-2018, P, 2.998005840506468, 1.7583062150382966, 7.017544015490662, 5.04750281698878, 6.617808274879167, 0.35938467937355334, 14.43482155085103, 6.247561251225566, 18.45436638806057, 9.686574627760944, 1.621139276507666, 0.9469864675189177, -2.553848602128539, -2.3066560927652358, -21.341330698230742, -12.191520585871196, -23.650895484141575, -15.77823480998427, -22.762603214803534, -15.732639169859718, -21.363533674517743, -14.09386925504209, 8.016877815164957, -1.9119648814642574, -5.374190658987132, -11.400406389324214, -3.419935674437835, -12.524803839231847, -6.040413192103333, -19.104085476747514, -27.04863706525954, -35.49058800158912, -22.163002934998953, -33.70981454548585, -15.10104186322545, -28.561716769592493, -14.03508803098129, -31.86654308716107, -13.924053162870365, -35.17498574714001, -14.656893507814639, -35.83292684114797, -16.72218336047486, -37.00682905335877, -17.832554249001863, -37.86625836885203, -52.34288368516287, -59.12939866643627
