Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Abernathy	Kent		C	IN05	2020	4/28/2020	10035159
	Acosta	Christian F.		C	FL21	2020	5/15/2020	10036022
	Adcox	Anthony		D	TN05	2020	3/12/2020	8217076
	Adkins	Amanda		C	KS03	2020	5/15/2020	10035638
Ms.	Afendoulis	Lynn Ann		C	MI03	2020	5/15/2020	10035931
Dr.	Aguilar	Erick Javier		C	FL04	2020	5/3/2020	10035513
	Akindude	Kemi		X	NY11	2020	8/10/2020	30011585
	Albors	Juan Carlos		W	PR00	2020	2/6/2020	7685
Dr.	Allen	Jay Thomas		C	ME01	2020	5/14/2020	10035145
Hon.	Allen	Richard W.		P	GA12	2020	7/20/2020	20016985
Hon.	Allen	Richard W.		P	GA12	2020	8/18/2020	20017164
	Almonord	Valbrun		C	GA03	2020	4/9/2020	10034819
	Alvarez	Andrew Ruben		C	TX22	2020	7/1/2020	10036661
	Alvarez	Andrew Ruben		D	TX22	2020	7/16/2020	8217393
Hon.	Amash	Justin		P	MI03	2020	4/15/2020	20016417
	Amling	Dane		D	AZ07	2020	4/27/2020	8217195
	Anderson	Paul		D	NE02	2020	4/8/2020	8217143
	Andrews	Aliscia		C	VA10	2020	5/18/2020	10036078
Mr.	Aquino	Darren Dione		A	FL19	2020	5/27/2020	10036214
Mr.	Aquino	Darren Dione		C	FL19	2020	5/18/2020	10035073
	Arballo	Phil		C	CA22	2020	5/15/2020	10035762
	Archerd	Charles Wallace		C	NC11	2020	1/18/2020	10032448
	Arenholz	Ashley Hinson		C	IA01	2020	5/14/2020	10035891
Mr.	Arlinghaus	William Philip		D	TN01	2020	4/15/2020	40002975
	Armendariz-Jackson	Irene		C	TX16	2020	6/11/2020	10036409
	Asamoa-Caesar	Kojo		C	OK01	2020	5/15/2020	10035940
	Ashcraft	Lauren		C	NY12	2020	5/20/2020	10035901
	Ashcraft	Lauren		X	NY12	2020	5/20/2020	30011523
	Askar	Casey		C	FL19	2020	7/13/2020	10034784
	Askar	Casey		X	FL19	2020	4/28/2020	30011451
	Askar	Casey		X	FL19	2020	6/10/2020	30011561
	Auchincloss	Jake		C	MA04	2020	8/13/2020	10035322
	Auchincloss	Jake		X	MA04	2020	5/11/2020	30011471
	Babbage	Lisa Noel		C	GA07	2020	5/15/2020	10035992
	Bacon	Mary		C	WA10	2020	7/2/2020	10036415
	Bacon	Mary		D	WA10	2020	7/9/2020	8217373
	Bacon	Mary		X	WA10	2020	6/30/2020	30011567
	Bah	Iman-Utopia Layjou		C	AZ02	2020	4/17/2020	10035089
Mr.	Bailey	Corey Ryan		C	WA08	2020	7/25/2020	10037190
	Bakari	Kamau		C	NV01	2020	6/16/2020	10036460
	Baker	Devin		D	FL02	2020	3/18/2020	8217095
	Balter	Dana		C	NY24	2020	5/23/2020	10035624
	Balter	Dana		X	NY24	2020	5/11/2020	30011487
	Bamezquita	Alberto		D	TX20	2020	3/17/2020	8217090
Hon.	Banks	James E.		P	IN03	2020	7/20/2020	20016981
Hon.	Banks	James E.		P	IN03	2020	8/12/2020	20017133
Hon.	Banks	James E.		P	IN03	2020	8/17/2020	20017201
	Banyai	Cindy Lyn		C	FL19	2020	6/9/2020	10036367
	Barge	John D.		C	GA14	2020	4/18/2020	10035142
	Barham	Jerry		C	MO05	2020	7/5/2020	10036677
	Barnett	Kali		C	KS/01	2020	5/14/2020	10035611
	Barnett	Kali		C	KS00	2020	5/14/2020	10035806
	Barnette	Kathy		C	PA04	2020	4/2/2020	10034744
Mr.	Barone	Roger Richard		D	TX03	2020	4/15/2020	8217154
	Barresi	Janet		C	OK05	2020	5/13/2020	10035844
	Barresi	Peter Robert		C	CT05	2020	6/8/2020	10036353
